Key,English,Traditional_Chinese
UI_EVENT_EXPBOOST,EXP Boost!,經驗值加成提升！
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,飾品升級！
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,武器穿洞！
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,劇團的經驗值提升！
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,尋找黃金獨眼蝙蝠！
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,在副本中擊殺黃金獨眼蝙蝠，獲得更高的掉寶率！
UI_EVENT_NIGHTBOOST,Night Boost!,夜間提升！
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,遊戲中夜間經驗值加成 +30%！
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,夜幕降臨了！經驗值加成 x1.3 倍！
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...",太陽出來了，經驗值加成 x1.3 倍結束了…
UI_EVENT_EASTER,Easter Event,復活節活動
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,完成彩蛋草甸即可獲得粉紅色復活節彩蛋！
UI_EVENT_SPRING,Spring Event!,春天活動！
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,天空中的鑽石
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,摧毀夜空中的星星以獲得星星碎片！
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,夜幕降臨了！星星出來了！在天空中找到它們！
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.",夜幕已過，星星正在消失。
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,副本幣折扣！
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,執行任務或進入副本時花費更少的副本幣！
UI_EVENT_ANNIVERSARY,1st Anniversary!,一週年！
