Key,English,Traditional_Chinese
PROPCTRL_TXT_000000,Small Treasure Chest,小寶物箱子
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),小寶物箱子_縱向
PROPCTRL_TXT_000004,FlDungeon Lever,桿子
PROPCTRL_TXT_000006,FlDungeon Gate,密殿出入口
PROPCTRL_TXT_000008,Keakoon Prison,奇昆監獄
PROPCTRL_TXT_000010,Chimeradon Prison,奇美拉頓監獄
PROPCTRL_TXT_000012,Meteonyker Prison,地炎飛龍監獄
PROPCTRL_TXT_000014,Pink Roach Egg,粉紅蟑螂蛋
PROPCTRL_TXT_000016,Blue Roach Egg,藍蟑螂蛋
PROPCTRL_TXT_000028,Warp Machine,傳送器
PROPCTRL_TXT_000030,Warp Board 1,傳送滑板 1
PROPCTRL_TXT_000032,Warp Board 2,傳送滑板 2
PROPCTRL_TXT_000034,Warp Board 3,傳送滑板 3
PROPCTRL_TXT_000036,Exp Box,經驗箱
PROPCTRL_TXT_000037,Harvest Plant 01,收成植物 01
PROPCTRL_TXT_000038,Harvest Plant 02,收成植物 02
PROPCTRL_TXT_000039,Harvest Plant 03,收成植物 03
PROPCTRL_TXT_000040,Harvest Plant 04,收成植物 04
PROPCTRL_TXT_000041,Children in cage,關在籠子裡的孩子們
PROPCTRL_TXT_000042,Pet Cage 01,寵物籠 01
PROPCTRL_TXT_000043,Pet Cage 02,寵物籠 02
PROPCTRL_TXT_000044,Pet Cage 03,寵物籠 03
PROPCTRL_TXT_000045,Pet Cage 04,寵物籠 04
PROPCTRL_TXT_000046,Pet Cage 05,寵物籠 05
PROPCTRL_TXT_000047,Pet Cage 06,寵物籠 06
PROPCTRL_TXT_000048,Pet Cage 07,寵物籠 07
PROPCTRL_TXT_000049,Dungeon Warp 01,副本傳送 01
PROPCTRL_TXT_000050,Dungeon Warp 02,副本傳送 02
PROPCTRL_TXT_000051,Dungeon Warp 03,副本傳送 03
PROPCTRL_TXT_000052,Dungeon Warp 04,副本傳送 04
PROPCTRL_TXT_000053,Straight Palm Tree,直棕櫚樹
PROPCTRL_TXT_000054,Leaning Palm Tree,傾斜的棕櫚樹
PROPCTRL_TXT_000055,Branch Coral,樹枝珊瑚
PROPCTRL_TXT_000056,Round Red Coral,圓形紅珊瑚
PROPCTRL_TXT_000057,Leren Chasm Chest,勒倫峽谷寶箱
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,黎席斯墓窟寶箱
PROPCTRL_TXT_000059,Envy Depths Chest,嫉妒深淵寶箱
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,守護者聖域寶箱
PROPCTRL_TXT_000061,Storm Peak Chest,風暴峰寶箱
PROPCTRL_TXT_000062,The Wilds Chest,荒野叢境寶箱
PROPCTRL_TXT_000063,Dungeon Warp 05,副本傳送 05
PROPCTRL_TXT_000064,Dungeon Warp 06,副本傳送 06
PROPCTRL_TXT_000065,Ship Wheel,船輪
PROPCTRL_TXT_000066,Cushion Chair,靠墊椅
PROPCTRL_TXT_000067,Spinning Globe,旋轉地球儀
PROPCTRL_TXT_000068,Compass,羅盤
PROPCTRL_TXT_000069,Chandelier,吊燈
PROPCTRL_TXT_000070,Command Desk,指揮台
PROPCTRL_TXT_000071,Command Platform,指揮平台
PROPCTRL_TXT_000072,Small Table,小桌子
PROPCTRL_TXT_000073,Drawer,抽屜
PROPCTRL_TXT_000074,Twin Bed,雙人床
PROPCTRL_TXT_000075,Incident Painting,事件畫
PROPCTRL_TXT_000076,Home Painting,居家畫
PROPCTRL_TXT_000077,Metaverse Ball,元宇宙球
PROPCTRL_TXT_000078,Metaverse Bath Rug,元宇宙浴室地毯
PROPCTRL_TXT_000079,Metaverse Twin Bed,元宇宙雙人床
PROPCTRL_TXT_000080,Metaverse King Bed,元宇宙大號床
PROPCTRL_TXT_000081,Metaverse Single Bed,元宇宙單人床
PROPCTRL_TXT_000082,Metaverse Beer Cup,元宇宙啤酒杯
PROPCTRL_TXT_000083,Metaverse Bench,元宇宙長椅
PROPCTRL_TXT_000084,Metaverse Candle,元宇宙蠟燭
PROPCTRL_TXT_000085,Metaverse Cat Supplies,元宇宙貓用品
PROPCTRL_TXT_000086,Metaverse Chair,元宇宙椅子
PROPCTRL_TXT_000087,Metaverse Basic Desk,元宇宙基本桌
PROPCTRL_TXT_000088,Metaverse Wooden Desk,元宇宙木書桌
PROPCTRL_TXT_000089,Metaverse Boss Desk,元宇宙老闆辦公桌
PROPCTRL_TXT_000090,Metaverse Student Desk,元宇宙學生桌
PROPCTRL_TXT_000091,Metaverse Pencil Case,元宇宙鉛筆盒
PROPCTRL_TXT_000092,Metaverse Plant,元宇宙植物
PROPCTRL_TXT_000093,Metaverse Tree Pot,元宇宙樹盆
PROPCTRL_TXT_000094,Metaverse Slippers,元宇宙拖鞋
PROPCTRL_TXT_000095,Metaverse Single Sofa,元宇宙單人沙發
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,元宇宙軟墊座椅
PROPCTRL_TXT_000097,Metaverse Sofa,元宇宙沙發
PROPCTRL_TXT_000098,Metaverse Round Table,元宇宙圓桌
PROPCTRL_TXT_000099,Metaverse Storage Table,元宇宙儲存桌
PROPCTRL_TXT_000100,Metaverse Decorative Table,元宇宙裝飾桌
PROPCTRL_TXT_000101,Metaverse Violin,元宇宙小提琴
PROPCTRL_TXT_000102,Wooden Yellow Chair,木黃色椅子
PROPCTRL_TXT_000103,Wooden Yellow Table,木黃色桌子
