Key,English,Japanese
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt,アイバット
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang,マッシュファング
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng,ブルデング
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke,プケプケ
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle,ピーキータートル
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian,デミアン
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma,ドリドマ
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf,ラーウルフ
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern,フェフェルン
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang,ニャングニャング
ACHIEVEMENT_KILL_BANG_NAME,Bang,ヴァン
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee,モスビー
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac,ワッグサック
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat,フライバット
ACHIEVEMENT_KILL_MIA_NAME,Mia,ミーア
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin,カボチャ男爵
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis,レッドマンティス
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros,ゼンドロス
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer,ジャックザハンマー
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box,ギッグルボックス
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle,ロックマッスル
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow,バクロウ
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba,ネパルバ
ACHIEVEMENT_KILL_HOBO_NAME,Hobo,ホボー
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull,ダンブル
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia,トーテミア
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet,カードパペット
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen,フリビーリーズン
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer,トムストンベアラー
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon,スコーピオン
ACHIEVEMENT_KILL_BASQUE_NAME,Basque,バスキュー
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster,プランクスター
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller,ロケッペラー
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem,ホイール
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena,レイーナ
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma,トランフォーマ
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker,スチームウォーカー
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight,スチールナイト
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger,ゾンビガー
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel,ナッティフィール
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle,ナックトビークル
ACHIEVEMENT_KILL_DRILLER_NAME,Driller,ドリラー
ACHIEVEMENT_KILL_RISEM_NAME,Risem,ライゼム
ACHIEVEMENT_KILL_GRRR_NAME,Grrr,グルルン
ACHIEVEMENT_KILL_VOLT_NAME,Volt,ボルト
