Key,English,Vietnamese
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.","Xin chào, tôi là # b # cffa0a0ffInfo Pang # nc # nb! \n\nTôi là người hướng dẫn bạn để tồn tại trong # bMadrigal # nb và tôi có rất nhiều thông tin hữu ích.\n\nBạn đã sẵn sàng để # học lại những bài học # nb cần thiết để tồn tại trong thế giới này chưa? \n\nBạn cũng có thể kiểm tra thông tin mà bạn đã học được bằng cách sử dụng menu của tôi."
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Cách thức di chuyển
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","# b # cff0000ff ■ Di chuyển [[dùng chuột |]] # nb # nc\n[[Nhấp chuột trái vào | Chạm vào màn hình]] vị trí bạn muốn di chuyển. [[\n\n# b # cff0000ff ■ Di chuyển bằng bàn phím # nb # nc\nBạn có thể di chuyển nhân vật của mình bằng cách nhấn các phím bên dưới.\nTiến lên: W\nLùi lại : S\nĐi sang trái : A\nĐi sang phải : D\n\n# b # cff0000ff ■ Đi bộ # nb # nc\nNhấn X. Nếu bạn muốn chạy lại, sau đó nhấn lại X. |]] \n\n# b # cff0000ff ■ Nhảy # nb # nc\n[[Nhấn SPACE BAR | Nhấn và giữ trên màn hình]] khi bạn muốn nhảy."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)","Chuyển động nhân vật bằng ký tự Bàn phím như sau.\n\nTiến lên : W\nLùi lại : S\nRẽ trái : A\nRẽ phải : D\n\nDễ dàng, hả? Di chuyển nhân vật của bạn ngay bây giờ.\n\n# cffff0000Tình trạng rõ ràng: Di chuyển nhân vật (Bàn phím)"
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Phương pháp quản lý máy ảnh
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","# b # cff0000ff ■ Thay đổi chế độ xem [[bằng chuột |]] # nb # nc\nBạn có thể xem bất kỳ hướng nào chỉ bằng cách [[xoay chuột trong khi nhấn vào nút bên phải của chuột | trượt ngón tay trên màn hình]]. [[\n\n# b # cff0000ff ■ Thay đổi chế độ xem bằng bàn phím # nb # nc\nBạn có thể thay đổi chế độ xem bằng cách nhấn các phím bên dưới.\nLên : ↑ \nXuống: ↓ \nTrái : ← \nPhải : → |]] \n\n# b # cff0000ff ■ Để phóng to và thu nhỏ # nb # nc\n[[bạn có thể sử dụng con lăn chuột. Ngoài ra, các phím Page Up, Page Down có thể được sử dụng để thay đổi chế độ xem từng bước | chụm màn hình và trải rộng hoặc kéo các ngón tay lại với nhau]]."
