Key,English,Spanish
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Diario
PROPQUEST_INC_000291,Save the Garden! (Part 1),¡Salva el Jardín! (Parte 1)
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,¡El Jardín de Rhisis se está muriendo! ¿Podrías ayudarme?
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,Necesitas 10 Corazones de Bearer de los Tombstone Bearers para salvar el Jardín de Rhisis.
PROPQUEST_INC_000294,Thank you!,¡Gracias!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!","Si más tarde cambias de opinión, ¡vuelve por favor!"
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,¡Gracias! Deberías hablar con Janne.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Vuelve cuando tengas los Corazones de Bearer.
PROPQUEST_INC_000298,Save the Garden! (Part 2),¡Salva el Jardín! (Parte 2)
PROPQUEST_INC_000299,You have a message from my sister!,¡Tienes un mensaje de mi hermana!
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,Ya veo. El Jardín de Rhisis se está muriendo... ¿Podrías informar a mi hermana Kimberley?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,El problema con el Jardín de Rhisis puede esperar. Supongo...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Gracias por traerme este mensaje. Creo que deberías hablar con Marche en Flarine Este.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,¿Aún no has encontrado a Kimberley? Está en Saint.
PROPQUEST_INC_000308,Save the Garden! (Part 3),¡Salva el Jardín! (Parte 3)
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,Las hermanas de Saint dicen que el Jardín de Rhisis se está muriendo.
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,¿Podrías llevarle un Té Vivo a Ann? Puedes encontrarlo al este de las Montañas Leren.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,"¡Gracias! Si la ayudas, te dará un Pendiente."
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,¡Salvaré el Jardín de Rhisis con este té! Toma este pendiente como agradecimiento.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Llévale el Té Vivo a Ann en Saint.
PROPQUEST_INC_000422,Find Santa's Socks!,¡Encuentra los Calcetines de Santa!
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,Es una Navidad triste aquí en Madrigal. ¡Santa perdió todos los calcetines donde estaban los regalos de los niños! ¡Debemos encontrar los calcetines rojos!
PROPQUEST_INC_000461,A Favor for the Pastor,Un Favor para el Pastor
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,¡El pastor quiere que entregue 20 ramos de flores! ¡Me pregunto cual será la recompensa!
PROPQUEST_INC_000465,Give Back the Love.,Devuelve el Amor.
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,Tengo que conseguir 10 Fragmentos de Corazón. Es hora de cazar unos cuantos Masquerpets.
PROPQUEST_INC_000469,Vagrant Master (Acrobat),Maestro Vagrant (Acróbata)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!","Así que quieres ser un Acrobat, ¿eh? ¡No te arrepentirás! Tengo una prueba simple para ti antes de comenzar el entrenamiento. ¿Estás listo?… ¡hic!"
PROPQUEST_INC_000472,Good luck! You'll need it!,¡Buena suerte! ¡La necesitarás!
PROPQUEST_INC_000473,"What are you afraid of? The path to become an Acrobat may be difficult for some, but it's so worth it! Come back if you change your mind, friend.","¿De qué tienes miedo? El camino para convertirse en Acrobat puede ser difícil para algunos, ¡pero vale la pena! Vuelve si cambias de opinión, amigo."
PROPQUEST_INC_000474,Well done. You've passed the first test!,Bien hecho. ¡Has superado la primera prueba!
PROPQUEST_INC_000475,"I'm still waiting for you to hunt $QUEST_END_KILL_COUNT$ Small Aibatts. If you want to become an Acrobat, you must complete this simple task.","Sigo esperando que caces $QUEST_END_KILL_COUNT$ Aibatts Pequeño. Si quieres convertirte en Acróbata, debes completar esta sencilla tarea."
PROPQUEST_INC_000476,You have already chosen to pursue another path. I cannot help you any further. You can still cancel the other job quest in the Quest Window and come back to me.,Ya has elegido seguir otro camino. No puedo ayudarte más. Aún estás a tiempo de cancelar el cambio de clase en la Ventana de Misiones y volver a mí.
PROPQUEST_INC_000477,"For starters, let's go with something easy. I would like you to hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s.",Empecemos con algo fácil. Me gustaría que cazaras $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s.
PROPQUEST_INC_000479,Acrobat Weaponry,Armas de Acrobat
PROPQUEST_INC_000480,Now it's time for the next step on your path to becoming an Acrobat.,Es el momento de dar el siguiente paso en tu camino para convertirte en Acrobat.
PROPQUEST_INC_000481,"I want you to return to collect 10 Twinkle Stones from Aibatts in the area, 5 Peakyrinds from Peakyturtles and 1 Slain from Lawolf.","Quiero que vuelvas a recoger 10 Pidra Centelleante de Aibatts, 5 Peakyrinds de Tortugapico y 1 Slain de Lawolf."
PROPQUEST_INC_000482,"Once you've gathered the Twinkle Stones, bring them to Pyre in the north of Flarine.","Una vez que hayas reunido las Piedras Centelleantes, llévaselas a Pyre en el Norte de Flarine."
PROPQUEST_INC_000483,Good luck! You're going to need it!,¡Buena suerte! ¡La vas a necesitar!
PROPQUEST_INC_000484,You must like being a Vagrant. It would certainly be a shame if you quit now. I'll be here if you have a change of heart.,"Debe gustarte ser un Vagrant. Sin duda, sería una pena que renunciaras ahora. Estaré aquí si cambias de opinión."
PROPQUEST_INC_000485,"Thank you for the Twinkle Stones, Apprentice. I will cover Acrobat weaponry with you now. Acrobats are able to wield both Bows and Yo-Yos.","Gracias por las Piedras Centelleantes, Aprendiz. Te enseñaré sobre las armas de Acrobat. Los Acrobats son capaces de utilizar los Arcos y los Yo-Yos."
PROPQUEST_INC_000486,Bows are long range weapons that consume arrows for each shot. The strength of the basic shot is determined by how long you wait before releasing the arrow.,Los Arcos son armas de larga distancia que consumen flechas por cada disparo. La fuerza del tiro básico esta determinado por el tiempo de carga antes de soltar la flecha.
PROPQUEST_INC_000487,"Yo-Yos are also long range weapons. However, the strength of the basic attack only changes depending on special skills used in conjunction with them.","Los Yo-Yos también son armas de larga distancia. Sin embargo, la fuerza de ataque básico cambia dependiendo de las habilidades especiales que se utilizan en combinación."
PROPQUEST_INC_000488,"If you met with Hent, then you should probably have something for me, hmm?","Si te has reunido con Hent, probablemente tengas algo para mí, ¿hmm?"
