Key,English,French
CHARACTER_INC_000001,Mikyel,Mikyel
CHARACTER_INC_000011,Noier,Noier
CHARACTER_INC_000017,[Sage] Radion,[Grand Sage] Radéon
CHARACTER_INC_000021,Boboku,Boboku
CHARACTER_INC_000027,Boboko,Boboko
CHARACTER_INC_000033,Luda,Luda
CHARACTER_INC_000034,Weapons,Armes
CHARACTER_INC_000035,Armors,Armures
CHARACTER_INC_000039,Lui,Lui
CHARACTER_INC_000043,Arrows,Flèches
CHARACTER_INC_000045,Losha,Losha
CHARACTER_INC_000051,Marche,Marche
CHARACTER_INC_000057,Julia,Julia
CHARACTER_INC_000059,Dior,Dior
CHARACTER_INC_000065,Is,Is
CHARACTER_INC_000068,Iske,Iske
CHARACTER_INC_000070,Ispim,Ispim
CHARACTER_INC_000072,Isruel,Isruel
CHARACTER_INC_000075,Ismeralda,Ismeralda
CHARACTER_INC_000083,Flaris Pang,Pang
CHARACTER_INC_000091,Jeff,Jeff
CHARACTER_INC_000099,[High-Dwarpet] Tucani,[Grand Dwarpet] Tucani
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[Sage des Jester] Radyon
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[Sage des Ranger] Kimel
CHARACTER_INC_000111,[Pepoview] Brodeay,[Pepole] Brodeay
CHARACTER_INC_000113,[Pepoview] Ruminerr,[Pepole] Rumineir
CHARACTER_INC_000115,[Pepoview] Ellangdl,[Pepole] Ellang
CHARACTER_INC_000117,[Pepoview] Hotse,[Pepole] Hotse
CHARACTER_INC_000119,[Pepoview] Vianlee,[Pepole] Vianlee
CHARACTER_INC_000121,[Pepoview] Clackcable,[Pepole] Clagabole
CHARACTER_INC_000125,Lancomi,Lancomi
CHARACTER_INC_000127,Helena,Helena
CHARACTER_INC_000129,Martin,Martin
CHARACTER_INC_000135,Bill,Bill
CHARACTER_INC_000141,Tina,Tina
CHARACTER_INC_000144,Fuel,Fuel
CHARACTER_INC_000147,Bulrox,Bulrox
CHARACTER_INC_000153,Bozman,Bozman
CHARACTER_INC_000159,Colack,Colack
CHARACTER_INC_000165,Karin,Karin
CHARACTER_INC_000171,Leann,Leann
CHARACTER_INC_000172,Accessories,Accessoires
CHARACTER_INC_000174,Ann,Ann
CHARACTER_INC_000176,Herth,Herth
CHARACTER_INC_000178,Janne,Janne
CHARACTER_INC_000180,Kimberley,Kimberley
CHARACTER_INC_000186,Saint Pang,Saint Pang
CHARACTER_INC_000200,[MagicBox] Ancimys,[Coffre magique] Ancimys
CHARACTER_INC_000226,Lurif,Lurif
CHARACTER_INC_000228,Darkon Pang,Pang
CHARACTER_INC_000230,Stima,Stima
CHARACTER_INC_000231,Mercenary,Mercen.
CHARACTER_INC_000232,Assist,Acolyte
CHARACTER_INC_000233,Acrobat,Acrobate
CHARACTER_INC_000234,Magician,Magicien
CHARACTER_INC_000236,Phacham,Phacham
CHARACTER_INC_000260,Achaben,Achaben
CHARACTER_INC_000261,Collector,Collecte
CHARACTER_INC_000262,Poster,Acolytes
CHARACTER_INC_000263,Magic Tools,Objets
CHARACTER_INC_000264,Arrow,Flèches
CHARACTER_INC_000266,Almani,Almani
CHARACTER_INC_000267,Broom,Balais
CHARACTER_INC_000268,Board,Planches
CHARACTER_INC_000272,Bolpor,Bolpor
CHARACTER_INC_000273,Food,Aliments
CHARACTER_INC_000280,Eshylop,Eshylop
CHARACTER_INC_000284,Haven,Haven
CHARACTER_INC_000285,Wand,Baguettes
CHARACTER_INC_000286,Staff,Bâtons
CHARACTER_INC_000288,Robe,Habits
CHARACTER_INC_000290,Ollien,Ollien
CHARACTER_INC_000292,Roocky,Roocky
