Key,English,Spanish
LANGUAGE_CODE,EN,SP
UI_HOME_TITLE,Home,Inicio
UI_HOME_GUESTCHAR,Guest Character,Personaje Invitado
UI_HOME_NEWCHAR,New Character,Nuevo Personaje
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Crear nuevo personaje sin cuenta.
UI_HOME_LOGIN,Sign In,Iniciar sesión
UI_HOME_REGISTER,Sign Up,Registrarse
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",Introduce el Usuario & Contraseña y presiona OK para conectarte al juego.
UI_HOME_ALREADYACCOUNT,Already have an account?,¿Ya tienes una cuenta?
UI_HOME_WEBSITE,Website,Página Web
UI_HOME_CREDITS,Credits,Créditos
UI_HOME_OR,Or,O
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Contraseña:
UI_HOME_RECOVER,Forgot password?,¿Contraseña olvidada?
UI_SELECTSERVER_TITLE,Select Server,Selecciona el Servidor
UI_SELECTSERVER_BACK,Back,Atrás
UI_SELECTSERVER_NEXT,Next,Siguiente
UI_SELECTSERVER_FULL,full,Lleno
UI_SELECTSERVER_BUSY,busy,ocupado
UI_SELECTSERVER_BEST,best,mejor
UI_SELECTSERVER_NEWNAME,Please enter another name:,Introduce otro nombre por favor:
UI_SELECTSERVER_NAMETITLE,Character Name,Nombre del Personaje
UI_CHARLIST_TITLE,Characters,Personajes
UI_CHARLIST_PLAY,Play,Jugar
UI_CHARLIST_NEW,New,Nuevo
UI_CHARLIST_DELETE,Delete,Borrar
UI_DELETECHAR_TITLE,Delete Character,Borrar Personaje
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Contraseña para eliminar el personaje\nIntroduce la contraseña
UI_DELETECHAR_NOPASS,Confirm Deletion?,¿Confirmar eliminación?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Si borras un personaje, no podrás usar su nombre en una semana."
UI_NEWCHAR_NAME,Name:,Nombre:
UI_NEWCHAR_GIRL,Girl,Chica
UI_NEWCHAR_BOY,Boy,Chico
UI_MSGBOX_START,Start,Iniciar
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Reintentar
UI_MSGBOX_CANCEL,Cancel,Cancelar
UI_MSGBOX_YES,Yes,Sí
UI_MSGBOX_NO,No,No
UI_LOADINGSCREEN,"Loading, please wait...","Cargando, por favor espera..."
UI_OPTION_TITLE,Options,Opciones
UI_OPTION_MUSIC,Music,Música
UI_OPTION_SOUND,Sound,Sonido
UI_OPTION_TEXQUALITY,Textures,Texturas
UI_OPTION_TEXTOON,Cartoon,Cartoon
UI_OPTION_TEXHIGH,High,Alto
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Bajo
UI_OPTION_WEATHER,Weather,Clima
UI_OPTION_LANGUAGE,Language,Idioma
UI_OPTION_SAVE,Save,Guardar
UI_NAVIGATOR_PLAYER,Player,Jugador
UI_NAVIGATOR_PARTY,Party,Party
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Monstruo
UI_PRIVACY_NOTICE,Privacy Policy,Políticas de Privacidad
UI_MSGBOX_ACCEPT,Accept,Aceptar
UI_MSGBOX_DECLINE,Decline,Rechazar
UI_MSGBOX_CLOSE,Close,Cerrar
UI_OPTION_SHADOWS,Shadows,Sombras
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Distancia Máxima
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Calidad Máxima
UI_OPTION_FULLSCREEN,Fullscreen,Pantalla Completa
UI_MOTION_TAB_MOT,Emotes,Emotes
UI_MOTION_TAB_EMO,Emoticons,Emoticonos
UI_REVIVAL_TITLE,Resurrection,Resurrección
UI_REVIVAL_LODESTAR,Lodestar,Estrella de Vida
UI_REVIVAL_LODESTAR_TIP,Revive at the nearest town,Revivir en la Estrella de Vida
UI_REVIVAL_LODELIGHT,Lodelight,Estrella de Luz
UI_REVIVAL_LODELIGHT_TIP,Revive at your chosen Lodelight,Revivir en la Estrella de Luz
UI_CHARINFO_BASE,Base,Base
UI_CHARINFO_NAME,Name,Nombre
UI_CHARINFO_LOGIN,Login,Usuario
UI_CHARINFO_JOB,Job,Clase
UI_CHARINFO_LEVEL,Level,Nivel
UI_CHARINFO_SERVER,Server,Servidor
UI_CHARINFO_CHANNEL,Channel,Canal
UI_CHARINFO_DETAIL,Detail,Detalles
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Puntos de Est.
UI_CHARINFO_APPLY,Confirm,Aplicar
UI_CHARINFO_RESET,Revert,Botón
UI_CHARINFO_CHANGESTATE,Change State,Cambiar Estado
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Página Estadística Actual: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Switch Stat Page,Cambiar Página de Estadísticas
UI_CHARINFO_APPLY_TOOLTIP,Confirm stat allocation,Aplicar nuevas Estadísticas.
UI_CHARINFO_RESET_TOOLTIP,Revert allocation and return to previous stats,Volver a las Anteriores Estadísticas.
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Switch to a different stat page,Intercambiar Páginas de Estadísticas.
UI_CHARINFO_PLUSMINUS_TOOLTIP,"After allocating your stat points, press Confirm.",Selecciona Aplicar después de distribuir tus puntos de Estadística.
UI_CHARINFO_STR_TOOLTIP,Increases the weapon's Attack Power (#cffb40000except wands and bows#nc).,Aumenta el Poder de Ataque de las Armas (#cffb40000Excepto para Varitas y Arcos#nc)
UI_CHARINFO_STA_TOOLTIP,"Increases Defense, Max HP, and Max FP.\nIncreases HP and FP recovery rate.","Aumenta la Defensa, HP Max. y FP Max.\nRecuperación de HP y FP aumentada"
UI_CHARINFO_DEX_TOOLTIP,"Increases Attack Speed, Parry, Block and Critical Chance.\n#cffb40000Increases bow damage.#nc",Aumenta la Velocidad de Ataque.\nAumenta la Tasa de Evasión y la Tasa de Bloqueo.\nAumenta la Probabilidad de Golpe Crítico.\n#cffb40000Aumenta el daño del Arco.#nc
UI_CHARINFO_INT_TOOLTIP,Increases Max MP.\nIncreases Magic Attack Power.,Aumenta el MP Max.\nAumenta el Ataque Mágico
UI_CHARINFO_GP_TOOLTIP,"After allocating your stat points, press Confirm.",Selecciona Aplicar después de distribuir tus puntos de Estadística.
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Fama de Duelo
UI_CHARINFO_PVP_DUELPOINT,Duel Points,Puntos de Duelo
UI_CHARINFO_PVP_KILLPOINT,Killing Points,Puntos de Muerte
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Nivel de Karma
UI_CHARINFO_PVP_KARMAPOINT,Karma Points,Puntos de Karma
UI_CHARINFO_PVPPK,PvP/PK,PvP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,Sexo: Hombre
UI_TOOLTIP_SEX_FEMALE,Sex: Female,Sexo: Mujer
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,Nivel Reducción de Tiempo
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,Nivel Bonificación de Rendimiento
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,Nivel Probabilidad de Bonificación de Portador
UI_TOOLTIP_ONEHAND,One-handed weapon.,Arma de una mano.
UI_TOOLTIP_TWOHAND,Two-handed weapon.,Arma de dos manos.
UI_TOOLTIP_ATTACK_BASE,Base Attack:,Ataque Base:
UI_TOOLTIP_DEF_BASE,Base Defense:,Defensa Base:
UI_TOOLTIP_ATTACK,Attack:,Ataque:
UI_TOOLTIP_DEF_A,Defense:,Defensa:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,Velocidad de ataque: %s
UI_TOOLTIP_REQ_JOB,Req Job:,Clase Req:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,Nivel Requerido: %d
UI_TOOLTIP_REQ,Requires %s,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,Recuperación de MP: %d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,Recuperación de HP: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,Recuperación de FP: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,Efectivo hasta %d
UI_TOOLTIP_INV_SUIT,Suit,Traje
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,Guanteletes
UI_TOOLTIP_INV_BOOTS,Boots,Botas
UI_TOOLTIP_INV_HELMET,Helmet,Casco
UI_TOOLTIP_INV_CLO,Cloak,Capa
UI_TOOLTIP_INV_WEAPON,Weapon,Armas
UI_TOOLTIP_INV_GUARD,Shield,Escudo
UI_TOOLTIP_INV_MASK,Mask,Máscara
UI_TOOLTIP_INV_RID,Flying Item,Objeto Volador
UI_TOOLTIP_INV_NECKLACE,Necklace,Collar
UI_TOOLTIP_INV_RING,Ring,Anillo
UI_TOOLTIP_INV_EARRING,Earring,Earring
UI_TOOLTIP_INV_BULLET,"Ammunition (Arrows, Posters)","Arma Secundaria (Flechas, Pósters)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion Hat,Gorro Fashion
