Key,English,Polish
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,Świat
PROPMAP_TXT_000002,Region,Region
PROPMAP_TXT_000003,Town,Miasto
PROPMAP_TXT_000004,Madrigal,Madrigal
PROPMAP_TXT_000005,"Darkon 1, 2","Darkon 1, 2"
PROPMAP_TXT_000006,Darkon 3,Darkon 3
PROPMAP_TXT_000007,Garden of Rhisis,Ogród Rhisis
PROPMAP_TXT_000008,Saint Morning,Saint Morning
PROPMAP_TXT_000009,Flaris,Flaris
PROPMAP_TXT_000012,Flarine,Flarine
PROPMAP_TXT_000013,Saint City,Saint City
PROPMAP_TXT_000014,Darken,Darken
PROPMAP_TXT_000242,Dungeon,Lochy
PROPMAP_TXT_000263,Mars Dungeon,Lochy Mars
PROPMAP_TXT_000265,Dekane Mine,Kopalnia Dekane
PROPMAP_TXT_000266,Iblis Temple,Świątynia Iblis
PROPMAP_TXT_000274,Forsaken Tower 1F,Forsaken Tower 1F
PROPMAP_TXT_000275,Forsaken Tower 2F,Forsaken Tower 2F
PROPMAP_TXT_000276,Forsaken Tower 3F,Forsaken Tower 3F
PROPMAP_TXT_000277,Forsaken Tower 4F,Forsaken Tower 4F
PROPMAP_TXT_000278,Forsaken Tower 5F,Forsaken Tower 5F
PROPMAP_TXT_000279,Forsaken Tower 6F,Forsaken Tower 6F
PROPMAP_TXT_000280,Forsaken Tower 7F,Forsaken Tower 7F
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,Kebaras
PROPMAP_TXT_100001,North-Fl,Północne Flarine
PROPMAP_TXT_100002,Cen Flarine,Centralne Flarine
PROPMAP_TXT_100003,East-Fla,Wschodnie Flarine
PROPMAP_TXT_100004,Darkon,Darkon
PROPMAP_TXT_100005,The North of Leren Mountains,Północne Góry Leren
PROPMAP_TXT_100006,The River of Weeping,Rzeka Płaczu
PROPMAP_TXT_100007,Saint Hall,Hala Saint
PROPMAP_TXT_100008,Pumpkin Town,Dyniowe Miasteczko
PROPMAP_TXT_100009,Plateau of Silence,Płaskowyż Ciszy
PROPMAP_TXT_100010,The North of Hillid Mountains,Północne Góry Hillid
PROPMAP_TXT_100011,The Middle of Hillid Mountains,Środkowe Góry Hillid
PROPMAP_TXT_100012,The South of Hillid Mountains,Południowe Góry Hillid
PROPMAP_TXT_100013,Guardian's Room,Pokój Opiekunów
PROPMAP_TXT_100014,Heret,Heret
PROPMAP_TXT_100015,Cendil,Cendil
PROPMAP_TXT_100016,Aniceknight,Aniceknight
PROPMAP_TXT_100017,Arians,Arians
PROPMAP_TXT_100018,Deadwallderness,Martwe Pustkowie
PROPMAP_TXT_100019,Brekin,Brekin
PROPMAP_TXT_100020,Guardiane,Strażnica
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),Darkon 2 (Jaskinia Zawiści)
PROPMAP_TXT_100022,Clockworks' Cage,Zegarowa Klatka
PROPMAP_TXT_100023,Erons Factories,Fabryki Erony
PROPMAP_TXT_100024,Gouthan Mountains,Góry Gouthan
PROPMAP_TXT_100025,Darkon 1 (KhipRa),Darkon 1 (KhipRa)
PROPMAP_TXT_100026,Unknown,Nieznane
PROPMAP_TXT_100029,Armory,Zbrojownia
PROPMAP_TXT_100030,Center for Guild Combat,Centrum Walki Gildii
PROPMAP_TXT_100031,Arena Manager,Menedżer areny
PROPMAP_TXT_100032,Azria,Azria
PROPMAP_TXT_100033,Guild Siege,Oblężenie Gildii
PROPMAP_TXT_100034,Quiz,Quiz
PROPMAP_TXT_100035,Village of Kan,Wioska Kan
PROPMAP_TXT_100036,Area,Obszar
PROPMAP_TXT_100037,Saint Morning Station,Stacja Saint Morning
PROPMAP_TXT_100038,Garden of Rhisis II,Ogród Rhisis II
PROPMAP_TXT_100039,Cave of Envy,Jaskinia Zawiści
PROPMAP_TXT_100040,Darkon 2,Darkon 2
PROPMAP_TXT_100041,Volkane,Wulkan
PROPMAP_TXT_100042,Abandoned Erons Factory,Abandoned Erons Factory
PROPMAP_TXT_100043,Frozen Forest,Frozen Forest
PROPMAP_TXT_100044,Forgotten Bridge,Forgotten Bridge
PROPMAP_TXT_100045,Azria Village,Wioska Azria
PROPMAP_TXT_100046,Frozen Lakes,Frozen Lakes
PROPMAP_TXT_100047,Castle Ruins,Castle Ruins
PROPMAP_TXT_100048,High Mountains,High Mountains
PROPMAP_TXT_100049,Redchip Dealer,Redchip Dealer
PROPMAP_TXT_100050,Storm Peak,Storm Peak
PROPMAP_TXT_100051,Envy Depths,Envy Depths
PROPMAP_TXT_100052,Leren Chasm,Leren Chasm
PROPMAP_TXT_100053,Rhisis Catacombs,Rhisis Catacombs
PROPMAP_TXT_100054,Guardiane Sanctuary,Guardiane Sanctuary
PROPMAP_TXT_100055,Leren Chasm (Medium),Leren Chasm (Medium)
PROPMAP_TXT_100056,Leren Chasm (Hard),Leren Chasm (Hard)
PROPMAP_TXT_100057,Leren Chasm (Extra Hard),Leren Chasm (Extra Hard)
PROPMAP_TXT_100058,Leren Chasm (Nightmare),Leren Chasm (Nightmare)
PROPMAP_TXT_100059,Rhisis Catacombs (Hard),Rhisis Catacombs (Hard)
PROPMAP_TXT_100060,Rhisis Catacombs (Extra Hard),Rhisis Catacombs (Extra Hard)
PROPMAP_TXT_100061,Rhisis Catacombs (Nightmare),Rhisis Catacombs (Nightmare)
PROPMAP_TXT_100062,Envy Depths (Extra Hard),Envy Depths (Extra Hard)
PROPMAP_TXT_100063,Envy Depths (Nightmare),Envy Depths (Nightmare)
PROPMAP_TXT_100064,Guardiane Sanctuary (Nightmare),Guardiane Sanctuary (Nightmare)
PROPMAP_TXT_100065,Envy Depths (Medium),Envy Depths (Medium)
PROPMAP_TXT_100066,Eggcellent's Meadow,Eggcellent's Meadow
PROPMAP_TXT_100067,Eggcellent's Meadow (Medium),Eggcellent's Meadow (Medium)
PROPMAP_TXT_100068,Eggcellent's Meadow (Hard),Eggcellent's Meadow (Hard)
PROPMAP_TXT_100069,Leren Chasm (Story),Leren Chasm (Story)
PROPMAP_TXT_100070,Rhisis Catacombs (Story),Rhisis Catacombs (Story)
PROPMAP_TXT_100071,Envy Depths (Story),Envy Depths (Story)
PROPMAP_TXT_100072,Guardiane Sanctuary (Story),Guardiane Sanctuary (Story)
PROPMAP_TXT_100073,Storm Peak (Story),Storm Peak (Story)
PROPMAP_TXT_200000,The Colosseum,The Colosseum
PROPMAP_TXT_100074,The Wilds (Story),The Wilds (Story)
PROPMAP_TXT_100075,The Wilds,The Wilds
PROPMAP_TXT_230001,Instance,Instance
PROPMAP_TXT_100076,FWC Arena,FWC Arena
PROPMAP_TXT_100081,Leren Chasm (Cursed),Leren Chasm (Cursed)
PROPMAP_TXT_100082,Rhisis Catacombs (Cursed),Rhisis Catacombs (Cursed)
PROPMAP_TXT_100083,Envy Depths (Cursed),Envy Depths (Cursed)
PROPMAP_TXT_100084,Guardiane Sanctuary (Cursed),Guardiane Sanctuary (Cursed)
PROPMAP_TXT_100085,Storm Peak (Cursed),Storm Peak (Cursed)
PROPMAP_TXT_200001,Beach House,Beach House
PROPMAP_TXT_200002,Blank World,Blank World
PROPMAP_TXT_200003,Guild Ship,Guild Ship
PROPMAP_TXT_200004,Forest House,Forest House
PROPMAP_TXT_200005,Volcano House,Volcano House
PROPMAP_TXT_200006,Snow House,Snow House
PROPMAP_TXT_200007,Housing Specialist,Housing Specialist
PROPMAP_TXT_200008,Pet Tamer,Zaklinacz zwierząt
PROPMAP_TXT_200009,Beach House (S),Beach House (S)
PROPMAP_TXT_200010,Beach House (M),Beach House (M)
PROPMAP_TXT_200011,Beach House (L),Beach House (L)
PROPMAP_TXT_200012,Kalgas Assault Realm,Kalgas Assault Realm
PROPMAP_TXT_200013,Darken House,Darken House
PROPMAP_TXT_100086,2nd Anniversary,2nd Anniversary
PROPMAP_TXT_100087,2nd Anniversary (Medium),2nd Anniversary (Medium)
PROPMAP_TXT_100088,2nd Anniversary (Hard),2nd Anniversary (Hard)
PROPMAP_TXT_100200,[Event] Envy Depths (Easy),[Event] Envy Depths (Easy)
PROPMAP_TXT_100201,[Event] Envy Depths (Medium),[Event] Envy Depths (Medium)
PROPMAP_TXT_100202,[Event] Envy Depths (Hard),[Event] Envy Depths (Hard)
PROPMAP_TXT_100089,Lv.15+,Lv.15+
PROPMAP_TXT_100090,Lv.20+,Lv.20+
PROPMAP_TXT_100091,Lv.80+,Lv.80+
PROPMAP_TXT_100092,Lv.100+,Lv.100+
PROPMAP_TXT_100093,Lv.25+,Lv.25+
PROPMAP_TXT_100097,Lv.120+,Lv.120+
PROPMAP_TXT_200014,Fall House,Fall House
PROPMAP_TXT_200015,Fall House (S),Fall House (S)
PROPMAP_TXT_200016,Fall House (M),Fall House (M)
PROPMAP_TXT_200017,Fall House (L),Fall House (L)
PROPMAP_TXT_200018,Blank House (Couple),Blank House (Couple)
PROPMAP_TXT_200019,Beach House (Couple),Beach House (Couple)
PROPMAP_TXT_200020,Darken House (Couple),Darken House (Couple)
PROPMAP_TXT_200021,Forest House (Couple),Forest House (Couple)
PROPMAP_TXT_200022,Fall House (Couple),Fall House (Couple)
PROPMAX_TXT_200023,Herneos,Herneos
PROPMAP_TXT_200024,Boss Monster Raid,Boss Monster Raid
PROPMAP_TXT_100094,[Event] Halloween Dungeon,[Event] Halloween Dungeon
PROPMAP_TXT_100095,[Event] Halloween Dungeon (Normal),[Event] Halloween Dungeon (Normal)
PROPMAP_TXT_100096,[Event] Halloween Dungeon (Hard),[Event] Halloween Dungeon (Hard)
PROPMAP_TXT_200025,Snowfield,Snowfield
PROPMAX_TXT_200026,Ankou's Asylum,Ankou's Asylum
PROPMAP_TXT_200027,Kaillun Temple,Kaillun Temple
PROPMAP_TXT_200028,Eillun,Eillun
PROPMAP_TXT_200029,Kaillun,Kaillun
PROPMAP_TXT_200030,Leren Chasm (Infernal),Leren Chasm (Infernal)
PROPMAP_TXT_200031,Rhisis Catacombs (Infernal),Rhisis Catacombs (Infernal)
PROPMAP_TXT_200032,Envy Depths (Infernal),Envy Depths (Infernal)
PROPMAP_TXT_200033,Guardiane Sanctuary (Infernal),Guardiane Sanctuary (Infernal)
PROPMAP_TXT_200034,Storm Peak (Infernal),Storm Peak (Infernal)
PROPMAP_TXT_200035,The Wilds (Infernal),The Wilds (Infernal)
PROPMAP_TXT_200036,Ankou's Asylum (Story),Ankou's Asylum (Story)
PROPMAP_TXT_200037,Seabed,Seabed
PROPMAP_TXT_200038,Rescue [Eillun Farmer] Sprout,Rescue [Eillun Farmer] Sprout
PROPMAP_TXT_200039,Rescue [Eillun Farmer] Thorn,Rescue [Eillun Farmer] Thorn
PROPMAP_TXT_200040,Defend [Eillun Farmer] Dr. Root,Defend [Eillun Farmer] Dr. Root
PROPMAP_TXT_200041,Rescue [Eillun Farmer] Dr. Root,Rescue [Eillun Farmer] Dr. Root
PROPMAP_TXT_200042,Mysterious Castle,Mysterious Castle
PROPMAP_TXT_200043,Euphresia,Euphresia
PROPMAP_TXT_200044,Kebaras 2,Kebaras 2
