Key,English,Vietnamese
UI_EVENT_EXPBOOST,EXP Boost!,EXP Boost!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,Accessory Upgrading!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,Weapon Piercing!
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,Party EXP Boost!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,Hãy tìm Golden Aibatt!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,Giết Golden Aibatt trong dungeons và nhận tiền thưởng rơi!
UI_EVENT_NIGHTBOOST,Night Boost!,Night Boost!
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,Nhận thêm 30% Exp khi game vào ban đêm!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,Là đêm!X1.3 Exp!!
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...","Mặt trời đã ló dạng, khuyến mãi Exp x1.3 đã kết thúc..."
UI_EVENT_EASTER,Easter Event,Sự kiện Phục Sinh
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,Hoàn thành Eggcellent's Meadow để nhận Pink Easter Eggs!
UI_EVENT_SPRING,Spring Event!,Sự kiện Mùa Xuân!
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,Diamond in the Sky
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,Hủy diệt những ngôi sao trên bầu trời đêm để thu được mảnh sao!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,Đêm đã đến! Những ngôi sao bắt đầu ló ra.. Hãy tìm chúng trên bầu trời!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","Đêm đã qua, những ngôi sao đang biến mất."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,Giảm giá cho Dungeon Coins!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,Dùng ít hơn số Dungeon Coins khi tham gia các nhiệm vụ hoặc nhập cửa hang!
UI_EVENT_ANNIVERSARY,1st Anniversary!,"""Kỷ niệm 1 năm!"
UI_EVENT_ANNIVERSARY_DESC,Flyff Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,FlyFF Universe đã tròn 1 tuổi! Một lời cảm ơn lớn tới tất cả các người chơi đã góp phần làm nên cột mốc quan trọng này!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1st Anniversary Playtime Event,Sự kiện điểm danh kỷ niệm 1 năm
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Log in each day for 40 minutes to receive rewards!,Đăng nhập mỗi ngày trong 40 phút và nhận thưởng!
UI_EVENT_FWC,Flyff World Championship,Flyff World Championship
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,FWC Level Reach
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,Tìm kiếm Đạt các cấp độ mới trong thời gian diễn ra sự kiện và nhận phần thưởng! Chỉ có trên máy chủ Giải Flyff World Championship!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear with [FWC Manager] Ava to get more rewards!,Trao đổi TFWC Gear tại [FWC Manager] Ava để nhận thêm phần thưởng!
UI_EVENT_FWC_DESC,The #bFlyff World Championship#nb is a global competition. Join this server with boosted EXP and Drops and compete for exceptional prizes!,#bFlyff World Championship#nb là một cuộc thi toàn cầu diễn ra cho đến ngày 7 tháng 9 năm 2023. Hãy tham gia máy chủ này với tăng Exp và tăng Drop và cố gắng giành những phần thưởng đặc biệt!
UI_EVENT_MOCOMOCHI,Mocomochi!,Mocomochi!
UI_EVENT_UPGRADING,Upgrading!,"""Nâng cấp!"""
UI_EVENT_LUCKYCAPSULE,Lucky Draw!,Rút thăm may mắn!
UI_EVENT_LUCKYCAPSULE_DESC,"Earn coins by defeating monsters or completing quests, then spend them at the Gacha Machine to receive exceptional rewards!",Kiếm được đồng tiền bằng cách đánh bại quái vật hoặc hoàn thành nhiệm vụ cho nhân vật Gacha Machine NPC và nhận phần thưởng đặc biệt!
UI_EVENT_DROPBOOST,Drop Boost!,Drop Boost!
UI_EVENT_SUITPIERCING,Suit Piercing!,Suit Piercing!
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!,Flyff Music Festival!
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them with Bach.,Thu thập Music Notes và Music Score Scrolls và trao đổi chúng với NPC Bach
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!,+30% Kinh nghiệm! 
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!,+30% Party Experience!
UI_EVENT_SECRETBOOST,Secret Boost!,Secret Boost!
UI_EVENT_RESCUE,Rescue Private Leo!,Giải cứu Binh Nhì Leo!
UI_EVENT_STONERAIN,Stone Rain!,mưa đá 
UI_EVENT_STONERAIN_DESC,Monsters drop upgrade stone pieces!,Rơi các mảnh đá nâng cấp! 
UI_EVENT_LUCKYRPS,Lucky RPS Event,Lucky RPS Event
UI_EVENT_SERVICEMIGRATION,September Connect,Kết nối vào tháng Chín
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!,Khảo sát Người chơi! Hướng đến những phần thưởng đặc biệt!
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse,Ghé thăm https://linktr.ee/flyffuniverse
UI_EVENT_OKTOBERFEST,Oktoberfest!,Oktoberfest!
UI_EVENT_TIME_TO_HUNT,Time to Hunt,Thời gian săn
