Key,English,Spanish
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Conectando. Por favor espera.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,No se puede conectar con el juego. Por favor revisa tu conexión.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,El juego ha sido actualizado. Cierra la página y ábrela de nuevo por favor.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Identificador de servidor incorrecto.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Error desconocido, por favor inténtalo de nuevo."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Tu cuenta ya está conectada.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,¿Quieres desconectar el otro dispositivo?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,El dispositivo se está desconectando. Vuelve a iniciar sesión en 10 segundos.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Este canal está lleno, por favor espera un momento o selecciona otro canal."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,El nombre del personaje ya se encuentra en uso.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,¡Monstruo Jefe Detectado!
TEXTCLIENT_APP_MAP,World Map,Mapa del Mundo
TEXTCLIENT_APP_OPTION,Options,Opciones
TEXTCLIENT_APP_LOGOUT,Log Out,Desconectar
TEXTCLIENT_APP_QUIT,Quit,Salir
TEXTCLIENT_APP_SUPPORT,Support,Soporte
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navegador
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Desconectando en %d seg(s).
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Cambiando de personaje en %d seg(s).
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Vinculando cuenta en %d seg(s).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,¿Te quieres desconectar?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Perderás tu personaje de invitado.#nc Por favor vincula una cuenta.
TEXTCLIENT_EXIT,Do you want to exit the program?,¿Quieres salir del programa?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Desconectado del servidor.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,La creación de personajes está desactivada en este servidor.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Parece haber una fuerza maligna nublando tu visión del área.
TEXTCLIENT_ITEM_DESC,Description:,Descripción:
