Key,English,Traditional_Chinese
NPC_WHOAREYOU,Who are you?,介紹
NPC_GOODBYE,Goodbye!,道別
NPC_CARGO,CARGO,貨運
NPC_WHATSGOINGON,What's going on?,近況
NPC_EXIT,Exit,離開方法
NPC_HOWTOFLY,How to Fly,飛行操作
NPC_COMBATFLYING,Combat Flying,飛行戰鬥
NPC_IDCARD,ID CARD,身分證
NPC_WHATABOUTTHEMINE,What about the mine?,迪坎礦坑
NPC_MOVE,Move,移動
NPC_FORHONOR,For Honor!,獵殺怪物
NPC_FORFUN,For Fun!,無聊嗎～
NPC_MEHJUSTBECAUSE,"Meh, just because?",管你的！
NPC_YES_ENTER,Yes_Enter,是_進入
NPC_NO_ENTER,No_Enter,不_入場
NPC_WHEREAMI,Where am I?,場所
NPC_MAKEANAPPOINTMENT,Make an appointment,指定場所
NPC_FINALIZESTATSELECTION,Finalize Stat selection,能力值初始化
NPC_DEKANEMINE,Dekane Mine,迪坎礦坑
NPC_CELL,Cell,飛兒
NPC_AZRIAMINE,Azria Mine,阿茲里亞礦
NPC_CURSEDSYMBOL,Cursed Symbol,受詛咒的徽記
NPC_GIVESYMBOL,Give the Symbol,交出徽記
NPC_HAELLETTER,Hael's Letter,哈爾的信
NPC_GIVELETTER,Give Letter,交出信件
NPC_TREASURE_BOX,Treasure,寶藏
NPC_LOSTMEMORIES,Lost Memories,失落的記憶
NPC_BREWINGPOTIONS,Brewing Potions,調製藥水
NPC_THECURE,The Cure,解藥
NPC_GUIDETOFLYING,Guide to Flying,飛行操作指南
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,飛行戰鬥指南
NPC_SHOPS,Shops?,購買
NPC_DEATH,Death?,死亡
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,領取額外獎勵
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!",科科科，善良的人類啊，可以幫我一個忙嗎？
NPC_000045,Fathers Package,父親的行李
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",科科科，你們人類會來到這裡，真是太稀奇了啊！
NPC_000047,"Thank you for saving my father, human. So what brings you here?",真的很謝謝你幫助了我的父親。來找我有什麼事嗎？
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!",我父親被關在奇昆村莊最右邊的監獄裡面。欸，快點救他出來啦！
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.",科科科，我不知道你們人類是如何來到這裡的，這裡可不是你該來的地方。這裡很危險，快快回去吧！
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!",科科科，我是奇昆族的酋長的兒子 [得安]，你們人類總覺得我們很笨，可是在我們的眼中，人類才是更無能的一方。
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!",科科科，總之這裡很危險，快快回去吧！
NPC_000052,Here is the package my father left me... Hrrmph!,父親留給我的行李，就在這裡，科科科。
NPC_000053,*Sigh* this might take a while...,唉…事情真難搞啊…
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.",哦？你…是人類吧。真有種呢！
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!",切！只不過是個人類卻那麼囂張！快點給我滾！不然我讓你見識矮人拳法的厲害！
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,真遺憾，我無意向人類介紹自己。
NPC_000057,"Beat it, human! You're not welcome here!",沒錯！你快點回家比較好。這裡不是你們人類該來的地方。
NPC_000058,*Whistles*,…
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...",格瓦爾！你就呆站在這，還是讓我離開這裡？你知道每個人都不喜歡被盯著瞧…
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.",喀喀喀…哦，好久沒看過人類了！我是奇昆族的酋長 [藍彼] 噠！
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!",喀喀喀，好久沒見到人類了啊，有機會下次再見囉！
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,需要魔法用品嗎？請找我吧！
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,你會來到這座島，是不是你也跟我一樣對於魔法磁力的研究感興趣呢？很高興認識你。
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,我的名字是 [希艾拉]，看起來這個區域發生了與魔法有關的異常現象，所以過來研究了。
NPC_000065,Farewell!,祝你好運！
NPC_000066,Come to me if you seek absolution.,懺悔罪惡，請求原諒的人呀，過來吧。
NPC_000067,Are you here for confession?,來找我懺悔的嗎？
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,你的表情看起來很陽光啊。願你人生的路途也會如此光明。
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,我是引導罪人重返正道的 [華倫泰神父]。若你想洗清罪愆，就來與我談談吧。
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,從罪犯怪物中取得鑰匙吧。只要拿到鑰匙就能夠從傳送空間進到山裡面。
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?",再會了陌生人，不要再犯錯了，好嗎？
NPC_000072,"You will not survive here without a shield, friend.",毫無防備的你還可以在這裡生存！你真是不簡單啊！
NPC_000073,Huh? Do you want something from me? Then speak up!,嗯？想要我的東西嗎？那你就說吧！
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!",我叫 [羅賓]。我會來到這裡有很多原因，現在我不太想跟你說這些。你給我安靜！
NPC_000075,Take care! ,慢走，請多保重！
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,你看看你那糟糕的裝備？快讓我來幫你吧！
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,哈哈哈！你看你的樣子就像是犯了罪。是什麼風把你吹來這？
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!",您好，冒險家！我是 [順]。你們友善的武器商人。我不在乎你是誰，客人就是客人，快過來買我的裝備！
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,嘿嘿嘿！好吧，希望我們哪天能一起去喝一杯。
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,我販售補給品給疲憊的冒險者。我有你需要的所有物品！
NPC_000081,You look like you have something to tell me...,你看起來像是有話想對我說…
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,我叫 [優娜]。我相信你會發現我的食物跟補品的價格非常合理唷。
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*",照過來，照過來！快來安迪的雜貨店滿足你的冒險需求！
NPC_000084,May I help you?,我能幫你什麼呢？
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?",真高興我有顧客了！如果你需要它，而我剛好也有它…你會不會剛好也有一些止咳藥吧？有嗎？
NPC_000086,"*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*",抱歉，讓我清個嗓子，我叫安迪，在得肯經營雜貨店。
