Key,English,Japanese
PROPITEMETC_INC_000001,Leaf Set,ファミルセット(F) 
PROPITEMETC_INC_000002,Parmil Set,ファミルセット(M) 
PROPITEMETC_INC_000003,Flower Set,フェイタルセット(F) 
PROPITEMETC_INC_000004,Petal Set,フェイタルセット(M) 
PROPITEMETC_INC_000005,Stinger Set,スレイピンセット(F) 
PROPITEMETC_INC_000006,Slepint Set,スレイピンセット(M) 
PROPITEMETC_INC_000007,Curus Set,サディンセット(F) 
PROPITEMETC_INC_000008,Sardine Set,サディンセット(M)
PROPITEMETC_INC_000009,Niz Set,シアーセット(F) 
PROPITEMETC_INC_000010,Seer Set,シアーセット(M)
PROPITEMETC_INC_000011,Cylos Set,カミットセット(F)
PROPITEMETC_INC_000012,Comet Set,カミットセット(M) 
PROPITEMETC_INC_000013,Miracle Set,レイアードセット(F)
PROPITEMETC_INC_000014,Layered Set,レイアードセット(M) 
PROPITEMETC_INC_000015,Sayram Set,ターリーンセット(F) 
PROPITEMETC_INC_000016,Talin Set,ターリーンセット(M)
PROPITEMETC_INC_000017,Merr Set,ソレインセット(F) 
PROPITEMETC_INC_000018,Sorain Set,ソレインセット(M)
PROPITEMETC_INC_000019,Stitch Set,パングリルセット(F)
PROPITEMETC_INC_000020,Panggril Set,パングリルセット(M) 
PROPITEMETC_INC_000021,Hyper Set,クルーザセット(F)
PROPITEMETC_INC_000022,Cruiser Set,クルーザセット(M)
PROPITEMETC_INC_000023,Flury Set,ウェイジーセット(F) 
PROPITEMETC_INC_000024,Wedge Set,ウェイジーセット(M)
PROPITEMETC_INC_000025,Misty Set,ミスティセット(F)
PROPITEMETC_INC_000026,Teba Set,ミスティセット(M)
PROPITEMETC_INC_000027,Recorn Set,リコンセット(M)
PROPITEMETC_INC_000028,Rescorn Set,リコンセット(F)
PROPITEMETC_INC_000029,Rebron Set,レブロンセット(M)
PROPITEMETC_INC_000030,Restron Set,レブロンセット(F)
PROPITEMETC_INC_000031,Shurand Set,シュランドセット(M）
PROPITEMETC_INC_000032,Shuran Set,シュランドセット(F)
PROPITEMETC_INC_000033,Ahes Set,アレースセット(M)
PROPITEMETC_INC_000034,Anoos Set,アレースセット(F)
PROPITEMETC_INC_000035,Warpon Set,ワーフォンセット(M)
PROPITEMETC_INC_000036,Warspon Set,ワーフォンセット(F)
PROPITEMETC_INC_000037,Wees Set,ウィズセット(M)
