Key,English,Spanish
TEXTEMOTION_TXT_000000,Laugh,Feliz
TEXTEMOTION_TXT_000001,Sad,Llorar a mares
TEXTEMOTION_TXT_000002,Kiss,Lanzar beso
TEXTEMOTION_TXT_000003,Surprise,¡Qué susto!
TEXTEMOTION_TXT_000004,Blush,Sonrojado
TEXTEMOTION_TXT_000005,Anger,Furioso
TEXTEMOTION_TXT_000006,Sigh,Decepcionado
TEXTEMOTION_TXT_000007,Wink,Coquetear
TEXTEMOTION_TXT_000008,Ache,Enfermo
TEXTEMOTION_TXT_000009,Hunger,Hambriento
TEXTEMOTION_TXT_000010,Yummy,Saboréandose
TEXTEMOTION_TXT_000011,Sneer,Soy el mejor
TEXTEMOTION_TXT_000012,Sparkle,Maravillado
TEXTEMOTION_TXT_000013,Ridicule,Risa burlona
TEXTEMOTION_TXT_000014,Sleepy,Tengo sueño
TEXTEMOTION_TXT_000015,Rich,¡Dinero!
TEXTEMOTION_TXT_000016,Glare,Fastidiado
TEXTEMOTION_TXT_000017,Sweat,Nervioso
TEXTEMOTION_TXT_000018,Cat face,Carita de gato
TEXTEMOTION_TXT_000019,Tongue,Sacar la lengua
TEXTEMOTION_TXT_000020,Mad,Enojado
TEXTEMOTION_TXT_000021,Aha,¡Tengo una idea!
TEXTEMOTION_TXT_000022,Embarrassed,En aprietos
TEXTEMOTION_TXT_000023,Help,¡Ayuda!
TEXTEMOTION_TXT_000024,Crazy,Risa desquiciada
TEXTEMOTION_TXT_000025,Oh!,¡Atento!
TEXTEMOTION_TXT_000026,Confused,Mareado
TEXTEMOTION_TXT_000027,Ouch,Noqueado
TEXTEMOTION_TXT_000028,Love,Enamorado
TEXTEMOTION_TXT_100000,Risitas,¡¡JAJAJA!!
TEXTEMOTION_TXT_100001,Broken Heart,Traicionado
TEXTEMOTION_TXT_100002,Sadge,Resignado
TEXTEMOTION_TXT_100003,Copium,Derrotado
TEXTEMOTION_TXT_100004,Susge,Sospechoso
TEXTEMOTION_TXT_100005,Sheesh,¡Es increíble!
TEXTEMOTION_TXT_100006,Acktually,Sabelotodo
