Key,English,Traditional_Chinese
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,戰鬥姿勢
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,坐下休息
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,撿取附近的物品
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,握手
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,思考
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,表示肯定
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,表示否定
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,原地踏步！！
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,稍息！！
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,立正！！
PROPMOTION_TXT_000020,Scissors,剪刀
PROPMOTION_TXT_000021,Scissors,剪刀
PROPMOTION_TXT_000022,Rock,石頭
PROPMOTION_TXT_000023,Rock,石頭
PROPMOTION_TXT_000024,Paper,布
PROPMOTION_TXT_000025,Paper,布
PROPMOTION_TXT_000026,North,那裡是北方~
PROPMOTION_TXT_000027,Point North,指向北方
PROPMOTION_TXT_000028,South,那裡是南方~
PROPMOTION_TXT_000029,Point South,指向南方
PROPMOTION_TXT_000030,East,那裡是東方~
PROPMOTION_TXT_000031,Point East,指向東方
PROPMOTION_TXT_000032,West,那裡是西方~
PROPMOTION_TXT_000033,Point West,指向西方
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,單腳跪地
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,伏地挺身
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,搖屁屁捉弄人
PROPMOTION_TXT_000040,Pow!,喝呀！
PROPMOTION_TXT_000041,Punch,不停的打跆拳道基本動作
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,頭碰地屁股翹起來的懲罰姿勢
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,舉起手精神喊話
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,採集資源
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),往和自己最近的村莊移動。(5 分鐘內施展)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,替其他玩家加油。
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,攻擊選擇的目標。
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,向選擇的對象告白
PROPMOTION_TXT_000057,Toggle Weapons,拿起/收起 武器
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,使用你召喚寵物的恩寵
PROPMOTION_TXT_000059,Follow the Selected Target,跟隨選定的目標
PROPMOTION_TXT_000060,Switch Your Current Stat Page,交換您當前的數值頁面
PROPMOTION_TXT_000061,Play Dead,假死
PROPMOTION_TXT_000062,Propose,提出
PROPMOTION_TXT_000063,High Five (Couple),擊掌 (情侶)
PROPMOTION_TXT_000064,Hug (Couple),擁抱 (情侶)
PROPMOTION_TXT_000065,Half Heart (Couple),半顆心 (情侶
PROPMOTION_TXT_000066,Frustrated,沮喪的
PROPMOTION_TXT_000067,Cross Arms (Couple),交叉臂 (情侶)
PROPMOTION_TXT_000068,Eye Contact (Couple),眼神交流 (情侶)
PROPMOTION_TXT_000069,Jump (Couple),跳躍 (情侶)
PROPMOTION_TXT_000070,Dance 1,舞蹈 1
PROPMOTION_TXT_000071,Dance 2,舞蹈 2
PROPMOTION_TXT_000072,Dance 3,舞蹈 3
PROPMOTION_TXT_000073,Dance 4,舞蹈 4
PROPMOTION_TXT_000074,Dance 5,舞蹈 5
PROPMOTION_TXT_000075,Dance 6,舞蹈 6
PROPMOTION_TXT_000076,Dance 7,舞蹈 7
PROPMOTION_TXT_000077,Dance 8,舞蹈 8
PROPMOTION_TXT_000078,Dance 9,舞蹈 9
PROPMOTION_TXT_000079,Meditation,冥想
PROPMOTION_TXT_000080,Flip Jump 1,翻轉跳躍 1
PROPMOTION_TXT_000081,Flip Jump 2,翻轉跳躍 2
PROPMOTION_TXT_000082,Lift O,舉起 O
PROPMOTION_TXT_000083,Lift X,舉起 X
PROPMOTION_TXT_000084,Lift Rock,舉起石頭
PROPMOTION_TXT_000085,Lift Paper,舉起布
PROPMOTION_TXT_000086,Lift Scissors,舉起剪刀
PROPMOTION_TXT_000087,Dance 10,舞蹈 10
PROPMOTION_TXT_000088,Dance 11,舞蹈 11
PROPMOTION_TXT_000089,Polite Greeting,禮貌問候
PROPMOTION_TXT_000090,Hurray,歡呼
PROPMOTION_TXT_000100,Clap,鼓掌
PROPMOTION_TXT_000101,Brrr,打冷顫聲
PROPMOTION_TXT_000102,Dance 12,舞蹈 12
PROPMOTION_TXT_000103,Hot,熱
PROPMOTION_TXT_000104,LMAO,捧腹大笑
PROPMOTION_TXT_000105,Ninja,忍者
PROPMOTION_TXT_000106,Aha,領悟
PROPMOTION_TXT_000107,Provoke,挑釁
PROPMOTION_TXT_000108,Surprised,驚訝
PROPMOTION_TXT_000109,Look Around,環顧四周
PROPMOTION_TXT_000110,Arm Heart,手臂愛心
PROPMOTION_TXT_000111,Switch Your Current Skill Page,切換目前的技能頁面
PROPMOTION_TXT_000112,Surrender,投降
PROPMOTION_TXT_000113,Begging,乞求
PROPMOTION_TXT_000114,Waist Stretching,腰部伸展
PROPMOTION_TXT_000115,Lower Body Stretching,下半身伸展
PROPMOTION_TXT_000116,Thumbs Up,比讚
