Key,English,Spanish
PROPMOVER_TXT_000002,Male,Masculino
PROPMOVER_TXT_000004,Female,Femenino
PROPMOVER_TXT_000006,Small Aibatt,Aibatt Pequeño
PROPMOVER_TXT_000008,Aibatt,Aibatt
PROPMOVER_TXT_000010,Captain Aibatt,Aibatt Capitán
PROPMOVER_TXT_000012,Giant Aibatt,Aibatt Gigante
PROPMOVER_TXT_000014,Small Mushpang,Mushpang Pequeño
PROPMOVER_TXT_000016,Mushpang,Mushpang
PROPMOVER_TXT_000018,Captain Mushpang,Mushpang Capitán
PROPMOVER_TXT_000020,Giant Mushpang,Mushpang Gigante
PROPMOVER_TXT_000022,Small Burudeng,Burudeng Pequeño
PROPMOVER_TXT_000024,Burudeng,Burudeng
PROPMOVER_TXT_000026,Captain Burudeng,Burudeng Capitán
PROPMOVER_TXT_000028,Giant Burudeng,Burudeng Gigante
PROPMOVER_TXT_000030,Small Pukepuke,Pukepuke Pequeño
PROPMOVER_TXT_000032,Pukepuke,Pukepuke
PROPMOVER_TXT_000034,Captain Pukepuke,Pukepuke Capitán
PROPMOVER_TXT_000036,Giant Pukepuke,Pukepuke Gigante
PROPMOVER_TXT_000038,Small Peakyturtle,Peakyturtle Pequeño
PROPMOVER_TXT_000040,Peakyturtle,Peakyturtle
PROPMOVER_TXT_000042,Captain Peakyturtle,Peakyturtle Capitán
PROPMOVER_TXT_000044,Giant Peakyturtle,Peakyturtle Gigante
PROPMOVER_TXT_000046,Urchin Demian,Demian Descarado
PROPMOVER_TXT_000048,Demian,Demian
PROPMOVER_TXT_000050,Bad Demian,Demian Malvado
PROPMOVER_TXT_000052,Giant Demian,Demian Gigante
PROPMOVER_TXT_000054,Small Doridoma,Doridoma Pequeño
PROPMOVER_TXT_000056,Doridoma,Doridoma
PROPMOVER_TXT_000058,Captain Doridoma,Doridoma Capitán
PROPMOVER_TXT_000060,Giant Doridoma,Doridoma Gigante
PROPMOVER_TXT_000062,Young Lawolf,Lawolf Joven
PROPMOVER_TXT_000064,Lawolf,Lawolf
PROPMOVER_TXT_000066,Grownup Lawolf,Lawolf Adulto
PROPMOVER_TXT_000068,Giant Lawolf,Lawolf Gigante
PROPMOVER_TXT_000070,1st Class Fefern,Fefern 1ra Clase
PROPMOVER_TXT_000072,Fefern,Fefern
PROPMOVER_TXT_000074,2nd Class Fefern,Fefern 2da Clase
PROPMOVER_TXT_000076,Giant Fefern,Fefern Gigante
PROPMOVER_TXT_000078,Cute Nyangnyang,Nyangnyang Linda
PROPMOVER_TXT_000080,Nyangnyang,Nyangnyang
PROPMOVER_TXT_000082,Creep Nyangnyang,Nyangnyang Rastrera
PROPMOVER_TXT_000084,Giant Nyangnyang,Nyangnyang Gigante
PROPMOVER_TXT_000086,Bang,Bang
PROPMOVER_TXT_000088,Captain Bang,Bang Capitán
PROPMOVER_TXT_000090,Boss Bang,Bang Jefe
PROPMOVER_TXT_000092,Giant Bang,Bang Gigante
PROPMOVER_TXT_000094,Small Wagsaac,Wagsaac Pequeño
PROPMOVER_TXT_000096,Wagsaac,Wagsaac
PROPMOVER_TXT_000098,Captain Wagsaac,Wagsaac Capitán
PROPMOVER_TXT_000100,Giant Wagsaac,Wagsaac Gigante
PROPMOVER_TXT_000102,Small Mia,Mia Pequeña
PROPMOVER_TXT_000104,Mia,Mia
PROPMOVER_TXT_000106,Captain Mia,Mia Capitana
PROPMOVER_TXT_000108,Giant Mia,Mia Gigante
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Mr. Pumpkin Rancio
PROPMOVER_TXT_000112,Mr. Pumpkin,Mr. Pumpkin
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Mr. Pumpkin Podrido
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Mr. Pumpkin Gigante
PROPMOVER_TXT_000118,Red Mantis C,Red Mantis C
PROPMOVER_TXT_000120,Red Mantis B,Red Mantis B
PROPMOVER_TXT_000122,Red Mantis A,Red Mantis A
PROPMOVER_TXT_000124,Giant Red Mantis,Red Mantis Gigante
PROPMOVER_TXT_000126,Small Jack the Hammer,Jack the Hammer Pequeño
PROPMOVER_TXT_000128,Jack the Hammer,Jack the Hammer
PROPMOVER_TXT_000130,Captain Jack the Hammer,Jack the Hammer Capitán
PROPMOVER_TXT_000132,Giant Jack the Hammer,Jack the Hammer Gigante
PROPMOVER_TXT_000134,Small Giggle Box,Giggle Box Pequeño
PROPMOVER_TXT_000136,Giggle Box,Giggle Box
PROPMOVER_TXT_000138,Captain Giggle Box,Giggle Box Capitán
PROPMOVER_TXT_000140,Giant Giggle Box,Giggle Box Gigante
PROPMOVER_TXT_000142,Small Rock Muscle,Rock Muscle Pequeño
PROPMOVER_TXT_000144,Rock Muscle,Rock Muscle
PROPMOVER_TXT_000146,Captain Rock Muscle,Rock Muscle Capitán
PROPMOVER_TXT_000148,Giant Rock Muscle,Rock Muscle Gigante
PROPMOVER_TXT_000150,Small Hobo,Hobo Pequeño
PROPMOVER_TXT_000152,Hobo,Hobo
PROPMOVER_TXT_000154,Captain Hobo,Hobo Capitán
PROPMOVER_TXT_000156,Giant Hobo,Hobo Gigante
PROPMOVER_TXT_000158,Small Dumb Bull,Dumb Bull Pequeño
PROPMOVER_TXT_000160,Dumb Bull,Dumb Bull
PROPMOVER_TXT_000162,Captain Dumb Bull,Dumb Bull Capitán
PROPMOVER_TXT_000164,Giant Dumb Bull,Dumb Bull Gigante
PROPMOVER_TXT_000166,Small Totemia,Totemia Pequeño
PROPMOVER_TXT_000168,Totemia,Totemia
PROPMOVER_TXT_000170,Captain Totemia,Totemia Capitán
PROPMOVER_TXT_000172,Giant Totemia,Totemia Gigante
PROPMOVER_TXT_000174,Maid Cardpuppet,Cardpuppet Sirvienta
PROPMOVER_TXT_000176,Cardpuppet,Cardpuppet
PROPMOVER_TXT_000178,Manager Cardpuppet,Cardpuppet Encargada
PROPMOVER_TXT_000180,Boss Cardpuppet,Jefa Cardpuppet
PROPMOVER_TXT_000182,Small Tombstone Bearer,Tombstone Bearer Pequeño
PROPMOVER_TXT_000184,Tombstone Bearer,Tombstone Bearer
PROPMOVER_TXT_000186,Captain Tombstone Bearer,Tombstone Bearer Capitán
PROPMOVER_TXT_000188,Giant Tombstone Bearer,Tombstone Bearer Gigante
PROPMOVER_TXT_000190,Phantom Basque,Basque Fantasma
PROPMOVER_TXT_000192,Basque,Basque
PROPMOVER_TXT_000194,Lumping Basque,Basque Grumoso
PROPMOVER_TXT_000196,Giant Basque,Basque Gigante
PROPMOVER_TXT_000198,Small Mage Prankster,Prankster Mago Pequeño
PROPMOVER_TXT_000200,Prankster,Prankster
PROPMOVER_TXT_000202,Master Mage Prankster,Prankster Mago Maestro
PROPMOVER_TXT_000204,Giantmage Prankster,Prankster Mago Gigante
PROPMOVER_TXT_000206,Rough Wheelem,Wheelem Bruto
PROPMOVER_TXT_000208,Wheelem,Wheelem
PROPMOVER_TXT_000210,Bouncing Wheelem,Wheelem Rebotador
PROPMOVER_TXT_000212,Giant Wheelem,Wheelem Gigante
PROPMOVER_TXT_000214,Small Leyena,Leyena Pequeña
PROPMOVER_TXT_000216,Leyena,Leyena
PROPMOVER_TXT_000218,Captain Leyena,Leyena Capitana
PROPMOVER_TXT_000220,Giant Leyena,Leyena Gigante
PROPMOVER_TXT_000222,Small Steam Walker,Steam Walker Pequeño
