Key,English,Filipino
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","Ipagpalit ang 10 mosquitoes at 50,000 penyas para sa isang Rock-Paper-Scissors coupon."
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","Ipagpalit ang 10 red socks at 50,000 penyas para sa isang Rock-Paper-Scissors coupon."
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","Kung dalahan mo ako ng 10 piraso ng kahit anong item, papalitan ko ito ng isang buo! Pindutin lamang ang item na gusto mong ipalit at pindutin ang Ok!"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,Maaari kong palitan ang iyong dice at Penya. I-click lamang ang item na gusto mong palitan at pindutin ang Ok!
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","Ang mga armor set na ibinebenta ko dito sa aking shop ay talagang ang pinakamahusay na mahahanap mo! Kaya, ilang Red Chips mayroon ka, hmmm?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","Palitan ang Beach Ball, Parasol at Penya para sa magagandang Beach Boxes!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","Ang mga item na binebenta ko rito sa tindahan ay tiyak na makakatulong! Kaya, ilan ang Green Chips mo, hmmm?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","Ang mga bagay na ibinebenta ko dito sa aking tindahan ay talagang ang pinakamahusay na mahahanap mo! Kaya, ilan ang Blue Chips mo, hmmm?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,Ibalik mo sa akin ang mga nawalang regalo ko at iisipin kong may ibibigay sa iyo bilang kapalit.
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,Napansin kong marami kang rice cake. Gusto mo ba na lutuin ko sila para mas masarap?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","Maraming tao ang pumunta sa akin at sinabi na nawawala ang kanilang mga love letters.. Pwede ba hanapin mo ito at ibalik sa akin? Bibigyan kita ng malaking gantimpala bilang kapalit.\n\n#cffff0000Para sa pagpalit ng 5 Letters, ikaw ay gagantimpalaan ng 1 sa 4 bonus items randomly. Isa lang ang pwedeng bukas sa isang panahon, kaya maging maingat!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","Gusto mo pala pumatay ng ibang manlalaro at magnakaw ng kanilang chips... Walang problema, hindi ako nagtatanong kung saan nanggaling ang mga bagay na 'yan. Tingnan mo kung ano ang maibibigay ko sa'yo."
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",Kailangan ko ng tulong mo! May ilang malilikot na nilalang na kumuha ng lahat ng itlog at itinago sa isang espesyal na dungeon. Kunin mo ang mga iyon at gagantimpalaan kita ng napakagandang loot!
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,"Gusto mo bang magdagdag ng konting kislap sa araw mo? Sirain ang mga bituin sa gabi at kolektahin ang Star Fragments! Pagkatapos, puntahan mo ako para sa mga nagniningning na gantimpala na tiyak magpapasaya sa iyo."
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,Araw mo ngayon! Gawing mas espesyal pa ito sa pamamagitan ng pag-enjoy ng matatamis na panghimagas. Puntahan mo ako para sa isang slice of heaven at masasarap na gantimpala!
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,Narinig mo ba ang tungkol sa mga taong nawawala sa mga dungeon kamakailan?\nTumulong iligtas ang mga tao at kolektahin ang Rescue Certificate!\nNaghanda ako ng iba't ibang gantimpala para sa iyong mga gawa ng katapangan!
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,Papapalitan ko ang iyong +10 High-Level Ultimate weapons at Very Rare equipment ng espesyal na +10 FWC Golden equipment. Kumpletuhin ang ilang palitan para makakuha pa ng mas maraming gantimpala! Tandaan na maaari lamang palitan ang mga bagay na tumutugma sa iyong class at gender.
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,"Tara, pasiklabin natin ang tunog sa iyong espesyal na araw! Sumama ka sa akin sa isang musikal na selebrasyon na puno ng magagandang sorpresa at tugtugin."
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?","Mainit ang tag-init!! Kailangan ko ng pampalamig! \nNarinig ko na maririnig mo ang alon kapag inilagay mo ang kabibe sa iyong tenga, totoo ba 'yan?"
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.","Nasa rurok ang beer festival, kaya abala ang lahat. Kailangan namin ng beer, matutulungan mo ba kami? \nKung makapaghahatid ka ng beer, papalitan ko ito ng iba't ibang gantimpala."
EXCHANGE_FINDGOLDENAIBATT_EVENT_2310,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?,Narinig mo na ba ang balita? Lumitaw ang Golden Monsters!\nSinasabi ng mga tao na makakakuha ka ng gold shard kapag hinunt mo ang golden monster… Makakakuha ka ba ng ilan para sa akin?
EXCHANGE_TIME_TO_HUNT_2023,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?",Masagana ang taon kaya maraming halimaw ang sumisira sa mga pananim.\nPanahon na para habulin sila! Matutulungan mo ba ako?
EXCHANGE_JEWELRY,Exchange your jewelry here. Note the upgrade level of the output items!,I-exchange ang iyong alahas dito. Tingnan ang upgrade level ng output items!
EXCHANGE_CHRISTMAS_2023,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?,Ninakaw ng mga Thief Santa ang lahat ng regalo na ibibigay ko nitong Pasko.\nMatutulungan mo ba akong mabawi ang mga iyon?
EXCHANGE_ATTACK_OF_THE_SNOWCLONES,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?,Kinuha ng mga Yetti ang lahat ng toy hammers mula sa orphanage. Maaari mo bang kuhanin pabalik ang mga martilyo mula sa mga Yetti?
EXCHANGE_KALGASCHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?","Ang mga item na binebenta ko rito sa tindahan ay talagang pinakamaganda! Kaya, ilan ang Kalgas Chips mo, hmmm?"
EXCHANGE_MARCH_2023,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!,May mga green monsters na lumitaw sa buong kontinente ng Madrigal. Talunin sila at dalhin ang mga token sa akin!
EXCHANGE_ATTACK_OF_THE_HUNGRY_MONSTERS,"Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?","Nag-aaway ang mga nagugutom na halimaw sa mga manlalakbay, bumabagsak sa mga baryo at ninanakaw ang pagkain mula sa mga bahay. Sasama ka ba sa paglaban laban sa mga halimaw?"
EXCHANGE_2ND_ANNIVERSARY_EVENT,"Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!","Nakapag-donate ka na ba ng sapat na token sa iyong guild? Kung oo, ipapalit namin ang mga ito para sa mga box!"
EXCHANGE_2024_VACANCE_EVENT,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!,Ano'ng kailangan mong vacation items? Dalhin mo sa amin ang maayos mong pinakintab na kabibe at ipapalit namin ito sa mga gantimpala!
EXCHANGE_PIRATE_SHIP_EVENT,"The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case","Ninakaw ng mga pirata ang mapa ng aking kayamanan.\nKung maibabalik mo sa akin ang mapa, bibigyan kita ng magandang case"
EXCHANGE_YELLOWCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?","Ang mga item na binebenta ko rito sa aking tindahan ay tiyak na makakatulong! Kaya, ilan ang Yellow Chips mo, hmmm?"
EXCHANGE_FISHINGCHAMPION_EVENT,"Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!","Naranasan mo na bang mangisda? Kapag nahumaling ka sa pangingisda, hindi ka na madaling makaalis!"
EXCHANGE_3RD_ANNIV_EGG_UPGRADE_EVENT,Exchange items for the Egg Upgrade Event,I-exchange ang mga item para sa Egg Upgrade Event
EXCHANGE_FWC_COIN_2025,"Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya","Hoy! Dito mo pwedeng ipagpalit ang Champion Coins mo para sa mga item na gusto mo.\nAng bawat item ay may limitadong bilang ng palitan, at limitado rin ang coins mo.\nKaya mag-isip muna at siguraduhing makuha ang talagang kailangan mo!\n\n※ Mawawala ang Champion Coin kapag natapos na ang panahon.\n※ Ang hindi nagamit na Champion Coin ay papalitan ng Penya\n ┗ 1 Champion Coin = 10 Penya"
EXCHANGE_PTS,Grab useful items for your testing purposes here!,Kunin ang mga kapaki-pakinabang na item para sa iyong testing purposes dito!
EXCHANGE_ALCHEMY,Alchemy,Alchemy
EXCHANGE_CARPENTRY,Carpentry,Carpentry
EXCHANGE_COOKING,Cooking,Cooking
EXCHANGE_SMITHING,Smithing,Smithing
EXCHANGE_KEBARAS2COST,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!
