Key,English,French
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.",Échangez 10 moustiques et 50 000 penyas contre un coupon du Jeu du Flyffoumi.
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.",Échangez 10 chaussettes rouges et 50 000 Penyas contre un coupon du Jeu du Flyffoumi.
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","Si tu m'apportes 10 morceaux de n'importe quel item, je te les échangerai pour l'item entier ! Clique simplement sur l'item que tu souhaites échanger et appuie sur Ok !"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,Je peux échanger tes dés contre des Penyas. Clique simplement sur l'objet que tu souhaites échanger et appuie sur Ok !
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","Les tenues que tu peux trouver dans ma boutique sont de loin les meilleures qui existent ! Alors, combien de Jetons Rouges as-tu, hum ?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","Échangez vos Ballons de plages, Parasols et Penyas pour obtenir des Boîtes de Plage !"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","Les objets que je vends dans ma boutique te seront certainement utiles ! Donc combien de jetons verts as-tu, hum ?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","Les objets que tu peux trouver dans ma boutique sont de loin les meilleurs qui existent ! Alors, combien de Jetons Bleus as-tu, hum ?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,Apporte-moi les cadeaux que j'ai perdus et je songerai à t'offrir quelque chose en retour.
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,Je vois que tu as beaucoup de gâteaux de riz. Tu veux que je les cuisine pour les rendre meilleurs ?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","Beaucoup de personnes sont venues me dire qu'elles avaient perdu leurs lettres d'amour. Peux-tu les retrouver et me les ramener ? Je te récompenserai largement.\n\n#cffff0000Pour chaque lot de 5 Lettres, vous obtiendrez un objet bonus sélectionné aléatoirement parmi 4. Seul un objet peut être actif à la fois, soyez prudent!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","Alors tu aimes tuer des joueurs et voler leurs jetons... Très bien, peu m'importe d'où viennent ces objets. Regarde ce que j'ai à t'offrir."
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",J'ai besoin de votre aide ! D'espiègles créatures ont pris tous ses œufs et les ont caché dans un donjon spécial. Allez les récupérer et vous aurez des récompenses œuf-issimes !!
