Key,English,Traditional_Chinese
TEXTCLIENT_CONNECTING,Connecting. Please wait.,連線中，請稍候。
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,無法連線，請確認網路狀態。
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,遊戲已更新，請關閉頁面並重新開啟。
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,伺服器識別碼錯誤。
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.",未知錯誤，請重試。
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,您的帳號已登入。
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,您想斷開另一個裝置的連線嗎？
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,裝置正在中斷連線，請在 10 秒後重新登入。
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.",此頻道目前已滿，請稍候或選擇其他頻道。
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,該角色名稱已被使用。
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,發現首領怪物！
TEXTCLIENT_APP_MAP,World Map,世界地圖
TEXTCLIENT_APP_OPTION,Options,選項
TEXTCLIENT_APP_LOGOUT,Log Out,登出
TEXTCLIENT_APP_QUIT,Quit,離開
TEXTCLIENT_APP_SUPPORT,Support,支援
TEXTCLIENT_APP_PRIVACY,Privacy,隱私
TEXTCLIENT_APP_NAVIGATOR,Navigator,導航
TEXTCLIENT_APP_DEBUG,Debug,除錯
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,在 %d 秒後登出。
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,在 %d 秒後更換角色。
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,在 %d 秒後連結帳號。
TEXTCLIENT_LOGOUT,Do you want to disconnect?,您想中斷連線嗎？
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000您將失去訪客角色。#nc 請綁定帳號。
TEXTCLIENT_EXIT,Do you want to exit the program?,要離開遊戲程式嗎？
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,已與伺服器中斷連線。
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,無法在此伺服器建立角色。
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,似乎有一股邪惡力量蒙蔽了您對這區域的視線。
TEXTCLIENT_ITEM_DESC,Description:,描述：
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,此名稱包含未經許可的文字或符號。
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,此名稱包含未經許可的文字或符號。
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,您的公共網路 IP 位址已被封鎖，請聯絡管理員以了解更多資訊。
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,此遊戲目前在您所在的國家/地區無法使用。
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,在您的公開網路 IP 位址上偵測到異常活動。請在 %s 後再試。
TEXTCLIENT_SECS,second(s),秒
TEXTCLIENT_MINS,minute(s),分
TEXTCLIENT_HOURS,hour(s),小時
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.",您的登入已逾時，請重新輸入您的帳號和密碼。
TEXTCLIENT_ADMIN,Admin,管理員
TEXTCLIENT_DEVELOPER,Dev,開發者
TEXTCLIENT_GAMEMASTER,Game Master,遊戲管理員
TEXTCLIENT_MODERATOR,MOD,版主
TEXTCLIENT_VENDOR_NPC,[Vendor],[行動商店]
TEXTCLIENT_APP_CHAT,Chat Window,聊天視窗
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,您的帳號或密碼無效。
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,身份驗證失敗，請重試。
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f",位置：x = %f，y = %f，z = %f，角度 = %f
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,您無法傳送訊息給自己。
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s 不存在或離線。
TEXTCLIENT_APP_NOTICE,Notice,通知
TEXTCLIENT_APP_STATUS,Status,狀態
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s (等級 %d)
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,技能施展中，無法使用。
