Key,English,Traditional_Chinese
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.",如果要更改照相視野，請移動游標或使用點擊滑鼠右鍵的箭頭鍵 (新版) 或點擊滾輪鍵 (舊版)
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.",按空白鍵可以在地面上跳躍，飛行時會使飛行器具停止或啟動。
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,任何職業都必須到達等級 20 級之後，才能飛行。飛行器可以找各城鎮的 [航空站] NPC 購買。
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.",生命不足之時，可選擇動作欄上的『坐下』來恢復生命。雖然耗費的時間較久，但是可以省下不少錢唷！
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.",如果不小心死了，但是城鎮又太遠，不想回生命光塔復活時，可以接受復活技能復活或使用持有的付費道具“復活卷軸”，就能夠在原地復活了。
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.",食物、魔力、活力補充劑多這類物品可以補充角色的生命、魔力、活力。但是這些物品可以補充的量是有上限的。購買補品的時候，請確認恢復的上限，使用適合自己程度的物品，才能將效果發揮到最大。
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.",等級到達 15 級時，請盡快去進行轉職。因為見習生等級到達 15 級之後，不會再累積任何的經驗值了。
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,想取消目標，按鍵盤上的 ESC 鍵後，即可取消目標。 
CLIENT_TIP_INC_000008,Troupe means Party.,『劇團』就是隊伍的意思。
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.",若想要使用技能，請先打開技能視窗 (熱鍵 K)，確定技能後，可以將技能登錄到畫面下方 F1~F10 的熱鍵內使用。想要連續使用技能，只要在右側動作欄位裡，放入技能後，指定目標按下 C 鍵，就能夠連續使用技能。
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,若要使用中段技能『疾刺連擊』，必須先將前段技能『重擊』設定到技能熱鍵欄中。
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.",點擊對方後，按住『ALT』鍵的狀態下，點擊滑鼠左鍵後，在出現的選單裡，選擇”跟選”選項，就可以跟隨在對方後面。飛行時按下 Z 鍵和空白鍵，就能夠跟隨目標。
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.",按住『ALT』鍵選定任何一個玩家，即可使用加入劇團、即時通、跟隨等等的功能。
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,按下 X 鍵後，就會轉換成走路模式，再按一次後，就能夠再轉換回跑步模式。
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,按一次 X 鍵可轉換成走路的模式，再按一次即可轉換成跑步模式。
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,在線上買賣金幣是違反我們的政策！在線上購買金幣會使您的帳戶面臨風險，您可能會受到懲罰。
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,分享、提供或出售遊戲帳號是違反我們的政策。任何違規行為都可能導致永久終止相關的帳號。
