Key,English,Traditional_Chinese
LANGUAGE_CODE,EN,TW
UI_HOME_TITLE,Home,開始
UI_HOME_GUESTCHAR,Guest Character,訪客角色
UI_HOME_NEWCHAR,New Character,建立角色
UI_HOME_NEWCHAR_TIP,Create a new character without an account,建立一個不需註冊帳號的新角色。
UI_HOME_LOGIN,Sign In,登入
UI_HOME_REGISTER,Sign Up,註冊
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",輸入帳號與密碼後，按下 OK 即可進入遊戲。
UI_HOME_ALREADYACCOUNT,Already have an account?,已經有一個帳號了嗎？
UI_HOME_WEBSITE,Website,官方網站
UI_HOME_CREDITS,Credits,製作人員
UI_HOME_OR,Or,或
UI_HOME_LOGIN_DOTS,Email:,電子郵件：
UI_HOME_PASSWORD,Password:,密碼：
UI_HOME_RECOVER,Forgot password?,忘記密碼？
UI_SELECTSERVER_TITLE,Select Server,選擇伺服器
UI_SELECTSERVER_BACK,Back,返回
UI_SELECTSERVER_NEXT,Next,下一步
UI_SELECTSERVER_FULL,full,已滿
UI_SELECTSERVER_BUSY,busy,繁忙
UI_SELECTSERVER_BEST,best,推薦
UI_SELECTSERVER_NEWNAME,Please enter another name:,請輸入新的名稱：
UI_SELECTSERVER_NAMETITLE,Character Name,角色名稱
UI_CHARLIST_TITLE,Characters,所有角色
UI_CHARLIST_PLAY,Play,進入遊戲
UI_CHARLIST_NEW,New,新建角色
UI_CHARLIST_DELETE,Delete,刪除
UI_DELETECHAR_TITLE,Delete Character,刪除角色
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,刪除角色需要輸入密碼\n輸入密碼
UI_DELETECHAR_NOPASS,Confirm Deletion?,您確定嗎？
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.",如果您刪除角色，該角色名稱在一週內將無法再次使用。
UI_NEWCHAR_NAME,Name:,名稱：
UI_NEWCHAR_GIRL,Girl,女
UI_NEWCHAR_BOY,Boy,男
UI_MSGBOX_START,Start,開始
UI_MSGBOX_OK,Ok,確認
UI_MSGBOX_RETRY,Retry,再試一次
UI_MSGBOX_CANCEL,Cancel,取消
UI_MSGBOX_YES,Yes,是
UI_MSGBOX_NO,No,否
UI_LOADINGSCREEN,"Loading, please wait...",正在載入，請稍候…
UI_OPTION_TITLE,Options,選項
UI_OPTION_MUSIC,Music,音樂
UI_OPTION_SOUND,Sound,音效
UI_OPTION_TEXQUALITY,Textures,紋理材質
UI_OPTION_TEXTOON,Cartoon,卡通
UI_OPTION_TEXHIGH,High,高
UI_OPTION_TEXMID,Medium,中
UI_OPTION_TEXLOW,Low,低
UI_OPTION_WEATHER,Weather,天氣
UI_OPTION_LANGUAGE,Language,語言
UI_OPTION_SAVE,Save,儲存
