Key,English,German
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Karma regenerieren durch Monsterjagd
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,"Dein schlechtes Karma kann dir erlassen werden. Bist du bereit, um für deine Sünden zu bezahlen?"
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Jage $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Du musst noch immer für deine Sünden bezahlen...
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Du hast Buße getan. Deine Sünden wurden dir vergeben.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Es gibt keine Hoffnung wenn du nicht willens bist, für Vergebung zu kämpfen."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,$QUEST_END_KILL_NAME$ jagen wird dein Karma wiederherstellen.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,"Erlange den Schlüssel, um von Kebaras Island zu flüchten"
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,"Du kannst diesen Ort über die Warp Zone verlassen. Du brauchst jedoch den Schlüssel. Bist du bereit, ihn dir zu verdienen?"
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,"Ich werde dir den Schlüssel geben, wenn du mir $QUEST_END_ITEM_COUNT$ Beads of Sin bringst. Du kannst sie in dem Feld neben dem Camp sammeln."
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,"Wie lange wird es dauern, bis du diesen Ort verlassen kannst?"
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Hier hast du  den Schlüssel. Nun geh und komm niemals zurück.
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Ich gebe dir deine Freiheit für nur $QUEST_END_ITEM_COUNT$ Beads. Wie könnte man ein solches Angebot ausschlagen?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,"Sammle 10 Gem of Sin, um dein Karma zu bereinigen."
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,Du darfst uns Gesellschaft leisten so lange du möchtest.
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Suche die Dekane Mine
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,"Hast du gesagt, dass du zur gefürchteten Dekane Mine gehen willst?"
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",In dem Fall solltest du den Dwarpet Rankashu aufsuchen. Er befindet sich am Eingang der Mine.
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,Ha ha ha. Ich wusste du würdest nein sagen. Es wäre viel zu gruselig.
