Key,English,Spanish
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,Posición de Combate
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,Sentarse
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,Recoger Objeto Cercano
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,Apretón de Manos
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,Inclinar la cabeza
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,Asentir con la Cabeza
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,Negar con la Cabeza
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,Correr
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,Posición de Descanso
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,Mostrar Atención
PROPMOTION_TXT_000020,Scissors,Tijeras
PROPMOTION_TXT_000021,Scissors,Tijeras
PROPMOTION_TXT_000022,Rock,Piedra
PROPMOTION_TXT_000023,Rock,Piedra
PROPMOTION_TXT_000024,Paper,Papel
PROPMOTION_TXT_000025,Paper,Papel
PROPMOTION_TXT_000026,North,Norte
PROPMOTION_TXT_000027,Point North,Apuntar al Norte
PROPMOTION_TXT_000028,South,Sur
PROPMOTION_TXT_000029,Point South,Apuntar al Sur
PROPMOTION_TXT_000030,East,Este
PROPMOTION_TXT_000031,Point East,Apuntar al Este
PROPMOTION_TXT_000032,West,Oeste
PROPMOTION_TXT_000033,Point West,Apuntar al Oeste
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,Arrodillarse
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,Flexiones
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,Mueca de desafio
PROPMOTION_TXT_000040,Pow!,¡Pow!
PROPMOTION_TXT_000041,Punch,Golpear
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,Poner la cabeza en el suelo
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,Elevar el arma
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,Recoger Suplementos
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),Transpórtate al Pueblo mas Cercano. (5 min. de lanzamiento)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,Animar a otro personaje.
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,Ataca al objetivo seleccionado.
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,Declararse al personaje seleccionado.
PROPMOTION_TXT_000057,Toggle Weapons,Alternar Armas
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,Activar la divinidad de la Mascota invocada.
PROPMOTION_TXT_000059,Follow the Selected Target,Seguir el objetivo seleccionado.
PROPMOTION_TXT_000060,Switch Your Current Stat Page,Cambie su página de estadísticas actual
