Key,English,Thai
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","นำ 10 mosquitoes และ 50,000 penyas มาแลกเปลี่ยนเป็น Rock-Paper-Scissors coupon"
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","นำ 10 red socks และ 50,000 penyas มาแลกเปลี่ยนเป็น Rock-Paper-Scissors coupon"
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","ถ้าคุณนำไอเทมอะไรก็ได้มาให้ฉัน 10 ชิ้น, ฉันจะเปลี่ยนมันให้กลายเป็นไอเทมเต็มชิ้น! แค่คลิ๊กไปที่ไอเทมที่ต้องการแลกเปลี่ยน และกด Ok!"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,ฉันสามารถแลกเปลี่ยนลูกเต๋าของคุณกับ Penya เพียงกดเลือกไอเทมที่ต้องการแลกเปลี่ยนแล้วกดตกลง!
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?",ชุดเกราะที่ฉันขายในร้านนี้เป็นชุดที่ดีที่สุดเท่าที่จะหาได้! แล้วคุณมี Red Chips กี่อัน อืมม?
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","แลกเปลี่ยน Beach Ball, Parasol และ Penya เป็น Beach Boxes ที่ยอดเยี่ยม!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?",ของที่ฉันขายในร้านของฉันน่าจะมีประโยชน์แน่นอน! ดังนั้น คุณมี Green Chips กันนะ ฮึมม์?
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?",สินค้าที่ฉันขายในร้านของฉันเป็นสินค้าที่ดีที่สุดเท่าที่คุณจะหาได้! แล้วคุณมี Blue Chips กี่ชิ้น หืมมม?
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,เอาของขวัญที่หายไปมาคืนฉันสิ แล้วฉันจะคิดหาอะไรมาตอบแทน..
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,ฉันสังเกตว่าคุณมีเค้กข้าว rice cake เยอะมาก คุณต้องการให้ฉันทำอาหารเพื่อให้พวกเขาดีขึ้นไหม?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc",มีคนมาหาฉันกันเต็มไปหมด แล้วบอกว่าพวกเขาจดหมายรักหายไป คุณจะช่วยไปหาจดหมายพวกนั้นมาให้ฉันได้ไหม ฉันมารางวัลดี ๆ จะให้ถ้าคุณช่วยฉันนะ \n\n#cffff0000เพื่อเป็นการแลกเปลี่ยน จดหมายทุก ๆ 5 ฉบับที่เธอนำมาฉันจะให้โบนัสไอเท็มเธอแบบสุ่ม 1 จากใน 4 อย่างนะ แต่ว่ามีเพี่ยงอย่างเดียวที่จะใช้ได้นะ ระวังเรื่องนี้ด้วย!#nc
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.",คุณอยากจะฆ่าผู้เล่นอื่นแล้วก็ขโมยชิปเขามารึ ได้เลยไม่มีปัญหาฉันไม่สนที่มาของไอเท็มพวกนี้หรอกนะ มาดูกันว่าฉันมีอะไรให้คุณบ้าง
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",ฉันต้องการความช่วยเหลือของคุณ! มีมอนสเตอร์เอาไข่ทั้งหมดของเขาไปซ่อนไว้ในดันเจี้ยนแห่งหนึ่ง กรุณาเอามันกลับมาทั้งหมด แล้วคุณจะได้รับรางวัลเป็นสมบัติที่มันยอดเยี่ยมแบบมากๆ ที่คุณอาจจะไม่เคยเห็นมาก่อน!
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,อยากให้วันของคุณมีความสดใหม่มั้ย? ทำลายดาวในยามค่ำคืนและรวบรวมเศษดาว! แล้วมาหาฉัน เพื่อรับรางวัลที่สวยมากๆ ฉันมั่นใจว่าจะทำให้คุณรู้สึกดีใจได้
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,วันพิเศษของคุณนะ! เรามาทำให้มันหวานขึ้นด้วยขนมหวานหลากหลายรสชาติ มาหาฉันเพื่อลิ้มรสและรับรางวัลที่อร่อยๆ กันนะ!
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,คุณได้ยินข่าวเกี่ยวกับคนที่หายไปจากดันเจี้ยนเมื่อเร็ว ๆ นี้ หรือยัง? \nโปรดช่วยเหลือผู้คนให้ปลอดภัยและรวบรวมใบรับรองการช่วยเหลือ! \nฉันได้เตรียมรางวัลต่าง ๆ สำหรับการกระทำอันกล้าหาญของคุณไว้แล้ว!
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,เปิดเสียงให้กระหึ่มในวันพิเศษของคุณ! ช่วยฉันในการจัดงานฉลองด้วยเสียงเพลงที่นุ่มนวล เต็มไปด้วยความประทับใจที่ไหลลื่นไปกับถ้วงทำนองและความสุขของดนตรี ฉันมั่นใจว่าคุณจะมีความสุขมากๆ หลังจากการเข้าร่วมในงานเฉลิมฉลองนี้
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?",ฤดูร้อนนี้ร้อนมาก!! ฉันต้องการสิ่งที่จะทำให้รู้สึกเย็นตัวบ้าง!\nฉันได้ยินว่าหากคุณหยิบเปลือกหอยทะเลไว้ใกล้หูคุณ คุณจะได้ยินเสียงคลื่นได้ จะจริงมั้ยไม่นะ?
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.",เทศกาลเบียร์อยู่ในช่วงพีคเลยล่ะ ทุกคนวุ่นมาก แล้วเบียร์ก็กำลังจะหมดลง คุณจะสามารถช่วยฉันได้ไหม?\nถ้าคุณสามารถช่วยหาเบียร์เพิ่มให้ฉันได้ ฉันจะตอบแทนเป็นรางวัลต่าง ๆ ให้คุณ
EXCHANGE_FINDGOLDENAIBATT_EVENT_2310,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?,ได้ยินข่าวล่าสุดหรือยัง? มอนสเตอร์สีทองได้ปรากฏตัว!\nมีคนเล่าว่าคุณสามารถได้รับเศษทองโดยการล่ามอนสเตอร์สีทอง... คุณช่วยหามาให้ฉันซักหน่อยได้ไหม?
EXCHANGE_TIME_TO_HUNT_2023,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?",ปีนี้มีผลผลิตเยอะเลย ทำให้มีมอนสเตอร์เยอะมากที่จ้องจะมาทำลายพืชผล\nถึงเวลาที่ต้องไปล่าพวกมันแล้ว! คุณจะช่วยหน่อยได้ไหม?
EXCHANGE_JEWELRY,Exchange your jewelry here. Note the upgrade level of the output items!,ที่นี่รับแลกเปลี่ยนเครื่องประดับของคุณ ระบุระดับการอัพเกรดของไอเทมที่การ!
EXCHANGE_CHRISTMAS_2023,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?,Theif Santas ขโมยของขวัญทั้งหมดที่ฉันจะแจกให้ทุกคนในคริสต์มาสนี้ไปแล้ว\nคุณสามารถช่วยฉันเอาคืนมาได้ไหม?
EXCHANGE_ATTACK_OF_THE_SNOWCLONES,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?,Yettis เอาค้อนของเล่นทั้งหมดไปจากสถานเลี้ยงเด็กกำพร้า คุณสามารถช่วยเอาคืนมาได้ไหม?
EXCHANGE_KALGASCHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?","The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?"
EXCHANGE_MARCH_2023,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!
EXCHANGE_ATTACK_OF_THE_HUNGRY_MONSTERS,"Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?","Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?"
EXCHANGE_2ND_ANNIVERSARY_EVENT,"Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!","Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!"
EXCHANGE_2024_VACANCE_EVENT,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!
EXCHANGE_PIRATE_SHIP_EVENT,"The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case","The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case"
EXCHANGE_YELLOWCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?","The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?"
EXCHANGE_FISHINGCHAMPION_EVENT,"Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!","Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!"
EXCHANGE_3RD_ANNIV_EGG_UPGRADE_EVENT,Exchange items for the Egg Upgrade Event,Exchange items for the Egg Upgrade Event
EXCHANGE_FWC_COIN_2025,"Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya","Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya"
EXCHANGE_PTS,Grab useful items for your testing purposes here!,Grab useful items for your testing purposes here!
EXCHANGE_ALCHEMY,Alchemy,Alchemy
EXCHANGE_CARPENTRY,Carpentry,Carpentry
EXCHANGE_COOKING,Cooking,Cooking
EXCHANGE_SMITHING,Smithing,Smithing
EXCHANGE_KEBARAS2COST,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!
