Key,English,Spanish
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.",¡Hola hola! ¡Soy #b#cffa0a0ffInfo Pang#nc#nb!\n\nSeré tu guía para sobrevivir en #bMadrigal#nb y tengo mucha información útil.\n\n¿Estás preparado para #baprender las lecciones#nb necesarias para sobrevivir en este mundo?\n\nPuedes revisar la información que has aprendido usando mi menú.
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Método de Movimiento
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","#b#cff0000ff■ Muévete [[usando el ratón|]]#nb#nc\n[[Haz click con el botón izquierdo del ratón en|Toca en la pantalla]] el lugar al que deseas moverte.[[\n\n#b#cff0000ff■ Muévete usando el teclado#nb#nc\nPuedes mover tu personaje presionando las siguientes teclas.\nAdelante : W\nHacia atrás : S\nA la izquierda : A\nA la derecha : D\n\n#b#cff0000ff■ Para Caminar#nb#nc\nPulsa la Tecla X. Si quieres volver a correr, pulsa la Tecla X de nuevo.|]]\n\n#b#cff0000ff■ Para Saltar#nb#nc\n[[Pulsa la BARRA ESPACIADORA| Manten presionada la pantalla]] cuando quieras saltar."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)","El movimiento del personaje con el teclado es el siguiente.\n\nHacia delante : W\nHacia atrás : S\nA la izquierda : A\nA la derecha : D\n\nFácil, ¿eh? Prueba a mover tu personaje.\n\n#cffff0000Objetivo: Mover el personaje (Teclado)"
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Método de Rotación de la Cámara
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ Rotación de la cámara[[ con el ratón|]]#nb#nc\nPuedes rotar hacia cualquier dirección [[girando el ratón mientras pulsas el click derecho del ratón|deslizando el dedo por la pantalla]].[[\n\n#b#cff0000ff■ Rotación de la cámara con el teclado#nb#nc\nPuedes rotar la cámara pulsando las siguientes teclas.\nArriba : ↑\nAbajo : ↓\nIzquierda : ←\nDerecha : →|]]\n\n#b#cff0000ff■ Para acercar y alejar la cámara#nb#nc\n[[puedes usar la rueda del ratón. También se pueden usar las teclas RePág, AvPág para cambiar la vista de forma escalonada|pellizca la pantalla y separa o junta los dedos]]."
