Key,English,Russian
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt,Сглаз
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang,Сыробежка
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng,Жукорог
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke,Вуки-туки
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle,Бронтодон
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian,Злыдень
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma,Конек
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf,Волкопард
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern,Крыжорник
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang,Кисандра
ACHIEVEMENT_KILL_BANG_NAME,Bang,Гром
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee,Мухаон
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac,Злопух
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat,Циклопырь
ACHIEVEMENT_KILL_MIA_NAME,Mia,Миа
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin,Мистер Тыквер
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis,Красный богомол
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros,Призор
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer,Кувалда Джек
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box,Хохотун
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle,Камнетавр
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow,Тавродемон
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba,Комарище
ACHIEVEMENT_KILL_HOBO_NAME,Hobo,Однорукий бандит
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull,Быказа-рогаза
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia,Истукан
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet,Заводная кукла
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen,Хвостокол
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer,Гробокоп
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon,Скорпион
ACHIEVEMENT_KILL_BASQUE_NAME,Basque,Стрелорк
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster,Проказник
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller,Пропеллац
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem,Ушатрон
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena,Лиена
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma,Дезинфектор
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker,Паровой ходок
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight,Стальной рыцарь
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger,Зомбойщик
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel,Гайковертное колесо
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle,Шлак
ACHIEVEMENT_KILL_DRILLER_NAME,Driller,Бурильщик
ACHIEVEMENT_KILL_RISEM_NAME,Risem,Рисем
ACHIEVEMENT_KILL_GRRR_NAME,Grrr,Гррр
ACHIEVEMENT_KILL_VOLT_NAME,Volt,Вольт
ACHIEVEMENT_KILL_ELDERGUARD_NAME,Elderguard,Старший охранник
ACHIEVEMENT_KILL_DUMP_NAME,Dump,Трактотрон
ACHIEVEMENT_KILL_GARBAGEPIDER_NAME,Garbagespider,Мусоробот
ACHIEVEMENT_KILL_ZENMA_NAME,Zenma,Нетопырь
ACHIEVEMENT_KILL_CRANEMACHINERY_NAME,Crane Machinery,Шагающий кран
ACHIEVEMENT_KILL_NAUTREPY_NAME,Nautrepy,Белка летун
ACHIEVEMENT_KILL_SYLIACA_NAME,Syliaca,Лосось
ACHIEVEMENT_KILL_GREEMONG_NAME,Greemong,Илий
ACHIEVEMENT_KILL_BOO_NAME,Boo,Бу
ACHIEVEMENT_KILL_CARRIERBOMB_NAME,Carrierbomb,Бомбот
ACHIEVEMENT_KILL_LONGWANG_NAME,Longwing,Длиннокрыл
ACHIEVEMENT_KILL_HOPPRE_NAME,Hoppre,Саранча
ACHIEVEMENT_KILL_MUSHPOIE_NAME,Mushpoie,Блуждающий гриб
ACHIEVEMENT_KILL_IREN_NAME,Iren,Комарище
ACHIEVEMENT_KILL_WATANGKA_NAME,Watangka,Ватангка
ACHIEVEMENT_KILL_FAFNIR_NAME,Fafnir,Фафнир
ACHIEVEMENT_KILL_ANTIQUERY_NAME,Antiquery,Древо
ACHIEVEMENT_KILL_LUIA_NAME,Luia,Лавлин
ACHIEVEMENT_KILL_GONGURY_NAME,Gongury,Электро мышь
ACHIEVEMENT_KILL_SHUHAMMA_NAME,Shuhamma,Молотоход
ACHIEVEMENT_KILL_KERN_NAME,Kern,Вогробущик
ACHIEVEMENT_KILL_GORRUDA_NAME,Gorruda,Злокрыл
ACHIEVEMENT_KILL_GLAPHAN_NAME,Glaphan,Глафан
ACHIEVEMENT_KILL_KIMERADON_NAME,Chimeradon,Химерадон
ACHIEVEMENT_KILL_BEARNUCKY_NAME,Bearnerky,Грызли
ACHIEVEMENT_KILL_MUFFRIN_NAME,Muffrin,Повар
ACHIEVEMENT_KILL_POPCRANK_NAME,Popcrank,Клоун
ACHIEVEMENT_KILL_CLOCKWORKS_NAME,Clockworks,Часовой механизм
ACHIEVEMENT_KILL_METEONYKER_NAME,Meteonyker,Метеонукер
ACHIEVEMENT_KILL_MEDUMET_NAME,Medumet,Медуза
ACHIEVEMENT_KILL_YETTI_NAME,Yetti,Йети
ACHIEVEMENT_KILL_AUGU_NAME,Augu,Аугу
ACHIEVEMENT_KILL_GHOSTKING_NAME,Ghost King,Призрачный король
ACHIEVEMENT_KILL_MAMMOTH_NAME,Mammoth,Мамонт
ACHIEVEMENT_KILL_ATROX_NAME,Atrox,Таракан
ACHIEVEMENT_KILL_TIGAR_NAME,Tigar,Тигр
ACHIEVEMENT_KILL_MERAL_NAME,Meral,Моряк
ACHIEVEMENT_KILL_KINGSTER_NAME,Kingster,Король лобстер
ACHIEVEMENT_KILL_CREPER_NAME,Creper,Крабик
ACHIEVEMENT_KILL_NAGA_NAME,Naga,Нага
ACHIEVEMENT_KILL_DORIAN_NAME,Dorian,Рыбка дориана
ACHIEVEMENT_KILL_OKEAN_NAME,Okean,Жижа
ACHIEVEMENT_KILL_KRAKEN_NAME,Kraken,Ктулху
ACHIEVEMENT_KILL_DREADFIN_NAME,Dreadfin,Ужасный плавник
ACHIEVEMENT_KILL_DREADSCALE_NAME,Dreadscale,Ужасная рыба
ACHIEVEMENT_KILL_LUMINFIN_NAME,Luminfin,Люминефин
ACHIEVEMENT_KILL_REDMETEONYKER_NAME,Red Meteonyker,Красный Метеонукер
ACHIEVEMENT_KILL_CAVEMANCHIEF_NAME,Caveman Chief,Вождь пещерных людей
ACHIEVEMENT_KILL_TEMPLEGUARDIAN_NAME,Temple Guardian,Страж храма
ACHIEVEMENT_KILL_GREATKRAKEN_NAME,Great Kraken,Великий ктулху
ACHIEVEMENT_KILL_PYRAMIDGUARDIAN_NAME,Pyramid Guardian,Страж пирамиды
ACHIEVEMENT_KILL_CRYSTALDEVIL_NAME,Crystal Demon Lord,Хрустальный демон лорд
ACHIEVEMENT_KILL_BEASTKINGKHAN_NAME,Beast King Khan,Шервала
ACHIEVEMENT_KILL_SHADEKRITON_NAME,[Shade Lieutenant] Kriton,[Тень лейтенанта] Критон
ACHIEVEMENT_KILL_PUPPETWOLF_NAME,Hundur Sharpfoot,Хундур Остроногий
ACHIEVEMENT_KILL_RYSENTRY_NAME,Samoset,Самосет
ACHIEVEMENT_KILL_RYGUARD_NAME,Kyouchish,Самосет
ACHIEVEMENT_KILL_RYARCHER_NAME,Kanonicus,Каноникус
ACHIEVEMENT_KILL_RYMAGI_NAME,Mage Redcloud,Маг Красное Облако
ACHIEVEMENT_KILL_RYWARRIOR_NAME,Taiaha,Тайаха
ACHIEVEMENT_KILL_SKELWOLF_NAME,Hellhound,Адский пес
ACHIEVEMENT_KILL_RYBARGA_NAME,Chief Keokuk,Вождь Кеокук
ACHIEVEMENT_KILL_BEHEMOTH03_NAME,[God of Death] Demonic Ankou,[Бог смерти] Демонический Анку
ACHIEVEMENT_KILL_AIBATT_LVL1,Aibatt Slayer 1,Убийца Айбатта 1
ACHIEVEMENT_KILL_AIBATT_LVL2,Aibatt Slayer 2,Убийца Айбатта 2
ACHIEVEMENT_KILL_AIBATT_LVL3,Aibatt Slayer 3,Убийца Айбатта 3
ACHIEVEMENT_KILL_AIBATT_LVL4,Aibatt Slayer 4,Убийца Айбатта 4
ACHIEVEMENT_KILL_AIBATT_LVL5,Aibatt Hunter,Охотник на Айбатт
ACHIEVEMENT_KILL_MUSHPANG_LVL1,Mushpang Slayer 1,Убийца Сыробежок 1
ACHIEVEMENT_KILL_MUSHPANG_LVL2,Mushpang Slayer 2,Убийца Сыробежок 2
ACHIEVEMENT_KILL_MUSHPANG_LVL3,Mushpang Slayer 3,Убийца Сыробежок 3
ACHIEVEMENT_KILL_MUSHPANG_LVL4,Mushpang Slayer 4,Убийца Сыробежок 4
ACHIEVEMENT_KILL_MUSHPANG_LVL5,Mushpang Hunter,Охотник на Сыробежёк
ACHIEVEMENT_KILL_BURUDENG_LVL1,Burudeng Slayer 1,Истребитель Жукорогов 1
ACHIEVEMENT_KILL_BURUDENG_LVL2,Burudeng Slayer 2,Истребитель Жукорогов 2
ACHIEVEMENT_KILL_BURUDENG_LVL3,Burudeng Slayer 3,Истребитель Жукорогов 3
ACHIEVEMENT_KILL_BURUDENG_LVL4,Burudeng Slayer 4,Истребитель Жукорогов 4
ACHIEVEMENT_KILL_BURUDENG_LVL5,Burudeng Hunter,Охотник на Жукорогов
ACHIEVEMENT_KILL_PUKEPUKE_LVL1,Pukepuke Slayer 1,Истребитель Вуки-туки 1
ACHIEVEMENT_KILL_PUKEPUKE_LVL2,Pukepuke Slayer 2,Истребитель Вуки-туки 2
ACHIEVEMENT_KILL_PUKEPUKE_LVL3,Pukepuke Slayer 3,Истребитель  Вуки-туки 3
ACHIEVEMENT_KILL_PUKEPUKE_LVL4,Pukepuke Slayer 4,Истребитель Вуки-туки 4
ACHIEVEMENT_KILL_PUKEPUKE_LVL5,Pukepuke Hunter,Охотник на Вуки-туки
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL1,Peakyturtle Slayer 1,Истребитель Бронтодонов 1
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL2,Peakyturtle Slayer 2,Истребитель Бронтодонов 2
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL3,Peakyturtle Slayer 3,Истребитель Бронтодонов 3
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL4,Peakyturtle Slayer 4,Истребитель Бронтодонов 4
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL5,Peakyturtle Hunter,Охотник на Бронтодонов 
ACHIEVEMENT_KILL_DEMIAN_LVL1,Demian Slayer 1,Истребитель Злыдней 1
ACHIEVEMENT_KILL_DEMIAN_LVL2,Demian Slayer 2,Истребитель Злыдней 2
ACHIEVEMENT_KILL_DEMIAN_LVL3,Demian Slayer 3,Истребитель Злыдней 3
ACHIEVEMENT_KILL_DEMIAN_LVL4,Demian Slayer 4,Истребитель Злыдней 4
ACHIEVEMENT_KILL_DEMIAN_LVL5,Demian Hunter,Охотник на Злыдней 
ACHIEVEMENT_KILL_DORIDOMA_LVL1,Doridoma Slayer 1,Истребитель Конкев 1
ACHIEVEMENT_KILL_DORIDOMA_LVL2,Doridoma Slayer 2,Истребитель Конкев 2
ACHIEVEMENT_KILL_DORIDOMA_LVL3,Doridoma Slayer 3,Истребитель Конкев 3
ACHIEVEMENT_KILL_DORIDOMA_LVL4,Doridoma Slayer 4,Истребитель Конкев 4
ACHIEVEMENT_KILL_DORIDOMA_LVL5,Doridoma Hunter,Охотник на Конкев 
ACHIEVEMENT_KILL_LAWOLF_LVL1,Lawolf Slayer 1,Истребитель Волкопардов 1
ACHIEVEMENT_KILL_LAWOLF_LVL2,Lawolf Slayer 2,Истребитель Волкопардов 2
ACHIEVEMENT_KILL_LAWOLF_LVL3,Lawolf Slayer 3,Истребитель Волкопардов 3
ACHIEVEMENT_KILL_LAWOLF_LVL4,Lawolf Slayer 4,Истребитель Волкопардов 4
ACHIEVEMENT_KILL_LAWOLF_LVL5,Lawolf Hunter,Охотник на Волкопардов
ACHIEVEMENT_KILL_FEFERN_LVL1,Fefern Slayer 1,Истребитель Крыжорников 1
ACHIEVEMENT_KILL_FEFERN_LVL2,Fefern Slayer 2,Истребитель Крыжорников 2
ACHIEVEMENT_KILL_FEFERN_LVL3,Fefern Slayer 3,Истребитель Крыжорников 3
ACHIEVEMENT_KILL_FEFERN_LVL4,Fefern Slayer 4,Истребитель Крыжорников 4
ACHIEVEMENT_KILL_FEFERN_LVL5,Fefern Hunter,Охотник на Крыжорников 
ACHIEVEMENT_KILL_NYANGNYANG_LVL1,Nyangnyang Slayer 1,Истребитель Кисандр 1
ACHIEVEMENT_KILL_NYANGNYANG_LVL2,Nyangnyang Slayer 2,Истребитель Кисандр 2
ACHIEVEMENT_KILL_NYANGNYANG_LVL3,Nyangnyang Slayer 3,Истребитель Кисандр 3
ACHIEVEMENT_KILL_NYANGNYANG_LVL4,Nyangnyang Slayer 4,Истребитель Кисандр 4
ACHIEVEMENT_KILL_NYANGNYANG_LVL5,Nyangnyang Hunter,Охотник на Кисандр 
