Key,English,Traditional_Chinese
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.",你好，我是#b#cffa0a0ff情報胖胖#nc#nb！\n\n我是你在#b瑪德利賈#nb生存的嚮導，也掌握許多實用資訊。\n\n你準備好#b學習課程#nb，在這個世界生存下去了嗎？\n\n你也可以透過我的選單查看已學過的資訊。
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]",讓我們先來了解角色移動。\n\n[[你可以使用鍵盤或滑鼠來移動角色。用滑鼠左鍵點選|#b點選你想前往的位置#nb]] 畫面上的地點，只要途中沒有障礙物，角色就會自動前往。[[|\n\n另外，也可以使用畫面左下角的#b方向控制盤#nb。]]\n\n#cffff0000 完成條件：移動角色 [[(滑鼠)|]]
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,移動方法
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.",#b#cff0000ff■ 移動 [[使用滑鼠|]]#nb#nc\n[[點選滑鼠左鍵|觸碰螢幕]] 到你想要去的地方。[[\n\n#b#cff0000ff■ 用鍵盤移動#nb#nc\n你可以使用以下按鍵來移動。\n前進：W\n後退：S\n左轉：A\n右轉：D\n\n#b#cff0000ff■ 走路#nb#nc\n下 X 鍵變更為走路狀態，如果你想變回跑步狀態的話，只要再按一次即可。|]]\n\n#b#cff0000ff■ 跳躍#nb#nc\n當你想要跳躍的時候 [[按下空白鍵|長按螢幕]]。
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)",那麼現在就來了解用鍵盤移動的方法吧。用鍵盤移動的方法和下面一樣，\n\n前進：W\n後退：S\n左轉：A\n右轉：D\n\n很簡單吧？你自己移動試試看吧。\n\n#cffff0000 完成條件：角色移動 (鍵盤)
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]",做得很好！\n\n角色預設是跑步狀態。\n\n[[如果你想改成步行，請按下 'X'。若想恢復跑步，再按一次 'X' 即可。\n\n#cffff0000 完成條件：熱鍵 'X'|只要點選畫面上方的#b「步行」按鈕#nb，就能切換步行與跑步。]]
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]",接下來是：跳躍！非常簡單。\n\n[[按空白鍵。如果你想在移動時跳躍，請在移動時按空白鍵|長按螢幕上的任何位置或點選位於螢幕右下角的#b「跳躍」按鈕#nb]]。\n\n#cffff0000 完成條件：跳躍 [[空白鍵|]]
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],讓我們來探索相機控制：\n\n[[相機由滑鼠和鍵盤控制。我們先來看看滑鼠用法。\n\n將滑鼠指標移到你想要查看的位置，同時按住右鍵|#b在螢幕上滑動手指#nb]] 以旋轉相機。\n\n#cffff0000 完成條件：移動相機 [[(滑鼠)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,視角操作方法
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].",#b#cff0000ff■ 移動視角 [[滑鼠|]]#nb#nc。\n你可以藉由 [[按住滑鼠右鍵移動你的游標|在螢幕上滑動手指]] 來觀看任何地方 [[\n\n#b#cff0000ff■ 藉由鍵盤來移動視角#nb#nc\n你可以使用以下按鍵來移動視角\n往上：↑\n往下：↓\n往左：←\n往右：→|]]\n\n#b#cff0000ff■ 縮放畫面#nb#nc\n[[你可以使用滑鼠滾輪，也可以使用 PGUP；PGDN 來達到一樣的目的|雙指壓住螢幕分開或合併手指]]。
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb",讓我們看看相機如何與鍵盤搭配使用，以下是旋轉相機的按鍵：\n\n上：向上箭頭 #b↑#nb\n下：向下箭頭 #b↓#nb\n左：左箭頭 #b←#nb\n右：右箭頭 #b→#nb\n\n很簡單吧，對吧？\n\n#cffff0000 清除條件：按方向鍵 #b↑↓←→#nb
TUTORIAL_ZOOM_CAMERA_TEXT,"How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom",如何？很簡單吧？接下來我們來看看縮放。\n\n[[你可以使用滑鼠滾輪進行縮放，也可以使用 Page Up 與 Page Down 鍵|雙指合攏可#b縮小#nb，張開手指可#b放大#nb]]。\n\n#cffff0000 完成條件：調整鏡頭縮放
TUTORIAL_ROTATE_PHONE_TITLE,Viewing,Viewing
TUTORIAL_ROTATE_PHONE_CONTENT,[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]],[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]]
TUTORIAL_ROTATE_PHONE_TEXT,Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]],Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]]
TUTORIAL_OPEN_MENU_TEXT,"Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu",好極了！[[是時候學習如何更改設定以盡可能享受遊戲的樂趣了。\n\n設定可從主選單裡找到。\n\n點選畫面左下方的#b按鈕#nb打開主選單|接下來，讓我們打開#b主選單#nb。\n\n只需點選螢幕左下角的按鈕]]。\n\n#cffff0000完成條件：開啟主選單
TUTORIAL_OPEN_OPTION_TEXT,"Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window",現在 [[點選|點選]] #b選項#nb 來開啟設定。\n\n在這裡，你可以調整#b材質品質、陰影、音樂音量、語言等#nb設定。\n\n完成後，請按下 #b「儲存」#nb 按鈕來套用你的變更。\n\n#cffff0000 完成條件：開啟選項視窗
TUTORIAL_OPEN_OPTION_TITLE,Settings,設定
TUTORIAL_OPEN_OPTION_CONTENT,"#b#cff0000ff■ Video / Audio tab#nb#nc\nYou can configure texture quality, shadows quality and many other graphical options. Use Save button or your changes will be reset when you close the window. Texture quality and Antialiasing are only applied when saving changes. Antialiasing[[|, Vibrations]] and Fullscreen options are not supported on all devices. All advanced options and high quality settings will consume more energy and Internet bandwidth so consider disabling them if you have a limited Internet connection or experiencing a slow framerate.\n\n#b#cff0000ff■ Game tab#nb#nc\nYou can select the interface language and enable or disable some options relative to your character. Don't forget to save your changes.",#b#cff0000ff■ 影像音效 選項#nb#nc\n你可以設定紋理材質，陰影品質和圖形選項。記得使用儲存否則將在關閉設定視窗時重製設定。紋理材質和反鋸齒只會在儲存之後才會反映。反鋸齒 [[|，震動]] 和全螢幕並不被所有裝置支援。所有的高級選項和高畫質設定將會花費更多功耗和網路頻寬，因此，如果你的網速或幀數受到限制，建議不要更動。\n\n#b#cff0000ff■ 遊戲 選項#nb#nc\n你可以選擇語言介面和啟用/關閉角色相關的選項。記得不要忘記儲存設定喔。
TUTORIAL_OPEN_MAP_TEXT,"Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]",你的冒險將在 #b瑪德利賈#nb 展開。\n\n[[按下 M 鍵|點選#b小地圖#nb]] 來確認你目前的位置，或查看其他地區的地圖。\n\n若要返回遊戲，[[再按一次 M|點選地圖右上角的叉叉按鈕]] 即可。\n\n#cffff0000 完成條件：[[熱鍵 'M'|開啟地圖]]
TUTORIAL_OPEN_MAP_TITLE,Map,地圖
