Key,English,Simplified_Chinese
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.",您好！我是胖胖。\n\n我是瑞加大陆的向导，也是很多人的老朋友了，我这里有很多十分实用的信息哦~\n\n你准备好学习如何在这个世界生存了吗？\n\n当然，你可以随时使用我这里的菜单来复习所学的内容哦。
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,移动方法
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.",#b#cff0000ff■ 移动[[使用鼠标|]]#nb#nc\n[[鼠标左键点击|触摸屏幕]]点击要移动到的位置。[[\n]\n#b#cff0000ff■ 使用键盘移动#nb#nc\n你可以通过按下面的键来移动你的角色。\n前进 ：W\n后退：S\n向左 ：A\n向右 ：D\n\n#b#cff0000ff■ 步行#nb#nc\n按X。如果要切换成跑步，请再次按X。|]]\n\n#b#cff0000ff■ 跳跃#nb#nc\n[[按空格键|在屏幕上长按]] 当你想跳跃时。
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)",用键盘移动的方法如下。\n\n前进 ：W\n向后 ：S\n左转 ：A\n右转 ：D\n\n很简单吧？ 现在试着移动你的角色吧。\n\n#cffff0000完成条件 :移动角色(键盘)
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]",下一步：跳跃! 非常简单。\n\n[[按空格键/长按屏幕]]跳跃。\n\n#cffff0000完成条件: 跳跃[[ (空格键) ]]
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],"让我们来看看如何调整视角。\n\n[[视角是用鼠标和键盘共同操作的。 让我们先使用鼠标。\n\n按住鼠标右键的同时将鼠标指针移动到您想要查看的位置/在屏幕上滑动手指]], 视角将旋转。\n\n#cffff0000清除条件 ：旋转视角[[（鼠标）|]]"
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,调整视角的方法
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].",#b#cff0000ff■ 改变视角[[用鼠标|]]#nb#nc\n只需[[按住鼠标右键的同时旋转鼠标|在屏幕上滑动手指]]，您就可以查看任何方向。[[\n]\n#b#cff0000ff■ 使用键盘更改视角#nb#nc\n您可以通过按下面的键来更改视角。\n向上 ：↑\n向下 ：↓\n向左 ：←\n向右 ：→|]]\n\n#b#cff0000ff■ 放大和缩小视距#nb#nc\n[[你可以使用鼠标滚轮上下滚动。 此外，也可用Page Up、Page Down 键可用于更改视距|捏住屏幕并张开或合拢手指]]。
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb",让我们来看看如何用键盘调整视角，以下是具体操作：\n\n向上 ：上箭头\n向下 ：下箭头\n向左 ：左箭头\n向右 ：右箭头\n\n很简单，不是吗？\n\n#cffff0000完成条件: 使用方向键 #b↑↓←→#nb
