Key,English,French
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K.
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Chasseur de monstres (Karma +2000)
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Il existe une quête afin d'expier tes crimes. Souhaites-tu effectuer cette quête ?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,"Si tu souhaites te faire pardonner tes péchés, tue $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s."
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Quand expieras-tu tes nombreux crimes ?
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Tes crimes sont à présent pardonnés. Fais le bien autour de toi à partir de maintenant !
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Si tu n'es pas dans la bonne condition d'esprit pour expier tes péchés, cette quête sera vaine."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Tu devrais chasser des $QUEST_END_KILL_NAME$s afin de récupérer les points de Karma.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Collecter les Gemmes du péché (Points de Karma à 0)
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,Il existe une quête afin d'expier tes crimes. Souhaites-tu effectuer cette quête ?
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,Trouve $QUEST_END_ITEM_COUNT$ Gemmes du péché et je t'offrirai la Clé pour sortir d'ici. Tu peux trouver les Gemmes derrière le camp.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,Quand expieras-tu tes nombreux crimes ?
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Tes crimes sont à présent pardonnés. Fais le bien autour de toi à partir de maintenant !
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Je peux te rendre ta liberté pour seulement $QUEST_END_ITEM_COUNT$ Gemmes du Péché. Comment peux-tu ignorer une telle offre ?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,Tu devrais collecter 10 Gemmes du péché afin de remettre tes points de Karma à zéro.
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,Tu peux évidemment rester sur cette île si le paysage te plaît.
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Pénétrer dans la mine de Dekanes
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,Es-tu en train de me dire que tu as pour but d'aller rencontrer le dangereux et puissant Dekanes?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",Dans ce cas rend visite au Dwarpet nommé Rankashu et dis-lui que tu viens de ma part. Demande-lui de te fournir la réponse à ma requête. Tu le trouveras dans les profondeurs de la mine de Dekanes.
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,"Ha ha… Je savais que tu allais dire non ! C'est effrayant comme mission, je l'avoue…"
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,Je t'en remercie. Ceci est la carte d'accès de la mine. Ne reviens pas me voir en te plaignant du non fonctionnement de celle-ci lorsque tu seras mort et que tu auras soif de vengeance !
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,Pourquoi est-ce qu'il est aussi difficile d'avoir quelques nouvelles ? Tu es incompétent à un point… Va... Va t'en vite !
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,Rencontrer le Dwarpet Rankashu et obtenir la réponse que Cell attend
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,"Vous avez obtenu la carte d'accès de la Mine de Dekanes. Au nom du ciel, quel est donc le secret de cette mine qui provoque autant de peur chez les gens ?! "
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Sauveur de Keakoons - Chapitre 1
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.","Je suis le fils de Nevil, qui était le Grand Chef des Keakoons. Nous étions amicaux envers les êtres humains."
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,"Nous avons aidé les humains à creuser la mine, mais nous sommes devenus si malheureux après leur départ... "
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,"Mon père se retrouve dans une situation extrêmement triste, car il vit des moments très difficiles en prison, surtout vu son grand âge. S'il te plaît, aide-moi et sauve-le."
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.","Il nous faut la clé permettant d'ouvrir les portes de la prison où est retenu mon père. Par sécurité, les Keakoons ont brisé la clé en 3 fragments, conservés par certains d'entre eux… S'il te plaît, pars vite à leur recherche !"
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,Tu es un menteur ! Je pensais être ton ami !!!
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,Oh ! Merci (versant des larmes) ! Merci infiniment pour ton aide.
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,Tu dois trouver les 3 morceaux de la clé. Ça ne sera pas simple !
PROPQUEST_DUNGEONANDPK_INC_000439,Hunt Keakoon and get all 3 pieces of the prison key.,Chasser les Keakoons et collecter les 3 fragments de la clé de la prison
PROPQUEST_DUNGEONANDPK_INC_000442,You have delivered all the pieces of the key but it looks like he still has something to say.,Rapporter les 3 fragments de clé obtenus à Drian
PROPQUEST_DUNGEONANDPK_INC_000444,Keakoon in Mine (2),Sauveur de Keakoons - Chapitre 2
PROPQUEST_DUNGEONANDPK_INC_000445,I still have a need for you. Would you help me yet again?,"Pour être honnête, j'ai encore une faveur à te demander. Tu as retrouvé la clé de la prison mais... s'il te plaît, va libérer mon père maintenant"
PROPQUEST_DUNGEONANDPK_INC_000446,You are a true friend. Take this key and free my father. I am not strong enough. Please.,"Tu es vraiment extraordinaire ! Prend cette clé et libère mon père sil te plaît. Ensuite, reviens me voir et je te donnerai la récompense que tu mérites."
PROPQUEST_DUNGEONANDPK_INC_000447,You show yourself to be no better than the fiends that imprisoned my father.,"Au final, l'être humain peut s'avérer être un ami pour le meilleur et pour le pire, tu ne penses pas ?"
PROPQUEST_DUNGEONANDPK_INC_000449,My father is in a prison on the outskirts of Keakoon village. Please hurry he cannot last much longer.,"Mon père est enfermé dans la prison du village des Keakoons, tout à l'est. S'il te plaît, dépêche-toi !"
PROPQUEST_DUNGEONANDPK_INC_000450,"Rescue Nevil, father of Drian.","Libérer le Keakoon du nom de Nevil, père de Drian"
PROPQUEST_DUNGEONANDPK_INC_000453,You have saved Nevil. Go and talk to him.,"Parler à Nevil, le père de Drian, pour s'assurer qu'il va bien"
PROPQUEST_DUNGEONANDPK_INC_000455,Keakoon in Mine (3),Sauveur de Keakoons - Chapitre 3
PROPQUEST_DUNGEONANDPK_INC_000456,"Many thanks, friend. You have done so much for us but would you do something more?","Merci infiniment ! C'est tellement courageux de ta part de m'avoir tiré de cette infâme prison ! Je vois que tu es vraiment brave, pourrais-tu encore me faire une faveur s'il te plaît ? "
PROPQUEST_DUNGEONANDPK_INC_000457,Please defeat the Elite Keakoon Guard Leader and bring me the Chief Sign that proves I am the one true Chief of the Keakoon. Would you also please bring me the cargo my son Drian is keeping safe for me?,"Alors, j'aimerais que tu fasses deux choses pour moi. Premièrement, chasse les Sentinelles Keakoon Elite et trouve le Sceau qui prouve que je suis bien leur Grand Chef. Puis retourne voir mon fils et ramène mes affaires qu'il conserve précieusement."
PROPQUEST_DUNGEONANDPK_INC_000458,What kind of person are you if you refuse to help those with less power than you?,"Tu ne peux pas être qualifié de courageux si tu détiens la force, mais que tu n'aides pas ton prochain."
PROPQUEST_DUNGEONANDPK_INC_000459,Thank you. It is my great hope that Keakoon and human can thrive together once again. Take this ring as a gift.,"Je te suis infiniment reconnaissant ! J'espère que les Keakoons et les humains entretiendront bientôt des relations amicales à nouveau... Accepte cet Anneau en gage de ma reconnaissance, bien que ce soit très peu pour le courageux aventurier que tu es."
PROPQUEST_DUNGEONANDPK_INC_000460,"If, by any chance, you want more adventure visit Bernard in Darken. Be careful. I would hate for something to happen to you.","Si tu recherches une autre poussée d'adrénaline, rends visite à Bernard à Darken, il pourra peut-être t'aider à résoudre le mystère de cette maudite mine. Prends cette clé, elle te servira pour pénétrer dans les tréfonds de la mine... Soit prudent !"
PROPQUEST_DUNGEONANDPK_INC_000461,Hrmm… It might not be that dangerous for someone as strong as you.,"Hmmm, ce que je te demande ne devrait pas te poser de difficultés, puisque tu as réussi à me libérer."
PROPQUEST_DUNGEONANDPK_INC_000462,Bring the seal of the chief and the package that Drian is holding back to Nevil.,"Trouver le Sceau de Nevil sur les Sentinelles Keakoons Elite, et récupérer les Affaires de Nevil auprès de Drian."
PROPQUEST_DUNGEONANDPK_INC_000465,"You rescued Nevil, chief of the Keakoon. You can feel the secrets around this place. Maybe you can get some information from Bernard.","Nevil, le Grand Chef des Keakons, est sain et sauf, mais il semble que la mine recèle encore bien des secrets... Bernard à Darkon devrait en savoir plus."
PROPQUEST_DUNGEONANDPK_INC_000467,Death Mine and Roaches (1),Invasion de Tyroglyphes - Chapitre 1
PROPQUEST_DUNGEONANDPK_INC_000468,Hmm… Is that the ring of Nevil around your finger?,Mais… c'est bien l'Anneau du Grand Chef Nevil que je vois à ton doigt ?! As-tu réussi à libérer Nevil et apaiser la rébellion des Keakoons ?!
PROPQUEST_DUNGEONANDPK_INC_000469,Your strength has been proven then. Would you prove yourself further? The Roach is somehow connected to the death of people in the mine.,"Dans ce cas, pourrais-tu me rendre un service ? Les Tyroglyphes semblent être impliqués dans la mort de différentes personnes dans la mine."
PROPQUEST_DUNGEONANDPK_INC_000470,There is a mystery to be unlocked here. Would you bring me the blood of the Roach larva?,J'ai besoin du fluide des Tyroglyphes afin de découvrir la relation qu'il y a entre ces monstres et la mort de ces gens. Peux-tu m'en ramener s'il te plaît ?
PROPQUEST_DUNGEONANDPK_INC_000471,Thank you. There are two kinds of Roach - Pink and Blue. Break open their eggs and hunt down the larva.,"Je t'en remercie, c'est très généreux de ta part. Bien… en fait il y a deux genres de Tyroglyphes - des roses et des bleus. Tu peux récupérer leur fluide en ouvrant les œufs qu'ils pondent et en te débarrassant des Jeunes Tyroglyphes."
PROPQUEST_DUNGEONANDPK_INC_000472,There will be no revelation without danger.,Tu ne pourras pas trouver le vrai trésor si tu cherches à éviter le danger.
