Key,English,French
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,Monde
PROPMAP_TXT_000002,Region,Région
PROPMAP_TXT_000003,Town,Ville
PROPMAP_TXT_000004,Madrigal,Madrigal
PROPMAP_TXT_000005,"Darkon 1, 2","Darkon 1, 2"
PROPMAP_TXT_000006,Darkon 3,Darkon 3
PROPMAP_TXT_000007,Garden of Rhisis,Jardin de Rhisis
PROPMAP_TXT_000008,Saint Morning,Saint Morning
PROPMAP_TXT_000009,Flaris,Flaris
PROPMAP_TXT_000012,Flarine,Flarine
PROPMAP_TXT_000013,Saint City,Saincity
PROPMAP_TXT_000014,Darken,Darken
PROPMAP_TXT_000242,Dungeon,Donjons
PROPMAP_TXT_000263,Mars Dungeon,Mine de Mas
PROPMAP_TXT_000265,Dekane Mine,Mine de Dekanes
PROPMAP_TXT_000266,Iblis Temple,Temple d'Ivillis
PROPMAP_TXT_000274,Forsaken Tower 1F,Tour oubliée 1er étage
PROPMAP_TXT_000275,Forsaken Tower 2F,Tour oubliée 2e étage
PROPMAP_TXT_000276,Forsaken Tower 3F,Tour oubliée 3e étage
PROPMAP_TXT_000277,Forsaken Tower 4F,Tour oubliée 4e étage
PROPMAP_TXT_000278,Forsaken Tower 5F,Tour oubliée 5e étage
PROPMAP_TXT_000279,Forsaken Tower 6F,Tour oubliée 6e étage
PROPMAP_TXT_000280,Forsaken Tower 7F,Tour oubliée 7e étage
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,Kebaras
PROPMAP_TXT_100001,North-Fl,Flarine Nord
PROPMAP_TXT_100002,Cen Flarine,Flarine Centre
PROPMAP_TXT_100003,East-Fla,Flarine Est
PROPMAP_TXT_100004,Darkon,Darkon
PROPMAP_TXT_100005,The North of Leren Mountains,Montagnes Nord de Leren
PROPMAP_TXT_100006,The River of Weeping,Rivière de Larmes
PROPMAP_TXT_100007,Saint Hall,Saint Hall
PROPMAP_TXT_100008,Pumpkin Town,Village des pumkins
PROPMAP_TXT_100009,Plateau of Silence,Plateau du Silence
PROPMAP_TXT_100010,The North of Hillid Mountains,Montagnes Nord de Hillid
PROPMAP_TXT_100011,The Middle of Hillid Mountains,Montagnes Centrales de Hillid
PROPMAP_TXT_100012,The South of Hillid Mountains,Montagnes Sud de Hillid
PROPMAP_TXT_100013,Guardian's Room,Chambre du Gardien
PROPMAP_TXT_100014,Heret,Heret
PROPMAP_TXT_100015,Cendil,Cendil
PROPMAP_TXT_100016,Aniceknight,Anicenight
PROPMAP_TXT_100017,Arians,Arians
PROPMAP_TXT_100018,Deadwallderness,Désolation
PROPMAP_TXT_100019,Brekin,Brekin
PROPMAP_TXT_100020,Guardiane,Gardiane
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),Darkon 2 (Caverne de l'Envie)
PROPMAP_TXT_100022,Clockworks' Cage,Cage du Clockworks
PROPMAP_TXT_100023,Erons Factories,Usine des Erons
PROPMAP_TXT_100024,Gouthan Mountains,Montagnes de Gouthan
PROPMAP_TXT_100025,Darkon 1 (KhipRa),Darkon 1 (KhipRa)
PROPMAP_TXT_100026,Unknown,Inconnu
PROPMAP_TXT_100029,Armory,Armes
PROPMAP_TXT_100030,Center for Guild Combat,Centre de combat des guildes
PROPMAP_TXT_100031,Arena Manager,Chef de l'Arène
PROPMAP_TXT_100032,Azria,Azria
PROPMAP_TXT_100033,Guild Siege,Guerre de Guildes
PROPMAP_TXT_100034,Quiz,Quiz
PROPMAP_TXT_100035,Village of Kan,Village de Kan
PROPMAP_TXT_100036,Area,Zone
PROPMAP_TXT_100037,Saint Morning Station,Station de Saint Morning
PROPMAP_TXT_100038,Garden of Rhisis II,Jardin de Rhisis II
PROPMAP_TXT_100039,Cave of Envy,Caverne de l'Envie
PROPMAP_TXT_100040,Darkon 2,Darkon 2
PROPMAP_TXT_100041,Volkane,Volcane
PROPMAP_TXT_100042,Abandoned Erons Factory,Usine Abandonnée des Érons
PROPMAP_TXT_100043,Frozen Forest,Forêt Gelée
PROPMAP_TXT_100044,Forgotten Bridge,Pont Oublié
PROPMAP_TXT_100045,Azria Village,Village d'Azria
PROPMAP_TXT_100046,Frozen Lakes,Lacs Gelés
PROPMAP_TXT_100047,Castle Ruins,Ruines du Château
PROPMAP_TXT_100048,High Mountains,Montagnes Hautes
PROPMAP_TXT_100049,Redchip Dealer,Boutique de Jetons Rouges
PROPMAP_TXT_100050,Storm Peak,Pic de Tempête
