Key,English,Simplified_Chinese
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,击杀怪物以减少罪恶值
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,你的罪恶可以被赎回。 你准备好为你的罪付出代价了吗？
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,击杀 $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,你还没有为你的罪恶付出代价...
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,任务完成，你的罪恶已被赦免。
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.",不想赎罪？那你真的无可救药了
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,为了减少你的罪恶值，你要去击杀 $QUEST_END_KILL_NAME$ 回来。
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,获取逃离卡巴拉斯的钥匙
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,有钥匙的话可以在路两边的尽头传送出岛，你准备好去获取钥匙了吗？
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,拿来$QUEST_END_ITEM_COUNT$解脱水晶球，我就带你离开这。你可以在营地旁边找到它。
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,不知道你何时可以逃脱这个阴暗之地...
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,钥匙给你，走吧，别再让我看到你。
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,只有拿来$QUEST_END_ITEM_COUNT$解脱水晶，我才会给你自由。
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,收集旁边地上的珠子（盒子
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,难道你这么喜欢这个岛屿吗?那~你就继续留下来吧!
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,进入达肯矿洞
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,你真的想进入达肯矿洞吗?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",帮我去找“小草儿”询问一下关于矿山的事情好吗？你去达肯矿洞前面就会找到他了。
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,噗！我就知道你会这样。你觉得很恐怖吧！
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,谢谢你啦～这是可以进入矿山的通行卡到时候.变成灵魂出来也不要埋怨我喔～
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,帮我问个事情有那么难吗？真是一个无能的家伙啊！快去问一问回来好不好啊？
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,去找小草儿之后，帮飞儿询问消息。
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,终于拿到可以进入达肯矿洞的道具了.为什么大家都很讨厌进入这里呢？难道有什么秘密吗？
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),矿山里的奇昆族（上）
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.",我是奇昆族族长蓝彼的儿子德里安.呵呵～我们奇昆族在很久以前与人类相处的很好呢～
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,当时、矿山正在开发，与人类相处的很好。可是我们现在离开了人类，过着很悲惨的生活。
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,而且我老爸现在年纪也不少了，可是在牢里受困，你可以救出我的爸爸吗？
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.",关押我父亲的牢房的钥匙有三片，被假奇昆们藏起来了。去把它们带给我吧。
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,你怎么能这样？我竟然还把你当朋友。
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,呜...呜...真的谢谢你啊～
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,3块钥匙片长的不同，所以你要得到3块不同的钥匙块才可以，谢谢你啦～
PROPQUEST_DUNGEONANDPK_INC_000439,Hunt Keakoon and get all 3 pieces of the prison key.,猎杀奇昆后，搜集3块不同的钥匙片回来。
PROPQUEST_DUNGEONANDPK_INC_000442,You have delivered all the pieces of the key but it looks like he still has something to say.,搜集到3块钥匙了，他好像还有些话想对我说的感觉呢...
PROPQUEST_DUNGEONANDPK_INC_000444,Keakoon in Mine (2),矿山里的奇昆族（中）
PROPQUEST_DUNGEONANDPK_INC_000445,I still have a need for you. Would you help me yet again?,其实......还有一件事情想拜托你，可以帮我救出大牢里的我爸爸吗？拜托啦～
PROPQUEST_DUNGEONANDPK_INC_000446,You are a true friend. Take this key and free my father. I am not strong enough. Please.,你真是我的好朋友啊！这是大牢的钥匙，帮我就回我爸爸的话，我一定会报答你的.拜托你了。
PROPQUEST_DUNGEONANDPK_INC_000447,You show yourself to be no better than the fiends that imprisoned my father.,难道人类真的这么不可信任吗？
PROPQUEST_DUNGEONANDPK_INC_000449,My father is in a prison on the outskirts of Keakoon village. Please hurry he cannot last much longer.,我爸爸他关在奇昆村最右边的一个大牢里，快去帮我救他～
PROPQUEST_DUNGEONANDPK_INC_000450,"Rescue Nevil, father of Drian.",把大牢里的蓝彼救出来。
PROPQUEST_DUNGEONANDPK_INC_000453,You have saved Nevil. Go and talk to him.,把得安的父亲蓝彼救出来了，向蓝彼对话看看好了。
PROPQUEST_DUNGEONANDPK_INC_000455,Keakoon in Mine (3),矿山里的奇昆族（下）
PROPQUEST_DUNGEONANDPK_INC_000456,"Many thanks, friend. You have done so much for us but would you do something more?",真的是很感谢你啦～看你能够把我救出来，你一定是一个很厉害的战士。所以啊～你可以在帮我一件事情吗？
PROPQUEST_DUNGEONANDPK_INC_000457,Please defeat the Elite Keakoon Guard Leader and bring me the Chief Sign that proves I am the one true Chief of the Keakoon. Would you also please bring me the cargo my son Drian is keeping safe for me?,我有两件事情想拜托你，首先、我要证明我是奇昆族的族长，需要猎杀[精英奇昆警卫队长]帮我找回印章。第2件事情就是，请你去找我儿子，拿回我的行李。
PROPQUEST_DUNGEONANDPK_INC_000458,What kind of person are you if you refuse to help those with less power than you?,你有实力，可是不帮弱者，这哪叫做是一个勇士呢......
PROPQUEST_DUNGEONANDPK_INC_000459,Thank you. It is my great hope that Keakoon and human can thrive together once again. Take this ring as a gift.,谢谢你啦～真希望我们可以像以前一样，可以与人类好好相处，这是我送你的礼物，收下吧！看你来到这么危险的达肯矿洞...你应该很喜欢挑战冒险吧～
PROPQUEST_DUNGEONANDPK_INC_000460,"If, by any chance, you want more adventure visit Bernard in Darken. Be careful. I would hate for something to happen to you.",一说到冒险啊～也没有比这里还要棒的地方了。如果你要继续挑战冒险的话，可以去村庄找“番若迪”喔～说不定你可以抢救这个矿山。这是到下一个地区钥匙，收下吧！
PROPQUEST_DUNGEONANDPK_INC_000461,Hrmm… It might not be that dangerous for someone as strong as you.,嗯...你都可以把我从大牢里救出来了，所以对你来说应该不是一件困难的事情啦！
PROPQUEST_DUNGEONANDPK_INC_000462,Bring the seal of the chief and the package that Drian is holding back to Nevil.,将德里安身上的“族长的印章”与“行李箱”带回给蓝彼。
PROPQUEST_DUNGEONANDPK_INC_000465,"You rescued Nevil, chief of the Keakoon. You can feel the secrets around this place. Maybe you can get some information from Bernard.",一进矿山就见到奇昆族，帮他们解决问题了，以蓝彼说的来看，这个矿山好像还有很多秘密...我应该要去找番若迪问问看才对。
