Key,English,Filipino
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Kumokonekta. Pakihintay po.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Di makakonekta sa laro. Pakitignan ang network.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Ang laro ay nai-update na. Isarado ang page at buksan ulit ito.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Maling pagkakakilanlan sa server.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Hindi alam na error, pakisubukan ulit."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Ang iyong account ay konektado na.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Gusto mo ba idisconnect ang ibang device?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,Ang device ay kasalukuyang naka-disconnect. Maaring mag-login muli matapos ang 10 segundo.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Ang channel na ito ay kasalukuyang puno, pakihintay ng saglit o pumili ng ibang channel."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Nagamit na ang pangalan na ito.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Nakita ang Boss Monster!
TEXTCLIENT_APP_MAP,World Map,Mapa ng Mundo
TEXTCLIENT_APP_OPTION,Options,Pagpipilian
TEXTCLIENT_APP_LOGOUT,Log Out,Log Out
TEXTCLIENT_APP_QUIT,Quit,Quit
TEXTCLIENT_APP_SUPPORT,Support,Suporta
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navigator
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Logging out sa %d segundo.
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Nagpapalit ng character sa loob ng %d segundo.
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Nili-ling ang account sa loob ng %d segundo.
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Gusto mo bang dumiskonek?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Mawawala ang iyong guest character.#nc Maaring mag-link ng account.
TEXTCLIENT_EXIT,Do you want to exit the program?,Gusto mo bang umalis sa laro?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Nadiskonek sa server.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,Hindi pwedeng gumawa ng character sa server na ito.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Parang may masamang puwersa na nagpapadilim ng nakikita mo sa iyong paligid.
TEXTCLIENT_ITEM_DESC,Description:,Paglalarawan:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Ang pangalan na ito ay naglalaman ng titik na hindi pwedeng gamitin.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Ang pangalan na ito ay naglalaman ng mga salita na hindi pwedeng gamitin.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Ang iyong pampublikong internet address ay na-ban. Makipag-ugnayan sa administrasyon para sa karagdagang impormasyon.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Ang larong ito ay kasalukuyang hindi available sa iyong bansa.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,May importanteng aktibidad na napansin sa iyong pampublikong internet address. Maghintay ng %s bago ulit subukan.
TEXTCLIENT_SECS,second(s),segundo
TEXTCLIENT_MINS,minute(s),minuto
TEXTCLIENT_HOURS,hour(s),oras
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","Ang iyong sesyon ay nag-expire na, pakilagay ulit ang iyong login at password."
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[Tindero]
TEXTCLIENT_APP_CHAT,Chat Window,Nakikipag-usap
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,Ang iyong login o password ay hindi tama.
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,Pumalya ang Authentication. Subukan muli.
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","Position: x = %f, y = %f, z = %f, angle = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,Hindi pwedeng ipadala ang PM sa iyong sarili.
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s ay hindi umiiral o hindi online.
TEXTCLIENT_APP_NOTICE,Notice,Paunawa
TEXTCLIENT_APP_STATUS,Status,Kalagayan
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s - Lv: %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,Hindi mo ito pwedeng gamitin habang gumagamit ng skill.
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,Hindi mo pwedeng gamitin ang Blinkwing habang nakaupo.
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,Pwede mo gamitin kapag tumayo ka.
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,Hindi magawang gamitin habang lumilipad.
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,Hindi ka pwedeng lumipad dito.
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,Hindi ka pwedeng magsalita.
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,Nakatanggap ka ng %d minuto na parusa dahil sa sobrang pakikipag-chat.
TEXTCLIENT_APP_MOTION,Emotes,Kilos
TEXTCLIENT_APP_CHARINFO,Character,Karakter
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,%s recovery limitado sa %d.
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,Pakihintay ng saglit bago ulit gamitin ang item na ito.
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,Pindutin ang Lodestar para muling mabuhay(Pinakamalapit na Bayan) o gumamit ng item para mabuhay sa kasalukuyang kinalalagyan.
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,Pindutin ang Lodestar para mabuhay malapit sa Arena.
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,Hindi mo pwedeng atakihin ang monster na kinakalaban ang ibang manlalaro.
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,Hindi ka pwedeng umalis habang nasa laban.
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,Level up! Pwede ka nang maglagay ng stats sa iyong character window.
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,Pagbati! Sa pagtaas ng antas!
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,Gusto mo bang gamitin ang kasalukuyang Stat setup?
TEXTCLIENT_CHARSTATUS_FIRSTJOB,Your stat values will reset after your 1st job change.,Ang iyong stat values ay magrerest pagkatapos ng 1st job change.
TEXTCLIENT_BATTLEPASS_REQUIRED,This feature is only available with the Extended Flyff Pass or Hero Quest.,This feature is only available with the Extended Flyff Pass or Hero Quest.
TEXTCLIENT_STATPAGE_COOLDOWN,You can swap stat pages in %d seconds.,Maaring magpalit ng stat pages sa %d segundo.
TEXTCLIENT_ADMIN_STATE,Status,Status
TEXTCLIENT_ADMIN_NORMAL,Normal,Normal
TEXTCLIENT_SPEED_VERYSLOW,Very slow,Napakabagal
TEXTCLIENT_SPEED_LOW,Slow,Mabagal
TEXTCLIENT_SPEED_NORMAL,Normal,Normal
TEXTCLIENT_SPEED_FAST,Fast,Mabilis
TEXTCLIENT_SPEED_VERYFAST,Very fast,Napakabilis
TEXTCLIENT_SPEED_FASTEST,Fastest,Pinakamabilis
TEXTCLIENT_ITEMPRIORITY,The %s belongs to another player at the moment. Please wait a while.,Ang %s ay pag-aari ng ibang manlalaro sa ngayon. Pakihintay ng kaunti.
TEXTCLIENT_LACKSPACE,Inventory is full. Please make room and try again.,Puno ang imbentaryo. Magbawas ng laman at subukan ulit.
TEXTCLIENT_REAPITEM,You received %s.,Ikaw ay nakatanggap ng %s.
TEXTCLIENT_REAPITEM_UPGRADE,You received %s +%d.,Nakatangap ka ng %s +%d.
