Key,English,Traditional_Chinese
DUASYLUM_WLD_000000,Ankou's Asylum,安庫幽禁所
DUASYLUM_WLD_000001,Ankou's Cell,安庫囚殿
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),勒倫峽谷 (獨立副本)
DUHERNEOS_WLD_000000,Herneos (Dungeon),海尼爾遺都 (副本)
DUDADK_WLD_000000,Dekane Mine (Dungeon),迪坎礦坑 (副本)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),瑪斯礦坑 (副本)
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),守護者聖域 (獨立副本)
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),黎席斯墓窟 (獨立副本)
DURUSTIA_WLD_000000,The Wilds,荒野叢境
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),伊普里司神殿 (副本)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),風暴峰 (獨立副本)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),嫉妒深淵 (獨立副本)
DUVOLKANE_WLD_000000,Volkane,熔岩祕境
DUVOLKANE_WLD_000001,Volkane (Dungeon),熔岩祕境 (副本)
WDARENA_WLD_000000,Arena,競技場
WDARENA_WLD_000001,You can PvP in the Arena.,您可以在此競技場與玩家進行 PvP 對戰。
WDARENA_WLD_000002,Training Center,訓練中心
WDARENA_WLD_000003,Test your capabilities against dummies!,利用假人測試你的能力！
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,青銅流浪者
WDARENA_WLD_000007,The Bronze Elementor,青銅元素師
WDARENA_WLD_000008,The Bronze Knight,青銅騎士
WDARENA_WLD_000009,The Bronze Psykeeper,青銅念力師
WDARENA_WLD_000010,The Bronze Billposter,青銅爆咒師
WDARENA_WLD_000011,The Bronze Blade,青銅暗殺者
WDARENA_WLD_000012,The Bronze Jester,青銅操偶師
WDARENA_WLD_000013,The Bronze Ranger,青銅浪人
WDARENA_WLD_000014,The Bronze Ringmaster,青銅守護者
WDCOLOSSEUM_WLD_000001,The Colosseum,鬥獸場
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,鬥獸競技場館
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,時空毀滅者之牢
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,在時空毀滅者戰爭過後，將時空毀滅者囚禁於此處。
WDEVENT_WLD_000000,Duel Zone,這裡是「對戰場」
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,證明你自己！\n向他們證明你是最強的！
WDKEBARAS_WLD_000000,Lodelight,生命光柱
WDKEBARAS_WLD_000001,This is a safe place.,這裡是安全地區
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,卡巴拉斯
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...",歡迎來到卡巴拉斯城鎮!\n這個地方很久以前是關押罪犯的監獄……
WDMADRIGAL_WLD_000000,Mysterious Castle,神秘的城堡
WDMADRIGAL_WLD_000001,This place is not marked on the map. No one knows how to enter it...,地圖上沒有任何標示，沒人知道如何進入裡面……
WDMADRIGAL_WLD_000002,Refuge of Middle Leren Mountains,勒倫山脈中部的隱藏處
WDMADRIGAL_WLD_000003,Line Flarine ↔ Saint City,航線 布拉里斯鎮 ↔ 聖音特城
WDMADRIGAL_WLD_000004,Line Flarine ↔ Darkon 1,航線 布拉里斯鎮 ↔ 得肯第一區
WDMADRIGAL_WLD_000005,Line Flarine ↔ Mars Mine,航線 布拉里斯鎮 ↔ 瑪斯礦坑
WDMADRIGAL_WLD_000006,Line Saint City ↔ Garden of Rhisis,航線 聖音特城 ↔ 黎席斯庭院
WDMADRIGAL_WLD_000007,Line Saint City ↔ Fantasy Desert,航線 聖音特城 ↔ 夢幻沙漠
WDMADRIGAL_WLD_000008,Line Darkon 1 ↔ Darken,航線 得肯第一區 ↔ 得肯
WDMADRIGAL_WLD_000009,Line Darken ↔ Arians,航線 得肯 ↔ 亞利安澤地
WDMADRIGAL_WLD_000010,Line Arians ↔ Guardiane,航線 亞利安澤地 ↔ 守護者祭壇
WDMADRIGAL_WLD_000011,Line Arians ↔ Deadwallderness,航線 亞利安澤地 ↔ 死寂荒原
WDMADRIGAL_WLD_000012,Azria\nAbandoned Erons Factory,阿茲里亞\n廢棄艾磷斯工廠
WDMADRIGAL_WLD_000013,Azria\nVillage,阿茲里亞\n村莊
WDMADRIGAL_WLD_000014,Line Deadwallderness ↔ Azria,死寂荒原 ↔ 阿茲里亞
WDMADRIGAL_WLD_000015,Storm Peak Entrance,風暴峰入口
WDMADRIGAL_WLD_000017,Envy Depths Entrance,嫉妒深淵入口
WDMADRIGAL_WLD_000019,Guardiane Sanctuary Entrance,守護者聖域入口
WDMADRIGAL_WLD_000021,Leren Chasm Entrance,勒倫峽谷入口
WDMADRIGAL_WLD_000022,Wilds Entrance,荒野叢境入口
WDMADRIGAL_WLD_000023,Rhisis Catacombs,黎席斯墓窟
WDMADRIGAL_WLD_000024,This is a safe place.,這裡是安全地區。
WDMADRIGAL_WLD_000025,The Wilds Entrance,荒野叢境入口
WDMADRIGAL_WLD_000026,Coral Village,珊瑚村
WDMADRIGAL_WLD_000028,Coral Island,珊瑚島
WDMADRIGAL_WLD_000029,Welcome to Coral!,歡迎來到珊瑚島！
WDMADRIGAL_WLD_000030,Red Sea,紅海
