Key,English,Traditional_Chinese
CHARACTER_INC_000001,Mikyel,米奇爾
CHARACTER_INC_000011,Noier,諾也
CHARACTER_INC_000017,[Sage] Radion,[大賢者] 拉迪溫
CHARACTER_INC_000021,Boboku,波哥
CHARACTER_INC_000027,Boboko,波弟
CHARACTER_INC_000033,Luda,路達
CHARACTER_INC_000034,Weapons,武器
CHARACTER_INC_000035,Armors,防具
CHARACTER_INC_000039,Lui,路伊
CHARACTER_INC_000043,Arrows,箭矢
CHARACTER_INC_000045,Losha,蘿夏
CHARACTER_INC_000051,Marche,魔力夢夢
CHARACTER_INC_000057,Julia,喬艾倫
CHARACTER_INC_000059,Dior,寶雅
CHARACTER_INC_000065,Is,艾絲
CHARACTER_INC_000068,Iske,愛美麗
CHARACTER_INC_000070,Ispim,因斯萍
CHARACTER_INC_000072,Isruel,伊絲露
CHARACTER_INC_000075,Ismeralda,艾絲美蘭達
CHARACTER_INC_000083,Flaris Pang,布拉里胖胖
CHARACTER_INC_000091,Jeff,傑夫
CHARACTER_INC_000099,[High-Dwarpet] Tucani,[高階杜爾沛] 哆卡
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[智愚賢者] 雷迪恩
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[遊俠賢者] 基梅爾
CHARACTER_INC_000111,[Pepoview] Brodeay,[帕佩族] 布羅威
CHARACTER_INC_000113,[Pepoview] Ruminerr,[帕佩族] 拉美納
CHARACTER_INC_000115,[Pepoview] Ellangdl,[帕佩族] 艾郎德
CHARACTER_INC_000117,[Pepoview] Hotse,[帕佩族] 哈克賽
CHARACTER_INC_000119,[Pepoview] Vianlee,[帕佩族] 比安莉
CHARACTER_INC_000121,[Pepoview] Clackcable,[帕佩族] 克拉凱步
CHARACTER_INC_000125,Lancomi,藍可美
CHARACTER_INC_000127,Helena,海蓮娜
CHARACTER_INC_000129,Martin,馬丁
CHARACTER_INC_000135,Bill,比爾
CHARACTER_INC_000141,Tina,蒂娜
CHARACTER_INC_000144,Fuel,加速燃料
CHARACTER_INC_000147,Bulrox,布隆
CHARACTER_INC_000153,Bozman,巴曼
CHARACTER_INC_000159,Colack,克勒
CHARACTER_INC_000165,Karin,卡琳
CHARACTER_INC_000171,Leann,溫蒂
CHARACTER_INC_000172,Accessories,流行精品
CHARACTER_INC_000174,Ann,安妮
CHARACTER_INC_000176,Herth,海斯
CHARACTER_INC_000178,Janne,傑勒
CHARACTER_INC_000180,Kimberley,金貝勒
CHARACTER_INC_000186,Saint Pang,聖音特胖胖
CHARACTER_INC_000200,[MagicBox] Ancimys,[魔法箱子] 安奇米斯
CHARACTER_INC_000226,Lurif,皮姬
CHARACTER_INC_000228,Darkon Pang,得肯胖胖
CHARACTER_INC_000230,Stima,司提瑪
CHARACTER_INC_000231,Mercenary,勇者
CHARACTER_INC_000232,Assist,神職者
