Key,English,Traditional_Chinese
CLIENT_HELP_INC_000000,Basic Operations,基本操作
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,為了讓您能夠更容易更順暢的進行 Flyff，我們將移動、飛行、戰鬥、物品裝備、撿取物品、丟棄物品、聊天、與 NPC 交易、玩家之間的交易等基本操作方法，做個詳細的解說。希望各位玩家們都能夠 FLY FOR FUN！！
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,若想要了解更詳細的內容，請參考夢想飛飛遊戲百科介紹。若遊戲中遇到問題，請至客服中心反應回報。
CLIENT_HELP_INC_000003,Mouse,游標
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.",開啟動作欄『熱鍵 O』後，雙擊坐下圖示即可。 (如果將坐下的動作設到綜合熱鍵欄裡面，使用起來會更方便喔！)，若要站起來可再點擊坐下圖示或直接攻擊怪物即可。
CLIENT_HELP_INC_000005,Movement,移動
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.",若要使用鍵盤移動，請按“W”鍵前進，按“A”鍵向左移動，按“S”鍵向後移動，按“D”鍵向右移動。 您也可以使用滑鼠左鍵點擊來移動。
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.",用鍵盤移動之時，可利用鍵盤上的『W、A、S、D』鍵來移動，跳躍按空白鍵或是同時按滑鼠的兩個鍵即可
CLIENT_HELP_INC_000008,Camera,視角
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.",視角的變動可利用滑鼠滾輪或是右鍵操作。畫面的放大縮小可使用滑鼠滾輪縮放，而視角的旋轉可分為… 新版本：按住滑鼠右鍵後移動滑鼠。舊版本：按住滑鼠滾輪按鈕後移動滑鼠。
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.",視角的旋轉也可使用鍵盤上的方向鍵操作。
CLIENT_HELP_INC_000011,Flying,飛行
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,按『空白鍵』即可啟動飛行器，再按一次即可停止飛行。
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,按住滑鼠右鍵移動滑鼠，飛行器也會隨著移動的方向前進。
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,飛行
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.",要飛行，只需裝備滑板或掃帚，然後按空格鍵即可。將自動加速直到達到最大速度。再次按空格鍵即可停止。
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.",您可以在飛行時使用滑鼠或 W、A、S、D 鍵進行轉向
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,你可以購買燃料增加飛行器的速度，雙擊燃料然後按下 X 鍵使用
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,戰鬥
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.",在瑪德利賈的土地上，你會遇到數百個充滿敵意的怪物。根據您構建的角色類型，您將有多種選擇來攻擊這些邪惡怪物。這裡將更詳細地解釋這些方法。
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.",如果您選擇在丹丹上玩，除了這些偽裝之外，您還可以參與激烈的 PVP 戰鬥。 要攻擊丹丹，您必須按住 Ctrl 鍵然後發起攻擊。
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,近距離連續攻擊
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.",近戰攻擊是用各種近戰武器完成，包括劍、斧頭、法杖，拳套。要在近戰攻擊中與敵人交戰，只需裝備你的武器，找到你的目標，然後點擊他們。
CLIENT_HELP_INC_000034,Ranged Attack,遠距離連續攻擊
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.",遠程攻擊是用溜刃和弓來完成的。 若要對敵人進行遠程攻擊，請裝備適當的武器，瞄準敵人，然後右鍵點擊目標。 請注意，弓需要使用箭。
CLIENT_HELP_INC_000036,Magic Attack,魔法攻擊
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,魔法攻擊是使用法杖類的魔法道具進行攻擊的模式。按住滑鼠右鍵可集氣後發射魔法彈，放開按鍵發射攻擊。
CLIENT_HELP_INC_000038,Equipping items,裝備物品
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.",武器類、防具類、裝飾類的物品，可使用雙擊來裝備物品。此時，物品將會自動裝備在所屬的部位上。如果該部位已裝備其他物品，則會自動替換成最後選取的物品。
CLIENT_HELP_INC_000040,Using Items,使用物品
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,直接在物品上雙擊滑鼠左鍵，即可使用物品。您也可以將物品放入背包擴充，只需打開背包，然後將物品拖入即可。時若將物品拖曳到物品欄的外面，就會將物品丟棄到地上。
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,物品可從物品欄內拖曳到下方的熱鍵欄中使用。若要移除熱鍵欄中的物品，可直接在熱鍵的物品上按滑鼠右鍵。
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,聊天
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.",若您因任何原因關閉了聊天視窗，只要按下 Enter 鍵即可再次顯示。聊天視窗開啟後，再按一次 Enter 鍵即可開始輸入訊息；輸入完成後，再按一次 Enter 鍵即可送出。您也會看到悄悄話、大喊、劇團與公會等按鈕，這些按鈕可將訊息直接發送到對應的聊天頻道。此外，您也可以設定接收訊息的過濾方式，並查看系統訊息。
CLIENT_HELP_INC_000046,NPC Trading,與 NPC 交易
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.",若要向 NPC 購買物品，可直接用滑鼠點 NPC 後，選擇交易。
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,若要購買物品，可直接從物品目錄中選擇自己想要購買的物品後，拖曳到自己的物品欄中，然後輸入數量即可。
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.",販賣物品與上述相反，必須將想要販賣的物品拖曳到 NPC 的物品欄中。此時下方會顯示出販賣所獲得的金幣。
CLIENT_HELP_INC_000050,Player Trading,玩家交易
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.",想要與玩家進行交易，必須先按住鍵盤上的『ALT』鍵，然後使用滑鼠左鍵點選準備進行交易的對象。此時會出現一列選項，選擇『交易』，即可開啟雙方的交易視窗。
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.",開啟了交易視窗後，可從物品欄中拖曳想要交易的物品或金錢到交易視窗中。物品拖曳完畢後，雙方都按下確認鍵，就表示交易已完成。
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,若其中一方沒有按下確認鍵，交易就無法完成。此時如果按下取消，就會將交易取消，所拖曳進交易視窗中的物品，將會回到自己的物品欄中。
CLIENT_HELP_INC_000054,Quests,任務
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.",您可透過解任務來獲得一些經驗值與物品。任務可與 NPC 對話後接受，每種任務都有其限定的等級與職業。
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,盡可能多完成任務，他們會給你許多獎勵以及寶貴的經驗獎勵
CLIENT_HELP_INC_000057,Interface,介面
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,現在為您說明 Flyff 中所使用的各種視窗與欄位。
CLIENT_HELP_INC_000059,Status Menu,狀態視窗
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.",你可以用 T 鍵切換狀態視窗視窗，他可以看到你角色的所有狀態，包括生命、魔力、活力、Exp 和 BT
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.",你的生命會因你的體力增加，越多生命你會存活更久；魔力是魔法使施展魔法攻擊或神職者施展輔助技能時所需，如果提升能力值中的智力，就會使魔力最大量上升；活力是勇者和雜技使用攻擊技能時所需要的點數，如果提升能力值中的體力，就會使活力點數增加。
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,EXP (角色經驗值) 是角色等級上升時所需的經驗值，經驗值只有在打怪或完成任務時，才能夠獲得；BT 是特別的經驗加成，透過公會屋可以獲得，詳細請看幫助選單。
CLIENT_HELP_INC_000063,Character Menu,角色視窗
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.",按下 H 鍵開啟，此視窗會顯示關於角色的各種情報。『基本』頁面中，可以看到角色的名字、職業、等級、伺服器名稱、頻道情報等基本的說明，在『詳細』頁面中，當前使用的裝備和等級顯示角色狀態，PVP/PK 追蹤你的 PVP 訊息。
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.",當你升等時將獲得能力點，可以在這選單上使用。升級時會獲得能力點數，並且可以增加基礎能力
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.",攻擊力代表你可以對敵人造成多少傷害；防禦力是代表可以從敵人的攻擊中吸收多少傷害；暴擊代表著你有多少機會造成暴擊傷害；攻擊速度代表你的角色攻擊時的速度。
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.",力量會影響基本攻擊力和法杖以外的武器攻擊力；體力會影響防禦力、增加生命最大量、活力最大量及增加生命、活力恢復量；敏捷會增加攻擊速度、迴避、命中率、暴擊率，還會影響弓系列武器的攻擊力；智力會影響最大魔力量、魔力恢復量、魔法攻擊力及魔法防禦力。
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,名稱/大師標籤將顯示你所有獲得的稱號，選擇其一，讓大家知道你完成了什麼。
CLIENT_HELP_INC_000069,Chat Menu,聊天視窗
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.",聊天視窗位於熱鍵欄的上方。若想要聊天，可直接按一次『Enter』鍵，即可輸入文字進行聊天。可以使用一般聊天、密語、大喊、劇團聊天、公會聊天等。點擊 SYSTEM 項目後，就會開啟 SYSTEM 視窗，可以確定各種系統裡輸出的訊息。
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.",若想要將同樣的對話內容製作成熱鍵時，首先在輸入完對話內容的狀態下，將輸入文字欄位前面的文字框框圖示拖曳到熱鍵欄中即可。
CLIENT_HELP_INC_000072,Navigator,導航系統
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,按下 N 鍵，透過導航系統 (小地圖)，您可以了解角色周圍的地理狀況與其他角色的位置。
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.",NPC 將顯示為紫色圓點，而其他玩家將顯示為白色圓點。 NPC 商店將顯示為圖標，表明他們是什麼商店。如果您需要提交任務，請尋找黃色和黑色的圓點。黃色和橙色圓點表示敵方生物。如果您使用滑鼠滾動想知道的那個點，他會顯示該特定目標的名稱。
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,小地圖上也有一些按鈕可以幫助您。您可以使用 + 和 - 圖標放大和縮小小地圖，下拉選單可以讓你選擇你想看到的內容。
CLIENT_HELP_INC_000076,Skill Menu,技能視窗
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,以角色的職業顯示技能的視窗，隨角色等級及技能等級的提升，可以得到新的技能。
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.",要使用技能，請將技能拖到畫面底部中央的快速欄中，然後使用 F1 - F9。或者，將技能窗口中的技能拖到螢幕右下角的連技欄中，然後按 C。
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","若您想要提升技能等級，必需要有技能點數。技能點數在等級上升時會自動獲得。點擊您想要提升的技能後，使用『+』,『-』按鈕，可調整技能等級。"
CLIENT_HELP_INC_000080,Inventory,物品欄
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.",按下 I 鍵，物品欄能夠看到遊戲內所使用的武器、防具、一般物品、任務道具、恢復類物品以及金幣等；還可以安裝或解除武器、防具、飾品、附費道具。
CLIENT_HELP_INC_000082,Messenger Menu,即時通
