Key,English,Portuguese
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.","Olá, eu sou o #b#cffa0a0ffInfo Pang#nc#nb!\n\nSerei seu guia de sobrevivência em #bMadrigal#nb e tenho muitas informações úteis.\n\nVocê está pronto para #baprender todas as lições#nb para sobreviver neste mundo?\n\nVocê também pode ler as informações que você aprendeu usando meu menu."
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]",Vamos examinar o movimento do personagem.\n\n[[Você pode mover seu personagem usando o teclado ou o mouse. Clique com o botão esquerdo do mouse em|#bToque na tela]] um lugar que você deseja ir e seu personagem se moverá para esse ponto se não houver obstáculos.[[|\n\nVocê também pode usar o #bpad de direção#nb ao tocar na parte inferior esquerda da tela.]]\n\n#cffff0000Condição: Mova o personagem[[ (Mouse)|]]
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Movimento
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","#b#cff0000ff■ Mover[[ Usando Mouse|]]#nb#nc\n[[Clique com botão esquerdo do mouse|Toque na tela]] o local que você deseja seguir.[[\n\n#b#cff0000ff■ Mover-se com teclado#nb#nc\nVocê pode mover seu personagem pressionado as seguintes teclas:\nFrente : W\nTrás : S\nEsquerda : A\nDireita : D\n\n#b#cff0000ff■ Andando#nb#nc\nPressione X. Se quiser voltar a correr, pressione X novamente.|]]\n\n#b#cff0000ff■ Pulando#nb#nc\n[[Pressione Barra de Espaço|Mantenha a tela pressionada]] quando quiser pular."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)","Movimentação com o teclado é o seguinte:\n\nPara Frente : W\nPara Trás : S\nVirar para Esquerda : A\nVirar para Direita : D\n\nFácil, não? Agora mova seu personagem.\n\n#cffff0000Condição: Mover seu personagem(Teclado)"
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Muito bom! Agora você sabe como se movimentar.\n\nAgora iremos abordar #bcomo andar e correr#nb. Seu personagem irá correr como padrão.\n\n[[Pressione 'X' se quiser andar. Se quiser correr, pressione 'X' novamente.\n\n#cffff0000Condição: Tecle 'X'|Toque em #bAndar#nb no topo da sua tela para alternar entre andar e correr.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Próximo: Pular! Para pular,\n\n[[Pressione a barra de espaço. Se desejar pular enquanto estiver se movendo, pressione a barra de espaço durante o movimento|ou toque e segure em qualquer lugar da tela ou aperte o botão #b'Pular'#nb na parte inferior direita da tela]].\n\n#cffff0000Requisito de conclusão: Pular[[(Barra de Espaço)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Vamos conhecer os controles da câmera:\n\n[[A câmera é controlada com o mouse e o teclado. Vamos começar com o Mouse.\n\nColoque o cursor do Mouse no ponto que você quer focar e segure o botão direito|#bDeslize o dedo#nb pela tela]] para girar a câmera.\n\n#cffff0000Condição: Rotação da Câmera [[ (Mouse)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Manusear a câmera
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ Alterar visualização [[com mouse |]]#nb#nc\nVocê pode visualizar qualquer direção apenas [[girando o mouse enquanto pressiona o botão direito do mouse|deslizando o dedo na tela]]. [[\n\n#b#cff0000ff■ Alterar a visualização com o teclado #nb#nc\nVocê pode alterar a visualização pressionando as teclas abaixo.\nPara cima: ↑\nPara baixo: ↓\nEsquerda: ←\nDireita: → |]]\n\n#b#cff0000ff■ Para aumentar e diminuir o zoom#nb#nc\n[[você pode usar a roda do mouse. Além disso, as teclas Page Up e Page Down podem ser usadas para alterar a visualização passo a passo|aperte a tela e espalhe ou junte os dedos]]."
