Key,English,Swedish
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Daily
PROPQUEST_INC_000291,Save the Garden! (Part 1),Save the Garden! (Part 1)
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,The Garden of Rhisis is dying! Could you help me?
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.
PROPQUEST_INC_000294,Thank you!,Thank you!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!","If you change your mind later, please come back to me!"
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,Thank you! You should really talk to Janne.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Come back when you have the Bearer Hearts.
PROPQUEST_INC_000298,Save the Garden! (Part 2),Save the Garden! (Part 2)
PROPQUEST_INC_000299,You have a message from my sister!,You have a message from my sister!
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,The problem with the Garden of Rhisis can wait. I guess...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,You still haven't found Kimberley? She is in Saint City.
PROPQUEST_INC_000308,Save the Garden! (Part 3),Save the Garden! (Part 3)
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,The Saint City sisters say that the Garden of Rhisis is dying.
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,Thank you! If you help her she will give you an Earring.
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Bring a Live Tea to Ann at Saint City.
PROPQUEST_INC_000422,Find Santa's Socks!,Find Santa's Socks!
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!
PROPQUEST_INC_000461,A Favor for the Pastor,A Favor for the Pastor
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!
PROPQUEST_INC_000465,Give Back the Love.,Give Back the Love.
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.
PROPQUEST_INC_000469,Vagrant Master (Acrobat),Vagrant Master (Acrobat)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!","So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!"
