Key,English,Portuguese
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt,Aibatt
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang,Mushpang
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng,Burudeng
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke,Pukepuke
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle,Peakyturtle
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian,Demian
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma,Doridoma
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf,Lawolf
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern,Fefern
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang,Nyangnyang
ACHIEVEMENT_KILL_BANG_NAME,Bang,Bang
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee,Maribelha
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac,Wagsaac
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat,Flybat
ACHIEVEMENT_KILL_MIA_NAME,Mia,Mia
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin,Sr. Abóbora
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis,Louva-deus Vermelho
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros,Zendros
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer,"Jack, o Martelo"
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box,Gargaixa
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle,Granítor
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow,Bucrow
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba,Neparuba
ACHIEVEMENT_KILL_HOBO_NAME,Hobo,Hobo
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull,Touro Tolo
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia,Totemia
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet,Cardpuppet
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen,Flybrigen
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer,Portador de Lápide
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon,Scorpicon
ACHIEVEMENT_KILL_BASQUE_NAME,Basque,Basco
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster,Prankster
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller,Rockepeller
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem,Wheelem
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena,Leyena
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma,Trangfoma
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker,Andarilho a Vapor
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight,Cavaleiro de Aço
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger,Zombiger
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel,Roda Maluca
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle,Nuctuveículo
ACHIEVEMENT_KILL_DRILLER_NAME,Driller,Sondador
ACHIEVEMENT_KILL_RISEM_NAME,Risem,Risem
ACHIEVEMENT_KILL_GRRR_NAME,Grrr,Grrr
ACHIEVEMENT_KILL_VOLT_NAME,Volt,Volt
ACHIEVEMENT_KILL_ELDERGUARD_NAME,Elderguard,Guardião Ancião
ACHIEVEMENT_KILL_DUMP_NAME,Dump,Dump
ACHIEVEMENT_KILL_GARBAGEPIDER_NAME,Garbagespider,Lixeiranha
ACHIEVEMENT_KILL_ZENMA_NAME,Zenma,Zenma
ACHIEVEMENT_KILL_CRANEMACHINERY_NAME,Crane Machinery,Máquina de Guindaste
ACHIEVEMENT_KILL_NAUTREPY_NAME,Nautrepy,Nautrepy
ACHIEVEMENT_KILL_SYLIACA_NAME,Syliaca,Syliaca
ACHIEVEMENT_KILL_GREEMONG_NAME,Greemong,Greemong
ACHIEVEMENT_KILL_BOO_NAME,Boo,Boo
ACHIEVEMENT_KILL_CARRIERBOMB_NAME,Carrierbomb,Carrierbomb
ACHIEVEMENT_KILL_LONGWANG_NAME,Longwing,Asalonga
ACHIEVEMENT_KILL_HOPPRE_NAME,Hoppre,Hoppre
ACHIEVEMENT_KILL_MUSHPOIE_NAME,Mushpoie,Mushpoie
ACHIEVEMENT_KILL_IREN_NAME,Iren,Iren
ACHIEVEMENT_KILL_WATANGKA_NAME,Watangka,Watangka
ACHIEVEMENT_KILL_FAFNIR_NAME,Fafnir,Fafnir
ACHIEVEMENT_KILL_ANTIQUERY_NAME,Antiquery,Antiguidade
ACHIEVEMENT_KILL_LUIA_NAME,Luia,Luia
ACHIEVEMENT_KILL_GONGURY_NAME,Gongury,Gongury
ACHIEVEMENT_KILL_SHUHAMMA_NAME,Shuhamma,Shuhamma
ACHIEVEMENT_KILL_KERN_NAME,Kern,Kern
ACHIEVEMENT_KILL_GORRUDA_NAME,Gorruda,Gorruda
ACHIEVEMENT_KILL_GLAPHAN_NAME,Glaphan,Glaphan
ACHIEVEMENT_KILL_KIMERADON_NAME,Chimeradon,Quimeradon
ACHIEVEMENT_KILL_BEARNUCKY_NAME,Bearnerky,Bearnerky
ACHIEVEMENT_KILL_MUFFRIN_NAME,Muffrin,Muffrin
ACHIEVEMENT_KILL_POPCRANK_NAME,Popcrank,Popcrank
ACHIEVEMENT_KILL_CLOCKWORKS_NAME,Clockworks,Cavaleiro Mecânico
ACHIEVEMENT_KILL_METEONYKER_NAME,Meteonyker,Meteonyker
ACHIEVEMENT_KILL_MEDUMET_NAME,Medumet,Medumet
ACHIEVEMENT_KILL_YETTI_NAME,Yetti,Yetti
