Key,English,Portuguese
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Caçando Monstros para recuperar o Karma
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,O seu Karma pode ser resgatado. Você está preparado(a) para pagar pelos seus pecados?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Cace $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Você ainda tem que pagar pelos seus pecados...
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Sua missão foi concluída. Seus pecados foram perdoados.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Se você não está realmente interessado(a) em lutar por perdão, então não resta nenhuma esperança para você."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Caçando $QUEST_END_KILL_NAME$ recuperará seus pontos de Karma.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Obtenha a Chave para escapar da Ilha Kebaras
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,"É possível sair daqui pela Zona de Escape, mas você precisará da chave. Você está pronto(a) para recebê-la?"
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,Te darei a Chave se você puder me trazer $QUEST_END_ITEM_COUNT$ Pérolas do Pecado. Você poderá obter as pérolas no terreno vazio atrás da área de acampamento.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,Quanto tempo até você estar pronto para deixar esse local?
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Aqui está a Chave. Agora vá e não retorne nunca mais.
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Concederei a sua liberdade por apenas $QUEST_END_ITEM_COUNT$ pérolas. Como você pode ignorar uma oferta como essa?
