Key,English,Simplified_Chinese
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,准备战斗
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,坐下休息
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,捡东西
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,握手
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,歪着头
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,点头
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,摇头
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,齐步走
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,稍息
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,立正
PROPMOTION_TXT_000020,Scissors,剪刀
PROPMOTION_TXT_000021,Scissors,剪刀
PROPMOTION_TXT_000022,Rock,石头
PROPMOTION_TXT_000023,Rock,石头
PROPMOTION_TXT_000024,Paper,布
PROPMOTION_TXT_000025,Paper,布
PROPMOTION_TXT_000026,North,往北边～
PROPMOTION_TXT_000027,Point North,向北
PROPMOTION_TXT_000028,South,往南边～
PROPMOTION_TXT_000029,Point South,向南
PROPMOTION_TXT_000030,East,往东边～
PROPMOTION_TXT_000031,Point East,向东
PROPMOTION_TXT_000032,West,往西边～
PROPMOTION_TXT_000033,Point West,向西
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,下跪
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,俯卧撑
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,挑衅
PROPMOTION_TXT_000040,Pow!,呵！喝！哈！兮！
PROPMOTION_TXT_000041,Punch,操练
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,趴下
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,前进
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,资源采集
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),移动至最近的城镇(吟唱5分钟)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,给其他玩家鼓励
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,攻击选定目标
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,向选定角色求婚。
PROPMOTION_TXT_000057,Toggle Weapons,切换武器
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,激活你召唤宠物的祝福技能（消耗宠物能量：60）
PROPMOTION_TXT_000059,Follow the Selected Target,跟随选定目标
PROPMOTION_TXT_000060,Switch Your Current Stat Page,切换属性页
PROPMOTION_TXT_000061,Play Dead,装死
PROPMOTION_TXT_000062,Propose,求婚
PROPMOTION_TXT_000063,High Five (Couple),击掌 (情侣)
PROPMOTION_TXT_000064,Hug (Couple),拥抱 (情侣)
PROPMOTION_TXT_000065,Half Heart (Couple),单手比心 (情侣)
PROPMOTION_TXT_000066,Frustrated,沮丧
PROPMOTION_TXT_000067,Cross Arms (Couple),抱臂 (情侣)
PROPMOTION_TXT_000068,Eye Contact (Couple),眼神对视 (情侣)
PROPMOTION_TXT_000069,Jump (Couple),跳跃 (情侣)
PROPMOTION_TXT_000070,Dance 1,舞蹈 1
PROPMOTION_TXT_000071,Dance 2,舞蹈 2
PROPMOTION_TXT_000072,Dance 3,舞蹈 3
PROPMOTION_TXT_000073,Dance 4,舞蹈 4
PROPMOTION_TXT_000074,Dance 5,舞蹈 5
PROPMOTION_TXT_000075,Dance 6,舞蹈 6
PROPMOTION_TXT_000076,Dance 7,舞蹈 7
PROPMOTION_TXT_000077,Dance 8,舞蹈 8
PROPMOTION_TXT_000078,Dance 9,舞蹈 9
PROPMOTION_TXT_000079,Meditation,冥想
PROPMOTION_TXT_000080,Flip Jump 1,空翻跳跃 1
PROPMOTION_TXT_000081,Flip Jump 2,空翻跳跃 2
PROPMOTION_TXT_000082,Lift O,出 O
PROPMOTION_TXT_000083,Lift X,出 X
PROPMOTION_TXT_000084,Lift Rock,出石头
PROPMOTION_TXT_000085,Lift Paper,出布
PROPMOTION_TXT_000086,Lift Scissors,出剪刀
PROPMOTION_TXT_000087,Dance 10,舞蹈 10
PROPMOTION_TXT_000088,Dance 11,舞蹈 11
PROPMOTION_TXT_000089,Polite Greeting,礼貌问候
PROPMOTION_TXT_000090,Hurray,欢呼
PROPMOTION_TXT_000100,Clap,鼓掌
PROPMOTION_TXT_000101,Brrr,冻僵了
PROPMOTION_TXT_000102,Dance 12,舞蹈 12
PROPMOTION_TXT_000103,Hot,火辣
PROPMOTION_TXT_000104,LMAO,笑死我了
PROPMOTION_TXT_000105,Ninja,忍者
PROPMOTION_TXT_000106,Aha,啊哈！
PROPMOTION_TXT_000107,Provoke,激怒
PROPMOTION_TXT_000108,Surprised,惊讶
PROPMOTION_TXT_000109,Look Around,四周看看
PROPMOTION_TXT_000110,Arm Heart,比心
PROPMOTION_TXT_000111,Switch Your Current Skill Page,切换当前技能页
PROPMOTION_TXT_000112,Surrender,认输
PROPMOTION_TXT_000113,Begging,乞怜
PROPMOTION_TXT_000114,Waist Stretching,伸展
PROPMOTION_TXT_000115,Lower Body Stretching,腿部拉伸
PROPMOTION_TXT_000116,Thumbs Up,Thumbs Up
PROPMOTION_TXT_000117,Salute,Salute
PROPMOTION_TXT_000118,Concerned,Concerned
PROPMOTION_TXT_000119,Embarassed,Embarassed
