Key,English,Arabic
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon."
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon."
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","Exchange Beach Ball, Parasol and Penya for great Beach Boxes!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,Bring me back my lost gifts and I’ll think about getting you something in return..
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,I noticed you had a lot of rice cake. You want me to cook them to make them better?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you."
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!","I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!"
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?","The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?"
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.","The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards."
EXCHANGE_FINDGOLDENAIBATT_EVENT_2310,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?
EXCHANGE_TIME_TO_HUNT_2023,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?","It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?"
EXCHANGE_JEWELRY,Exchange your jewelry here. Note the upgrade level of the output items!,Exchange your jewelry here. Note the upgrade level of the output items!
EXCHANGE_CHRISTMAS_2023,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?
EXCHANGE_ATTACK_OF_THE_SNOWCLONES,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?
EXCHANGE_KALGASCHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?","The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?"
EXCHANGE_MARCH_2023,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!
EXCHANGE_ATTACK_OF_THE_HUNGRY_MONSTERS,"Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?","Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?"
EXCHANGE_2ND_ANNIVERSARY_EVENT,"Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!","Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!"
EXCHANGE_2024_VACANCE_EVENT,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!
EXCHANGE_PIRATE_SHIP_EVENT,"The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case","The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case"
EXCHANGE_YELLOWCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?","The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?"
EXCHANGE_FISHINGCHAMPION_EVENT,"Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!","Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!"
EXCHANGE_3RD_ANNIV_EGG_UPGRADE_EVENT,Exchange items for the Egg Upgrade Event,Exchange items for the Egg Upgrade Event
EXCHANGE_FWC_COIN_2025,"Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya","Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya"
EXCHANGE_PTS,Grab useful items for your testing purposes here!,Grab useful items for your testing purposes here!
EXCHANGE_ALCHEMY,Alchemy,Alchemy
EXCHANGE_CARPENTRY,Carpentry,Carpentry
EXCHANGE_COOKING,Cooking,Cooking
EXCHANGE_SMITHING,Smithing,Smithing
EXCHANGE_KEBARAS2COST,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!,Kebaras 2 Costumes can be exchanged for Kebaras 2 Costume Fragments here!
