Key,English,Polish
DUASYLUM_WLD_000000,Ankou's Asylum,Ankou's Asylum
DUASYLUM_WLD_000001,Ankou's Cell,Ankou's Cell
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),Leren Chasm (Instance Dungeon)
DUHERNEOS_WLD_000000,Herneos (Dungeon),Herneos (Dungeon)
DUDADK_WLD_000000,Dekane Mine (Dungeon),Dekane Mine (Loch)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),Kopalnia Mars (Lochy)
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),Guardiane Sanctuary (Instance Dungeon)
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),Rhisis Catacombs (Instance Dungeon)
DURUSTIA_WLD_000000,The Wilds,The Wilds
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),Iblis Temple (Loch)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),Storm Peak (Instance Dungeon)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),Envy Depths (Instance Dungeon)
DUUPRESIA_WLD_000000,Euphresia,Euphresia
DUVOLKANE_WLD_000000,Volkane,Wulkan
DUVOLKANE_WLD_000001,Volkane (Dungeon),Volkane (Dungeon)
WDARENA_WLD_000000,Arena,Arena
WDARENA_WLD_000001,You can PvP in the Arena.,Możesz walczyć PvP na Arenie.
WDARENA_WLD_000002,Training Center,Training Center
WDARENA_WLD_000003,Test your capabilities against dummies!,Test your capabilities against dummies!
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,The Bronze Vagrant
WDARENA_WLD_000007,The Bronze Elementor,The Bronze Elementor
WDARENA_WLD_000008,The Bronze Knight,The Bronze Knight
WDARENA_WLD_000009,The Bronze Psykeeper,The Bronze Psykeeper
WDARENA_WLD_000010,The Bronze Billposter,The Bronze Billposter
WDARENA_WLD_000011,The Bronze Blade,The Bronze Blade
WDARENA_WLD_000012,The Bronze Jester,The Bronze Jester
WDARENA_WLD_000013,The Bronze Ranger,The Bronze Ranger
WDARENA_WLD_000014,The Bronze Ringmaster,The Bronze Ringmaster
WDCOLOSSEUM_WLD_000001,The Colosseum,The Colosseum
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,Colosseum Stadium
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,The Cage of Clockworks
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,Clockworks został tu zapieczętowany po Wojnie Clockworków.
WDEVENT_WLD_000000,Duel Zone,Strefa Pojedynku
