Key,English,Simplified_Chinese
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,世界
PROPMAP_TXT_000002,Region,地区
PROPMAP_TXT_000003,Town,城镇
PROPMAP_TXT_000004,Madrigal,瑞加大陆
PROPMAP_TXT_000005,"Darkon 1, 2",达肯1区，达肯2区
PROPMAP_TXT_000006,Darkon 3,达肯3区
PROPMAP_TXT_000007,Garden of Rhisis,莱斯庭院
PROPMAP_TXT_000008,Saint Morning,晨光
PROPMAP_TXT_000009,Flaris,帕里
PROPMAP_TXT_000012,Flarine,帕里镇
PROPMAP_TXT_000013,Saint City,晨光镇
PROPMAP_TXT_000014,Darken,达肯2区
PROPMAP_TXT_000242,Dungeon,副本
PROPMAP_TXT_000263,Mars Dungeon,魔域密殿
PROPMAP_TXT_000265,Dekane Mine,达肯矿洞
PROPMAP_TXT_000266,Iblis Temple,幻魔依普利神殿
PROPMAP_TXT_000274,Forsaken Tower 1F,深渊之塔1层
PROPMAP_TXT_000275,Forsaken Tower 2F,深渊之塔2层
PROPMAP_TXT_000276,Forsaken Tower 3F,深渊之塔3层
PROPMAP_TXT_000277,Forsaken Tower 4F,深渊之塔4层
PROPMAP_TXT_000278,Forsaken Tower 5F,深渊之塔5层
PROPMAP_TXT_000279,Forsaken Tower 6F,深渊之塔6层
PROPMAP_TXT_000280,Forsaken Tower 7F,深渊之塔7层
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,卡巴拉斯
PROPMAP_TXT_100001,North-Fl,帕里北广场
PROPMAP_TXT_100002,Cen Flarine,帕里中心
PROPMAP_TXT_100003,East-Fla,帕里东广场
PROPMAP_TXT_100004,Darkon,达肯地区
PROPMAP_TXT_100005,The North of Leren Mountains,乐雅山脉北部
PROPMAP_TXT_100006,The River of Weeping,雨之河
PROPMAP_TXT_100007,Saint Hall,圣教堂
PROPMAP_TXT_100008,Pumpkin Town,南瓜村
PROPMAP_TXT_100009,Plateau of Silence,寂静高原
PROPMAP_TXT_100010,The North of Hillid Mountains,龙脊山脉北
PROPMAP_TXT_100011,The Middle of Hillid Mountains,龙脊山脉中
PROPMAP_TXT_100012,The South of Hillid Mountains,龙脊山脉南
PROPMAP_TXT_100013,Guardian's Room,守护之室
PROPMAP_TXT_100014,Heret,迷梦峡谷
PROPMAP_TXT_100015,Cendil,流韵要塞
PROPMAP_TXT_100016,Aniceknight,魔夜之森
PROPMAP_TXT_100017,Arians,千泪湖
PROPMAP_TXT_100018,Deadwallderness,龙息荒野
PROPMAP_TXT_100019,Brekin,铸炼之地
PROPMAP_TXT_100020,Guardiane,圣堂
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),达肯2区 (渴望洞穴)
PROPMAP_TXT_100022,Clockworks' Cage,囚禁之地
PROPMAP_TXT_100023,Erons Factories,开采场
PROPMAP_TXT_100024,Gouthan Mountains,永恒森林
