Key,English,Simplified_Chinese
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","用 10 只蚊子和 50,000 金币换取一张石头剪刀布券。"
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.",用10只红袜子和50000金币兑换一张石头剪刀布券。
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!",给我任意10件东西，我可以将他们换成1整个！点击想要交换的物品，然后确认即可。
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,我可以用金币交换你的骰子。选择你想要交换的物品并点击确认即可！
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?",我商店里卖的绝对是你能找到的最好的防具套装！所以，你有多少红纸片，嗯哼？
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!",用沙滩球、遮阳伞和金币换取很棒的礼盒！
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?",我店里卖的这些道具绝对派得上用场！对了，说说看，你有多少绿纸片，嗯哼？
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?",我商店里卖的绝对是你能找到的最好的物品！所以，你有多少蓝纸片，嗯哼？
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,把我丢失的礼物带回来，我会考虑给你一些东西作为回报..
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,我注意到你吃了很多年糕。你想让我把它们做的更好吃吗？
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc",很多人来找我，说他们的情书丢了...你能找到它们并带回来给我吗？我会给你一些丰厚的奖励\n\n#cffff0000交换5封信，你将获得4个奖励物品中的1个。一次只能使用一个，所以要小心！#nc
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.",所以你喜欢杀戮并窃取其他玩家的PK纸片…没关系，我对它们的来历不感兴趣。看看我能为你提供什么。
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",我需要你的帮助！一群调皮捣蛋的家伙偷走了他所有的蛋，还把它们藏进了一个特殊副本里。把蛋全都找回来，你就能获得超棒的彩蛋奖励！
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,想为你的日常增添一抹星光吗？在夜晚击碎星辰，收集星之碎片！然后来找我兑换闪耀奖励，保证让你心情灿烂。
