Key,English,Vietnamese
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Hàng ngày
PROPQUEST_INC_000291,Save the Garden! (Part 1),Giải cứu Khu vườn (Phần 1)
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,Khu Vườn Rhisis đang chết dần! Bạn có thể giúp tôi?
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,Bạn cần 10 trái tim Bearer từ Tombstone Bearers để cứu Khu vườn của Rhisis.
PROPQUEST_INC_000294,Thank you!,Xin cảm ơn!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!","Nếu sau này bạn đổi ý, hãy quay lại với tôi!"
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,Cảm ơn bạn! Bạn thực sự nên nói chuyện với Janne.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Hãy quay lại khi bạn có Bearer Hearts.
PROPQUEST_INC_000298,Save the Garden! (Part 2),Giải cứu Khu Vườn (Phần 2)
PROPQUEST_INC_000299,You have a message from my sister!,Bạn có một tin nhắn từ em gái của tôi!
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,Tôi thấy rồi. Khu Vườn của Rhisis đang chết dần ... Bạn có thể thông báo cho em gái Kimberley của tôi được không?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,Vấn đề với Khu Vườn của Rhisis có thể chờ đợi. Tôi đoán...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Cảm ơn bạn đã mang đến cho tôi tin nhắn này. Tôi nghĩ bạn nên nói chuyện với Marche ở Eastern Flarine.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,Bạn vẫn chưa tìm thấy Kimberley? Cô ấy đang ở thành phố Saint.
PROPQUEST_INC_000308,Save the Garden! (Part 3),Giải cứu Khu Vườn (Phần 3)
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,Các chị em ở Saint City nói rằng Khu Vườn của Rhisis đang chết dần.
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,Bạn có thể mang Live Tea cho Ann được không? Bạn có thể tìm thấy nó ở phía đông của dãy núi Leren.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,"Cảm ơn bạn! Nếu bạn giúp cô ấy, cô ấy sẽ tặng bạn một Bông tai."
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,Tôi sẽ cứu Khu Vườn của Rhisis bằng loại trà này! Đây là một Bông tai để cảm ơn bạn.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Mang Live Tea đến Ann tại Saint City.
PROPQUEST_INC_000422,Find Santa's Socks!,Đi tìm đôi vớ của Santa!
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,Đây là một Giáng sinh buồn ở Madrigal. Ông già Noel đã mất tất cả những chiếc vớ để đựng quà cho trẻ em! Chúng ta phải tìm chiếc vớ màu đỏ!
PROPQUEST_INC_000461,A Favor for the Pastor,Một sự ân huệ giành cho mục sư
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,Mục sư muốn tôi gửi 20 bó hoa! Không biết phần thưởng sẽ là gì!
PROPQUEST_INC_000465,Give Back the Love.,Trả lại tình yêu.
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,Tôi phải thu thập 10 mảnh trái tim. Đã đến lúc săn vài con masquerpets.
PROPQUEST_INC_000469,Vagrant Master (Acrobat),Vagrant Master (Acrobat)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!","Bạn muốn trở thành một Acrobat, huh? Bạn sẽ không hối tiếc! Tôi có một bài kiểm tra đơn giản cho bạn trước khi bắt đầu khóa đào tạo. Bạn đã sẵn sàng chưa? … Hic!"
PROPQUEST_INC_000472,Good luck! You'll need it!,Chúc may mắn! Bạn sẽ cần đến nó!
PROPQUEST_INC_000473,"What are you afraid of? The path to become an Acrobat may be difficult for some, but it's so worth it! Come back if you change your mind, friend.","Bạn sợ cái gì? Con đường trở thành một Acrobat có thể khó đối với một số người, nhưng nó rất xứng đáng! Hãy quay lại nếu bạn thay đổi ý định của mình, bạn ạ."
PROPQUEST_INC_000474,Well done. You've passed the first test!,Tốt lắm. Bạn đã vượt qua bài kiểm tra đầu tiên!
