Key,English,Thai
MMI_0,Dialog,Dialog
MMI_1,Quest,Quest
MMI_2,Trade,ซื้อขาย
MMI_3,Attack,พลังโจมตี
MMI_4,Message,ข้อความ
MMI_5,Add to my list,เพิ่มเข้าในรายการของฉัน
MMI_6,Invite to join party,เชิญเข้าปาร์ตี้
MMI_7,Invite to join guild,เชิญเข้ากิลด์
MMI_8,Place of Resurrection,Save จุดเกิด
MMI_9,Bank,คลัง
MMI_10,Duel,การประลอง
MMI_11,Request party duel,ร้องขอ Party
MMI_12,Follow,ติดตาม
MMI_13,Beauty Shop,ร้านเสริมสวย
MMI_14,Repair,ซ่อมแซม
MMI_15,Guild Bank,คลังเก็บของ Guild
MMI_16,Guild Rankings,อันดับ Guild
MMI_17,Guild Duel Rankings,อันดับGuild war
MMI_18,Guild Statistics Rankings,อันดับ Guild war ทั้งหมด
MMI_21,Register Bounty,ใส่เงินสนับสนุน
MMI_22,Bounty List,ดูรายชื่อคนให้เงินสนับสนุน
MMI_24,View equipment,ดูอุปกรณ์สวมใส่
MMI_25,Mailbox,ตู้จดหมาย
MMI_26,Apply,Apply
MMI_27,Status,Status
MMI_28,Cancel,ยกเลิก
MMI_29,Enter,เข้าร่วม
MMI_30,Ranking,จัดอันดับ
MMI_31,Cheer,เชียร์
MMI_32,Remove piercing card,ถอดการ์ดที่เจาะ
MMI_33,Lineup Setup,เข้าสู่
MMI_34,Claim Guild Penya,การรับเงินรางวัลและการสมัคร
MMI_35,Reward Information,ข้อมูลเกี่ยวกับเงินรางวัล
MMI_36,Claim MVP Penya Reward,รับรางวัล MVP
MMI_37,Participation Information,ข้อมูลที่จะเข้าร่วม
MMI_38,Basic Rules,กฏพื้นฐาน
MMI_39,Winning Conditions,เงื่อนไขที่จะชนะ
MMI_40,Application Fee Information,ข้อมูลค่าธรรมเนียม
MMI_41,The refund of application fee,การคืนค่าธรรมเนียมการสมัคร
MMI_42,Cosmetic Upgrades,Cosmetic Upgrades
MMI_44,Rock-Paper-Scissors,เกมค้อน กระดาษ กรรไกร
MMI_49,Pet State,สถานะสัตว์เลี้ยง
MMI_50,Un-summon pet,ยกเลิกการเลี้ยงสัตว์เลี้ยง
MMI_51,Create Shining Power Dice,สร้างShining Power Dice
MMI_53,Create Jewels,สร้าง Jewel
MMI_54,Create Unique Weapon,สร้างอาวุธ Unique
MMI_59,Remove Element,ยกเลิกธาตุ
MMI_71,Remove Level Reduction,ยกเลิกระดับการสวมใส่
MMI_74,Get Buffed!,รับ Buff!
MMI_75,Exchange Rare Item Pieces,แลกเปลี่ยนไอเทมหายาก
MMI_76,Exchange Card Pieces,แลกเปลี่ยนชิ้นส่วนบัตร
MMI_79,Remove Premium Item Blessing,ลบ Blessing
MMI_80,Enter Arena,เข้าสู่ Arena
MMI_81,Leave Arena,ออกจาก Arena
MMI_82,Arena Ranking,อันดับ Arena
MMI_83,Arena Reward,Arena Reward
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,กำลังอัพเกรด
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,อัพเกรดธาตุแบบปลอดภัย
MMI_142,Store Pet,เก็บสัตว์เลี้ยง
MMI_272,Exchange RPS Coupon,แลกคูปอง RPS
MMI_309,Card Upgrade,อัพเกรด Card
MMI_310,Weapon Socket Card Reshuffle,การสับเปลี่ยนช่องการ์ดในอาวุธ
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,Drop Filter
MMI_1001,Report,Report
MMI_1002,Inspect,ตรวจสอบ
MMI_1003,Unbinding,ไม่ผูกมัด
MMI_1004,Exchange,แลกเปลี่ยน
MMI_1005,Combat Power Ranking,อับดับพลังการต่อสู้
MMI_1006,Giant Hunt Ranking ,อันดับ Giant Hunt 
MMI_1007,Accessory Upgrade,อัพเกรด Accessory
MMI_1008,Mute,ปิดเสียง
MMI_1009,Unmute,เลิกปิดเสียง
MMI_1010,Freeze,แช่แข็ง
MMI_1011,Unfreeze,หยุดแช่แข็ง
MMI_1012,Shadow Mute,Shadow Mute
MMI_1013,Pet Candy Crafting,สร้าง Pet Candy
MMI_1014,Exchange Dice,แลกเปลี่ยนลูกเต๋า
MMI_1015,Pet Sacrificing,การเสียสละสัตว์เลี้ยง
MMI_1016,Red Chip Shop,Red Chip Shop
MMI_1017,Cosmetic Wardrobe,ตู้เสื้อผ้าและเครื่องสำอาง
MMI_1018,Lv80 GS Apply,Lv80 GS สมัคร
MMI_1019,Lv80 GS Status,Lv80 GS สถานะ
MMI_1020,Lv80 GS Cancel,Lv80 GS ยกเลิก
MMI_1021,Lv80 GS Enter,Lv80 GS เข้าร่วม
MMI_1022,Lv80 GS Lineup Setup,Lv80 GS เข้าแถว
MMI_1023,Lv80 GS Ranking,Lv80 GS จัดอันดับ
MMI_1024,Lv80 GS Information,Lv80 GS ข้อมูล
MMI_1025,Lv60 GS Apply,Lv60 GS สมัคร
MMI_1026,Lv60 GS Status,Lv60 GS สถานะ
MMI_1027,Lv60 GS Cancel,Lv60 GS ยกเลิก
MMI_1028,Lv60 GS Enter,Lv60 GS เข้าร่วม
MMI_1029,Lv60 GS Lineup Setup,Lv60 GS เข้าแถว 
MMI_1030,Lv60 GS Ranking,Lv60 GS จัดอันดับ
MMI_1031,Lv60 GS Information,Lv60 GS ข้อมูล
MMI_1032,Blue Chip Shop,ร้านค้า Blue Chip 
MMI_1033,Valentine's Letter Exchange,Valentine's Letter Exchange
MMI_1034,Dungeon,Dungeon
MMI_1035,PK Chip Shop,ร้าน PK Chip
MMI_1036,Exchange,แลกเปลี่ยน
MMI_1037,Green Chip Shop,ร้าน Green Chip
MMI_1038,FWC Gear Exchange,แลกเปลี่ยน FWC Gear
MMI_1039,FWC Jewel Exchange,แลกเปลี่ยน FWC Jewel
MMI_1040,Use Capsule Coins,ใช้ Capsule Coins
MMI_1041,Music Festival Exchange,แลกเปลี่ยน Music Festival
MMI_1042,Fitting Room,ห้องแต่งตัว
MMI_1043,FWC PVP Registrations Board,บอร์ดลงทะเบียน FWC PVP
MMI_1047,Join FWC PVP Arena,เข้าร่วม FWC PVP Arena
MMI_1046,FWC PVP Ranking,อันดับ FWC PVP 
MMI_1048,Spectate FWC PVP Contest,ชมการแข่งขัน FWC PVP
MMI_1049,Rock Paper Scissors,เป่ายิ้งฉุบ
MMI_1050,W-Token Shop,ร้าน W-Token
MMI_1051,Costume Box Upgrade,อัพเกรด Costume Box
MMI_1054,Exchange Rings,แลกเปลี่ยน Rings
MMI_1055,Dismantle Item,สลายไอเท็ม
MMI_1056,Purchase Guild Ship,ซื้อบ้านกิลด์
MMI_1057,Enter Guild Ship,เข้าสู่บ้านกิลด์
MMI_1058,Enter Your House,เข้าบ้านของคุณ
MMI_1059,Select House Template,เลือกรูปแบบบ้าน
MMI_1060,Visit Friend's House,เยี่ยมชมบ้านเพื่อน
MMI_1061,Edit,แก้ไข
MMI_1062,Remove,ลบ
MMI_1063,Exchange Earrings,แลกเปลี่ยน Earrings
MMI_1064,Exchange Necklaces,แลกเปลี่ยน Necklaces
MMI_1065,Rainbow Race,Rainbow Race
MMI_1066,Create Ultimate Weapon,สร้างอาวุธ Ultimate
MMI_1069,Open Guest Book,เปิด Guest Book
MMI_1070,Orphanage Keeper Shop,ร้านของผู้ดูแลเด็กกำพร้า
MMI_1071,Kalgas Assault Registration,Kalgas Assault Registration
MMI_1072,Kalgas Assault Enter,Kalgas Assault Enter
MMI_1073,Kalgas Assault Rank,Kalgas Assault Rank
MMI_1074,Kalgas Assault Info,Kalgas Assault Info
MMI_1075,Kalgas Chip Shop,Kalgas Chip Shop
MMI_1076,Couple's Storage,Couple's Storage
MMI_1077,Create Ultimate Jewel,Create Ultimate Jewel
MMI_1078,Fuse Ultimate Jewel,Fuse Ultimate Jewel
MMI_1079,Teleport,Teleport
MMI_1080,Sea Shell Upgrading,Sea Shell Upgrading
MMI_1081,Fuse Rainbow Jewel,Fuse Rainbow Jewel
MMI_1082,Dismantle Rainbow Jewel,Dismantle Rainbow Jewel
MMI_1083,Pet Training,Pet Training
MMI_1084,Teleport,Teleport
MMI_1085,Individual Race (Item),Individual Race (Item)
MMI_1086,Individual Race (Speed),Individual Race (Speed)
MMI_1087,Duo Team Race (Item),Duo Team Race (Item)
MMI_1088,Duo Team Race (Speed),Duo Team Race (Speed)
MMI_1089,Sit,Sit
MMI_1090,Sleep,Sleep
MMI_1091,Yellow Chip Shop,Yellow Chip Shop
MMI_1092,Madrigal Tournament Registration,Madrigal Tournament Registration
MMI_1093,Enter Madrigal Tournament,Enter Madrigal Tournament
MMI_1094,Madrigal Tournament Ranking,Madrigal Tournament Ranking
MMI_1095,Madrigal Tournament Reward,Madrigal Tournament Reward
MMI_1096,Madrigal Tournament Bidding,Madrigal Tournament Bidding
MMI_1097,Remove Ultimate Jewel,Remove Ultimate Jewel
MMI_1098,Customize,Customize
MMI_1099,Enter Couple House,Enter Couple House
MMI_1100,Select Couple House Template,Select Couple House Template
MMI_1101,Wandering Shop,Wandering Shop
MMI_1102,Master Chip Shop - Alchemy,Master Chip Shop - Alchemy
MMI_1103,Product Upgrade,Product Upgrade
MMI_1104,Life Mastery Ranking,Life Mastery Ranking
MMI_1105,Life Mastery Ranking Reward,Life Mastery Ranking Reward
MMI_1106,Alchemy,Alchemy
MMI_1107,Cooking,Cooking
MMI_1108,Carpentry,Carpentry
MMI_1109,Smithing,Smithing
MMI_1110,Enter Race,Enter Race
MMI_1111,Master Chip Shop - Cooking,Master Chip Shop - Cooking
MMI_1112,Master Chip Shop - Carpentry,Master Chip Shop - Carpentry
MMI_1113,Master Chip Shop - Smithing,Master Chip Shop - Smithing
MMI_1115,Join Boss Raid,Join Boss Raid
MMI_1120,3rd Anniversary Egg Upgrade Event,3rd Anniversary Egg Upgrade Event
MMI_1121,Champion Coin Exchange,Champion Coin Exchange
MMI_1116,Synthesize Ultimate Jewel,Synthesize Ultimate Jewel
MMI_1117,Convert Ultimate Jewel,Convert Ultimate Jewel
MMI_2025,PTS Exchange (Equipment),PTS Exchange (Equipment)
MMI_2026,Give Feedback,Give Feedback
MMI_2027,PTS Exchange (Materials),PTS Exchange (Materials)
MMI_2028,PTS Exchange (Essentials),PTS Exchange (Essentials)
MMI_2029,PTS Exchange (Jewelry),PTS Exchange (Jewelry)
MMI_2030,PTS Exchange (Other Equipment),PTS Exchange (Other Equipment)
MMI_2031,Reset Cooldowns,Reset Cooldowns
MMI_2032,PTS Exchange (New Equipment),PTS Exchange (New Equipment)
MMI_2033,Item Exchange,Item Exchange
MMI_1122,Lv165 GS Apply,Lv165 GS Apply
MMI_1123,Lv165 GS Status,Lv165 GS Status
MMI_1124,Lv165 GS Cancel,Lv165 GS Cancel
MMI_1125,Lv165 GS Join,Lv165 GS Join
MMI_1126,Lv165 GS Line Up,Lv165 GS Line Up
MMI_1127,Lv165 GS Ranking,Lv165 GS Ranking
MMI_1128,Lv165 GS Information,Lv165 GS Information
MMI_1129,Yellow Chip Shop 2,Yellow Chip Shop 2
MMI_1130,Red Chip Shop 2,Red Chip Shop 2
MMI_1131,Kalgas Chip Shop 2,Kalgas Chip Shop 2
MMI_1132,Mysterious Castle Enter,Mysterious Castle Enter
MMI_1133,Mysterious Castle Reward,Mysterious Castle Reward
MMI_1134,Kebaras 2 Costumes,Kebaras 2 Costumes
