Key,English,French
PROPITEMETC_INC_000001,Leaf Set,Tenue Folio
PROPITEMETC_INC_000002,Parmil Set,Tenue Parmil
PROPITEMETC_INC_000003,Flower Set,Tenue Florale
PROPITEMETC_INC_000004,Petal Set,Tenue Fortis
PROPITEMETC_INC_000005,Stinger Set,Tenue Piquante
PROPITEMETC_INC_000006,Slepint Set,Tenue Slepin
PROPITEMETC_INC_000007,Curus Set,Tenue Curus
PROPITEMETC_INC_000008,Sardine Set,Tenue Sardin
PROPITEMETC_INC_000009,Niz Set,Tenue Niz
PROPITEMETC_INC_000010,Seer Set,Tenue Seer
PROPITEMETC_INC_000011,Cylos Set,Tenue Cylos
PROPITEMETC_INC_000012,Comet Set,Tenue Cosmic
PROPITEMETC_INC_000013,Miracle Set,Tenue Mirage
PROPITEMETC_INC_000014,Layered Set,Tenue Superposition
PROPITEMETC_INC_000015,Sayram Set,Tenue Sayram
PROPITEMETC_INC_000016,Talin Set,Tenue Talin
PROPITEMETC_INC_000017,Merr Set,Tenue Mera
PROPITEMETC_INC_000018,Sorain Set,Tenue Sorain
PROPITEMETC_INC_000019,Stitch Set,Tenue Sith
PROPITEMETC_INC_000020,Panggril Set,Tenue Pangril
PROPITEMETC_INC_000021,Hyper Set,Tenue Horizon
PROPITEMETC_INC_000022,Cruiser Set,Tenue Cruiser
PROPITEMETC_INC_000023,Flury Set,Tenue Fury
PROPITEMETC_INC_000024,Wedge Set,Tenue Beltias
PROPITEMETC_INC_000025,Misty Set,Tenue Mysty
PROPITEMETC_INC_000026,Teba Set,Tenue Kadjar
PROPITEMETC_INC_000027,Recorn Set,Tenue Recorn
PROPITEMETC_INC_000028,Rescorn Set,Tenue Ryscorn
PROPITEMETC_INC_000029,Rebron Set,Tenue Rebrorn
PROPITEMETC_INC_000030,Restron Set,Tenue Restrorn
PROPITEMETC_INC_000031,Shurand Set,Tenue Shurent
PROPITEMETC_INC_000032,Shuran Set,Tenue Shuran
PROPITEMETC_INC_000033,Ahes Set,Tenue Ahes
PROPITEMETC_INC_000034,Anoos Set,Tenue Arkan
PROPITEMETC_INC_000035,Warpon Set,Tenue Illustre
PROPITEMETC_INC_000036,Warspon Set,Tenue Illustre
PROPITEMETC_INC_000037,Wees Set,Tenue Astrale
PROPITEMETC_INC_000038,Weeshian Set,Tenue Astrale
PROPITEMETC_INC_000039,Ectro Set,Tenue Épique
PROPITEMETC_INC_000040,Extro Set,Tenue Épique
PROPITEMETC_INC_000041,Einy Set,Tenue Illustre
PROPITEMETC_INC_000042,Akan Set,Tenue Illustre
PROPITEMETC_INC_000043,Dayst Set,Tenue Astrale
PROPITEMETC_INC_000044,Dest Set,Tenue Astrale
PROPITEMETC_INC_000045,Hanes Set,Tenue Épique
PROPITEMETC_INC_000046,Haganes Set,Tenue Épique
PROPITEMETC_INC_000047,Katria Set,Tenue Illustre
PROPITEMETC_INC_000048,Kanarin Set,Tenue Illustre
PROPITEMETC_INC_000049,Restra Set,Tenue Astrale
PROPITEMETC_INC_000050,Rasra Set,Tenue Astrale
PROPITEMETC_INC_000051,Neis Set,Tenue Épique
PROPITEMETC_INC_000052,Neition Set,Tenue Épique
PROPITEMETC_INC_000053,Oska Set,Tenue Illustre
PROPITEMETC_INC_000054,Okas Set,Tenue Illustre
PROPITEMETC_INC_000055,Asren Set,Tenue Astrale
PROPITEMETC_INC_000056,Aren Set,Tenue Astrale
PROPITEMETC_INC_000057,Tyrent Set,Tenue Épique
PROPITEMETC_INC_000058,Tight Set,Tenue Épique
PROPITEMETC_INC_000059,Pact Set,Tenue Illustre
PROPITEMETC_INC_000060,Paxt Set,Tenue Illustre
PROPITEMETC_INC_000061,Shupon Set,Tenue Astrale
PROPITEMETC_INC_000062,Shrian Set,Tenue Astrale
PROPITEMETC_INC_000063,Navil Set,Tenue Épique
PROPITEMETC_INC_000064,Neclus Set,Tenue Épique
PROPITEMETC_INC_000065,Alext Set,Tenue Illustre
PROPITEMETC_INC_000066,Ales Set,Tenue Illustre
PROPITEMETC_INC_000067,Akent Set,Tenue Astrale
PROPITEMETC_INC_000068,Aken Set,Tenue Astrale
PROPITEMETC_INC_000069,Rody Set,Tenue Épique
PROPITEMETC_INC_000070,Rodey Set,Tenue Épique
PROPITEMETC_INC_000071,Ropang Set,Tenue Illustre
PROPITEMETC_INC_000072,Roshel Set,Tenue Illustre
