Key,English,Italian
TEXTCLIENT_CONNECTING,Connecting. Please wait.,In Connessione. Attendere prego.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Impossibile connettersi al gioco. Si prega di controllare la rete.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Il gioco è stato aggiornato. Per favore chiudi la pagina e riprova ad aprirla.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Identificatore del server errato.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Errore sconosciuto, si prega di riprovare."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,L'account è già collegato.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Vuoi disconnettere l'altro dispositivo?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,Il dispositivo è stato disconnesso. Effettua nuovamente il login tra 10 secondi.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Questo canale è attualmente pieno, attendi un momento o seleziona un altro canale."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Il nome del personaggio è già in uso.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Mostro Boss Individuato!
TEXTCLIENT_APP_MAP,World Map,Mappa del Mondo
TEXTCLIENT_APP_OPTION,Options,Opzioni
TEXTCLIENT_APP_LOGOUT,Log Out,Disconnettersi
TEXTCLIENT_APP_QUIT,Quit,Uscire
TEXTCLIENT_APP_SUPPORT,Support,Supporto
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navigatore
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Disconnessione in %d sec(s).
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Cambio personaggio in %d sec(s).
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Collegamento dell'account in %d sec(s).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Vuoi disconnetterti?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Perderai il personaggio provvisorio.#nc Si prega di collegare un account.
TEXTCLIENT_EXIT,Do you want to exit the program?,Vuoi uscire dal programma?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Disconnesso dal server.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,La creazione del personaggio è disabilitata in questo server.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Sembra esserci una forza maligna che offusca la tua visione dell'area.
TEXTCLIENT_ITEM_DESC,Description:,Descrizione:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Questo nome contiene caratteri non validi.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Questo nome contiene parole non valide.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Il tuo indirizzo Internet pubblico è stato bannato. Contattare l'amministratore per maggiori informazioni.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Il gioco non è attualmente disponibile nel tuo paese.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,È stata rilevata un'attività importante sul tuo indirizzo Internet pubblico. Attendi %s prima di riprovare.
TEXTCLIENT_SECS,second(s),secondo(i)
TEXTCLIENT_MINS,minute(s),minuto(i)
TEXTCLIENT_HOURS,hour(s),ora(e)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","La tua sessione è scaduta, inserisci nuovamente login e password."
TEXTCLIENT_ADMIN,Admin,Admin
