Key,English
PROPITEM_TXT_000001,
PROPITEM_TXT_000002,Hand
PROPITEM_TXT_000004,Penya
PROPITEM_TXT_000012,P.K Reward
PROPITEM_TXT_000014,(Practice) Wooden Sword
PROPITEM_TXT_000016,Wooden Sword
PROPITEM_TXT_000018,Normal Sword
PROPITEM_TXT_000020,Long Sword
PROPITEM_TXT_000022,Hand Saw
PROPITEM_TXT_000024,Hand Claw
PROPITEM_TXT_000026,Leaf Sword
PROPITEM_TXT_000028,Parmil Sword
PROPITEM_TXT_000030,Penel Sword
PROPITEM_TXT_000032,Crimson Sword
PROPITEM_TXT_000034,Flower Sword
PROPITEM_TXT_000036,Petal Sword
PROPITEM_TXT_000038,Star Sword
PROPITEM_TXT_000040,Blink Sword
PROPITEM_TXT_000042,Slogger Sword
PROPITEM_TXT_000044,Outlaw Sword
PROPITEM_TXT_000046,Fairlight Sword
PROPITEM_TXT_000048,Fairslender Sword
PROPITEM_TXT_000050,Turtle Sword
PROPITEM_TXT_000052,Clip Sword
PROPITEM_TXT_000054,Oval Sword
PROPITEM_TXT_000056,Tao Sword
PROPITEM_TXT_000058,Jaim Sword
PROPITEM_TXT_000060,Sepal Sword
PROPITEM_TXT_000062,Hansel Sword
PROPITEM_TXT_000064,Cyclos Sword
PROPITEM_TXT_000066,Comet Sword
PROPITEM_TXT_000068,Invader Sword
PROPITEM_TXT_000070,Pricker Sword
PROPITEM_TXT_000072,Stitch Sword
PROPITEM_TXT_000074,Subblade Sword
PROPITEM_TXT_000076,Multiblade Sword
PROPITEM_TXT_000078,Bigmas Sword
PROPITEM_TXT_000080,Panggril Sword
PROPITEM_TXT_000082,Savage Sword
PROPITEM_TXT_000084,Carnage Sword
PROPITEM_TXT_000086,Knocker Sword
PROPITEM_TXT_000088,Janitor Sword
PROPITEM_TXT_000090,Blue Shine Sword
PROPITEM_TXT_000092,Blue Jade Sword
PROPITEM_TXT_000094,Shyer Sword
PROPITEM_TXT_000096,Zeroth Sword
PROPITEM_TXT_000098,Rowbenon Sword
PROPITEM_TXT_000100,Emeryl Sword
PROPITEM_TXT_000102,Khaicator Sword
PROPITEM_TXT_000104,Chainsing Sword
PROPITEM_TXT_000106,Axilow Sword
PROPITEM_TXT_000108,Harpion Sword
PROPITEM_TXT_000110,Breakest Sword
PROPITEM_TXT_000112,Smiter Sword
PROPITEM_TXT_000114,Runaicing Sword
PROPITEM_TXT_000116,Shadeving Sword
PROPITEM_TXT_000118,Fireise Sword
PROPITEM_TXT_000120,Hotter Sword
PROPITEM_TXT_000122,Curin Axe
PROPITEM_TXT_000124,Rodney Axe
PROPITEM_TXT_000126,Steel Axe
PROPITEM_TXT_000128,Morrow Axe
PROPITEM_TXT_000130,Crenil Axe
PROPITEM_TXT_000132,Curning Axe
PROPITEM_TXT_000134,Sephir Axe
PROPITEM_TXT_000136,Shyadin Axe
PROPITEM_TXT_000138,Gorn Axe
PROPITEM_TXT_000140,Bronze Axe
PROPITEM_TXT_000142,Vain Axe
PROPITEM_TXT_000144,Grang Axe
PROPITEM_TXT_000146,Tooring Axe
PROPITEM_TXT_000148,Drone Axe
PROPITEM_TXT_000150,Karm Axe
PROPITEM_TXT_000152,Proem Axe
PROPITEM_TXT_000154,Battle Axe
PROPITEM_TXT_000156,Corin Axe
PROPITEM_TXT_000158,Action Axe
PROPITEM_TXT_000160,Crow Axe
PROPITEM_TXT_000162,War Axe
PROPITEM_TXT_000164,Raptor Axe
PROPITEM_TXT_000166,Zailon Axe
PROPITEM_TXT_000168,Berk Axe
PROPITEM_TXT_000170,Forge Axe
PROPITEM_TXT_000172,Ardalin Axe
PROPITEM_TXT_000174,Galaxy Axe
PROPITEM_TXT_000176,Dolphin Axe
PROPITEM_TXT_000178,Ribten Axe
PROPITEM_TXT_000180,Bonebar Axe
PROPITEM_TXT_000182,Cantess Axe
PROPITEM_TXT_000184,Luxior Axe
PROPITEM_TXT_000186,Stormpak Axe
PROPITEM_TXT_000188,Exhaust Axe
PROPITEM_TXT_000190,Needrek Axe
PROPITEM_TXT_000192,Shakyfin Axe
PROPITEM_TXT_000194,Phantege Axe
PROPITEM_TXT_000196,Hitch Axe
PROPITEM_TXT_000198,Butterfly Axe
PROPITEM_TXT_000200,Catchy Axe
PROPITEM_TXT_000202,Driff Axe
PROPITEM_TXT_000204,Fellpeed Axe
PROPITEM_TXT_000206,Saintsail Axe
PROPITEM_TXT_000208,Darcro Axe
PROPITEM_TXT_000210,Flaper Axe
PROPITEM_TXT_000212,Waturan Axe
PROPITEM_TXT_000214,Witcher Axe
PROPITEM_TXT_000216,Lichiky Axe
PROPITEM_TXT_000218,Bastard Sword
PROPITEM_TXT_000220,Two Handed Sword
PROPITEM_TXT_000222,Darkonizer
PROPITEM_TXT_000224,Adaptizer
PROPITEM_TXT_000226,Zweigazer
PROPITEM_TXT_000228,Kaleonizer
PROPITEM_TXT_000230,Gootnizer
PROPITEM_TXT_000232,Hauntizer
PROPITEM_TXT_000234,Clock Slayer
PROPITEM_TXT_000236,Two Handed Axe
PROPITEM_TXT_000238,Great Axe
PROPITEM_TXT_000240,Kergnition
PROPITEM_TXT_000242,Lurknition
PROPITEM_TXT_000244,Avnition
PROPITEM_TXT_000246,Kanainition
PROPITEM_TXT_000248,Orcanition
PROPITEM_TXT_000250,Linition
PROPITEM_TXT_000252,Hardinition
PROPITEM_TXT_000254,May Stick
PROPITEM_TXT_000256,Plim Stick
PROPITEM_TXT_000258,Sirin Stick
PROPITEM_TXT_000260,Scull Stick
PROPITEM_TXT_000262,Tim Stick
PROPITEM_TXT_000264,Huey Stick
PROPITEM_TXT_000266,Bopol Stick
PROPITEM_TXT_000268,Kudos Stick
PROPITEM_TXT_000270,Spim Stick
PROPITEM_TXT_000272,Sayram Stick
PROPITEM_TXT_000274,Pero Stick
PROPITEM_TXT_000276,Saint Stick
PROPITEM_TXT_000278,Gogo Stick
PROPITEM_TXT_000280,Flury Stick
PROPITEM_TXT_000282,Gale Stick
PROPITEM_TXT_000284,Ninegale Stick
PROPITEM_TXT_000286,Zanne Stick
PROPITEM_TXT_000288,Mirth Stick
PROPITEM_TXT_000290,Hein Stick
PROPITEM_TXT_000292,Sizzle Stick
PROPITEM_TXT_000294,Peppermin Stick
PROPITEM_TXT_000296,Sealine Stick
PROPITEM_TXT_000298,Extreme Stick
PROPITEM_TXT_000300,Pinacle Stick
PROPITEM_TXT_000302,Marple Stick
PROPITEM_TXT_000304,Rave Stick
PROPITEM_TXT_000306,Cherry Stick
PROPITEM_TXT_000308,Fanta Stick
PROPITEM_TXT_000310,Fairmine Stick
PROPITEM_TXT_000312,Moralemine Stick
PROPITEM_TXT_000314,Shabere Stick
PROPITEM_TXT_000316,Shinewing Stick
PROPITEM_TXT_000318,Requer Stick
PROPITEM_TXT_000320,Shalow Stick
PROPITEM_TXT_000322,Morain Stick
PROPITEM_TXT_000324,Prede Stick
PROPITEM_TXT_000326,Pierlin Stick
