Key,English,Russian
CS_LIMITED_OFFER,Limited Offer,Ограниченное предложение
CS_NEW_COSTUME,New Costume,Новый костюм
CS_NEW_PICKUP_PET,New Pickup Pet,Новая собирашка
CS_FASHION,Fashion,Мода
CS_FASHION_SETS,Fashion Sets,Модные сеты
CS_FASHION_PIECES,Fashion Pieces,Модные части
CS_CLOAKS,Cloaks,Плащи
CS_MASKS_GLASSES_HAIR,Masks & Glasses & Hair,"Маски, очки и прически"
CS_PICKUP_PETS,Pickup Pets,Собирашки
CS_FLYING,Flying,Летание
CS_CONSUMABLES,Consumables,Расходные материалы
CS_RECOVERY,Recovery,Восстановление
CS_SCROLL,Scroll,Свиток
CS_BUFF,Buff,Баф
CS_BLINKWING,Blink Wing,Мигающее крыло
CS_TRANS,Trans,Транс
CS_MATERIAL,Material,Material
CS_PROTECTION,Protection,Protection
CS_AWAKES,Awakes,Awakes
CS_UPGRADE,Upgrade,Усилить
CS_RANDOM,Random,Случайность
CS_STONE,Stone,Камень
CS_VENDOR_SHOP,Vendor Shop,Магазин Вендора
CS_FLASK_POTION,Flask & Potion,Фласки и зелья
CS_MISC,Misc,Разное
CS_EFFECT,Effect,Эффект
CS_PENYA,Penya,Пенни
CS_DISCOUNT,Discount,Скидка
CS_SPECIAL_PACKAGE,Special Package,Специальный набор
CS_BLACK_FRIDAY,Black Friday,Черная пятница
CS_REBORN_SALES,Reborn Sales,Возрождение продаж
CS_FWC,FWC,FWC
CS_HOUSING,Housing,Дом
CS_EVENT,Event,События
CS_WORLD_TEMPLATE,World Template,Мировой шаблон
CS_WORLD_THEME_PACK,Theme Pack,Тематический набор
CS_WORLD_BUNDLE_PACK,Bundle Pack,Пакетный набор
CS_WORLD_SINGLE_PACK,Single Pack,Одиночный набор
CS_NPC,NPC,НПС
CS_COUPLE,Couple,Пара
