Key,English,Spanish
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,Mundo
PROPMAP_TXT_000002,Region,Región
PROPMAP_TXT_000003,Town,Pueblo
PROPMAP_TXT_000004,Madrigal,Madrigal
PROPMAP_TXT_000005,"Darkon 1, 2","Darkon 1, 2"
PROPMAP_TXT_000006,Darkon 3,Darkon 3
PROPMAP_TXT_000007,Garden of Rhisis,Jardín de Rhisis
PROPMAP_TXT_000008,Saint Morning,Saint Morning
PROPMAP_TXT_000009,Flaris,Flaris
PROPMAP_TXT_000012,Flarine,Flarine
PROPMAP_TXT_000013,Saint City,Saint
PROPMAP_TXT_000014,Darken,Darken
PROPMAP_TXT_000242,Dungeon,Mazmorra
PROPMAP_TXT_000263,Mars Dungeon,Mazmorra Mars
PROPMAP_TXT_000265,Dekane Mine,Mina Dekane
PROPMAP_TXT_000266,Iblis Temple,Templo de Iblis
PROPMAP_TXT_000274,Forsaken Tower 1F,Torre Abandonada 1F
PROPMAP_TXT_000275,Forsaken Tower 2F,Torre Abandonada 2F
PROPMAP_TXT_000276,Forsaken Tower 3F,Torre Abandonada 3F
PROPMAP_TXT_000277,Forsaken Tower 4F,Torre Abandonada 4F
PROPMAP_TXT_000278,Forsaken Tower 5F,Torre Abandonada 5F
PROPMAP_TXT_000279,Forsaken Tower 6F,Forsaken Tower 6F
PROPMAP_TXT_000280,Forsaken Tower 7F,Forsaken Tower 7F
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,Kebaras
PROPMAP_TXT_100001,North-Fl,Flarine Norte
PROPMAP_TXT_100002,Cen Flarine,Flarine Central
PROPMAP_TXT_100003,East-Fla,Flarine Este
PROPMAP_TXT_100004,Darkon,Darkon
PROPMAP_TXT_100005,The North of Leren Mountains,Norte de las Montañas Leren
PROPMAP_TXT_100006,The River of Weeping,Río del Llanto
PROPMAP_TXT_100007,Saint Hall,Ayuntamiento de Saint
PROPMAP_TXT_100008,Pumpkin Town,Villa Calabaza
PROPMAP_TXT_100009,Plateau of Silence,Meseta del Silencio
PROPMAP_TXT_100010,The North of Hillid Mountains,Norte de las Montañas Hillid
PROPMAP_TXT_100011,The Middle of Hillid Mountains,Centro de las Montañas Hillid
PROPMAP_TXT_100012,The South of Hillid Mountains,Sur de las Montañas Hillid
PROPMAP_TXT_100013,Guardian's Room,Habitación del Guardián
PROPMAP_TXT_100014,Heret,Heret
PROPMAP_TXT_100015,Cendil,Cendil
PROPMAP_TXT_100016,Aniceknight,Aniceknight
PROPMAP_TXT_100017,Arians,Arians
PROPMAP_TXT_100018,Deadwallderness,Desierto Muerto
PROPMAP_TXT_100019,Brekin,Brekin
PROPMAP_TXT_100020,Guardiane,Guardiane
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),Darkon 2 (Cueva de la Envidia)
