Key,English,Simplified_Chinese
PROPMOVER_TXT_000002,Male,男生
PROPMOVER_TXT_000004,Female,女生
PROPMOVER_TXT_000006,Small Aibatt,小独眼蝠
PROPMOVER_TXT_000008,Aibatt,独眼蝠
PROPMOVER_TXT_000010,Captain Aibatt,大独眼蝠
PROPMOVER_TXT_000012,Giant Aibatt,巨型独眼蝠
PROPMOVER_TXT_000014,Small Mushpang,小嘭嘭菇
PROPMOVER_TXT_000016,Mushpang,嘭嘭菇
PROPMOVER_TXT_000018,Captain Mushpang,大嘭嘭菇
PROPMOVER_TXT_000020,Giant Mushpang,巨型嘭嘭菇
PROPMOVER_TXT_000022,Small Burudeng,小象牙甲虫
PROPMOVER_TXT_000024,Burudeng,象牙甲虫
PROPMOVER_TXT_000026,Captain Burudeng,大象牙甲虫
PROPMOVER_TXT_000028,Giant Burudeng,巨型象牙甲虫
PROPMOVER_TXT_000030,Small Pukepuke,邪精灵杂役
PROPMOVER_TXT_000032,Pukepuke,邪精灵随从
PROPMOVER_TXT_000034,Captain Pukepuke,邪精灵首领
PROPMOVER_TXT_000036,Giant Pukepuke,邪精灵王
PROPMOVER_TXT_000038,Small Peakyturtle,小山岭剑龙
PROPMOVER_TXT_000040,Peakyturtle,山岭剑龙
PROPMOVER_TXT_000042,Captain Peakyturtle,大山岭剑龙
PROPMOVER_TXT_000044,Giant Peakyturtle,巨型山岭剑龙
PROPMOVER_TXT_000046,Urchin Demian,顽童迪米
PROPMOVER_TXT_000048,Demian,坏蛋迪米
PROPMOVER_TXT_000050,Bad Demian,恶棍迪米
PROPMOVER_TXT_000052,Giant Demian,暴徒迪米
PROPMOVER_TXT_000054,Small Doridoma,小蓝纹海马
PROPMOVER_TXT_000056,Doridoma,蓝纹海马
PROPMOVER_TXT_000058,Captain Doridoma,大蓝纹海马
PROPMOVER_TXT_000060,Giant Doridoma,巨型蓝纹海马
PROPMOVER_TXT_000062,Young Lawolf,山地幼狼
PROPMOVER_TXT_000064,Lawolf,山地野狼
PROPMOVER_TXT_000066,Grownup Lawolf,山地老狼
PROPMOVER_TXT_000068,Giant Lawolf,山地狼王
PROPMOVER_TXT_000070,1st Class Fefern,小菲菲龙
PROPMOVER_TXT_000072,Fefern,菲菲龙
PROPMOVER_TXT_000074,2nd Class Fefern,大菲菲龙
PROPMOVER_TXT_000076,Giant Fefern,巨型菲菲龙
PROPMOVER_TXT_000078,Cute Nyangnyang,彩冠翎猫仔
PROPMOVER_TXT_000080,Nyangnyang,彩冠翎猫
PROPMOVER_TXT_000082,Creep Nyangnyang,彩冠翎猫战士
PROPMOVER_TXT_000084,Giant Nyangnyang,彩冠翎猫王
PROPMOVER_TXT_000086,Bang,魔导战甲士兵
PROPMOVER_TXT_000088,Captain Bang,魔导战甲队长
PROPMOVER_TXT_000090,Boss Bang,魔导战甲指挥官
PROPMOVER_TXT_000092,Giant Bang,魔导战甲统帅
PROPMOVER_TXT_000094,Small Wagsaac,紫草食人花幼苗
PROPMOVER_TXT_000096,Wagsaac,紫草食人花
PROPMOVER_TXT_000098,Captain Wagsaac,大嘴紫草食人花
PROPMOVER_TXT_000100,Giant Wagsaac,巨型紫草食人花
PROPMOVER_TXT_000102,Small Mia,粗布米娅娃娃
PROPMOVER_TXT_000104,Mia,花布米娅娃娃
PROPMOVER_TXT_000106,Captain Mia,丝绸米娅娃娃
PROPMOVER_TXT_000108,Giant Mia,精装米娅娃娃
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,呆滞的南瓜精
PROPMOVER_TXT_000112,Mr. Pumpkin,凶恶的南瓜精
