Key,English,Simplified_Chinese
NPC_WHOAREYOU,Who are you?,介绍
NPC_GOODBYE,Goodbye!,再见
NPC_CARGO,CARGO,包袱
NPC_WHATSGOINGON,What's going on?,近况
NPC_EXIT,Exit,出口
NPC_HOWTOFLY,How to Fly,飞行操作
NPC_COMBATFLYING,Combat Flying,飞行战斗
NPC_IDCARD,ID CARD,ID卡
NPC_WHATABOUTTHEMINE,What about the mine?,这矿山，怎么样了？
NPC_MOVE,Move,移动
NPC_FORHONOR,For Honor!,荣誉
NPC_FORFUN,For Fun!,乐趣
NPC_MEHJUSTBECAUSE,"Meh, just because?",正因为
NPC_YES_ENTER,Yes_Enter,Yes_Enter
NPC_NO_ENTER,No_Enter,No_Enter
NPC_WHEREAMI,Where am I?,地点
NPC_MAKEANAPPOINTMENT,Make an appointment,设置复活点
NPC_FINALIZESTATSELECTION,Finalize Stat selection,最终站选择点...
NPC_DEKANEMINE,Dekane Mine,达肯矿洞
NPC_CELL,Cell,飞儿
NPC_AZRIAMINE,Azria Mine,阿兹利亚矿山
NPC_CURSEDSYMBOL,Cursed Symbol,Cursed Symbol
NPC_GIVESYMBOL,Give the Symbol,Give the Symbol
NPC_HAELLETTER,Hael's Letter,Hael's Letter
NPC_GIVELETTER,Give Letter,Give Letter
NPC_TREASURE_BOX,Treasure,Treasure
NPC_LOSTMEMORIES,Lost Memories,Lost Memories
NPC_BREWINGPOTIONS,Brewing Potions,Brewing Potions
NPC_THECURE,The Cure,The Cure
NPC_GUIDETOFLYING,Guide to Flying,飞行操作指南
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,飞行战斗指南
NPC_SHOPS,Shops?,购买
NPC_DEATH,Death?,死亡
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,获得额外奖励
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!",欢迎你来到这，我们是奇昆族..可以请你帮我一个忙吗?
NPC_000045,Fathers Package,父亲的包袱
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",你真奇怪喔!一般来说自己一个人是无法来到这的
NPC_000047,"Thank you for saving my father, human. So what brings you here?",谢谢你救了我的父亲。对了，你来这里有什么事吗?
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!",请救救我的父亲，他被关押在东边的城市！
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.",Hrrmph我不知道你怎么找到这个地方，但你最好尽快离开，此处危机四伏
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!",嘿！我是得安 - 奇昆族长蓝彼的儿子，你们人类看不起我们，但其实你们才是劣质品种！
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!",Hrrmph 这个地方太危险的，回家吧，立刻！马上！
NPC_000052,Here is the package my father left me... Hrrmph!,这是我的父亲给我的包袱Hrrmph
NPC_000053,*Sigh* this might take a while...,唉，这可能需要一段时间
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.",什么人?敢到在这里来?不是勇敢就是纯粹的疯狂
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!",哼!!一个个的人类...这里不欢迎你们，快快滚出我的视线，害虫们！
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,哼!我没有自我介绍的人喜欢你
NPC_000057,"Beat it, human! You're not welcome here!",回家吧人类！这里不欢迎你
NPC_000058,*Whistles*,*吹口哨*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...",Gwarrrrrr！你就干站在那里，还是来救我离开这里？我知道，你不一定不喜欢被一直盯着吧...
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.",咯咯咯！我已经数年没见过人类了！我是蓝彼，奇昆族的族长
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!",“吸鼻子的声音”人类？嗯？有趣….！我已经好几年没见过了！
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,需要魔法物品的时候随时来找我哦。
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,很高兴见到你。你也是来研究岛屿周围的魔法领域的吗？
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,我的名字是西埃尔，我在对瑞加大陆上某些地区的魔法现象做研究
NPC_000065,Farewell!,再见罗~
NPC_000066,Come to me if you seek absolution.,如果你在寻求赦免，请来找我。
NPC_000067,Are you here for confession?,你来这儿是为了忏悔的吗?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,你的光环闪耀着光芒。愿它永远不再失去光彩。
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,我是一个牧羊人，帮助罪人回到正确的道路上。如果你想被净化，就来找我吧。
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,从其中一个怪物那里得到钥匙。一旦你得到钥匙，你就可以进入传送门。
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?",祝你好运，还有小心，不要再被抓住
NPC_000072,"You will not survive here without a shield, friend.",没有盾牌，你将无法在这里生存下去，我的朋友。
NPC_000073,Huh? Do you want something from me? Then speak up!,咦?你想从我得到东西?
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!",我的名字是罗宾，我来这里有很多原因，但我现在不想和你讨论这些。嘘！！
NPC_000075,Take care! ,保重
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,想要你那糟糕的设备工作？让我来帮你吧！
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,哈哈哈！你看起来像个重罪犯。是什么风把你吹来的？
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!",你好，冒险者！我是顺，你身边友好的武器商。我不在乎你什么身份，我的顾客就是顾客。快过来买我的装备吧！
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,哈哈哈哈！好吧，我希望我们能一起出去逛一天
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,我向疲劳的冒险家提供物资。我有一切你所需要的！
NPC_000081,You look like you have something to tell me...,你有事情要告诉我?
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,我的名字是游娜，我这里的东西很便宜喔!
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*",欢迎光临！这里是雅察本的杂货店~
NPC_000084,May I help you?,我可以帮助您吗?
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?",*咳咳* 欢迎 *气喘吁吁* 的顾客们！这里有任何你需要的商品... *咳咳* 你不会刚好带了些咳嗽药吧？
NPC_000086,"*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*",“阿～～欠～！”不好意思，请允许我清一下嗓子。“咳...嗯.....”我的名字叫雅察本，达肯城内的这家杂货铺就是我开的。“咳”
NPC_000087,Thank you for your patronage! Come back and visit sometime! Bring some cough medicine!,希望大家都健康..记得来达肯时一定要找我唷!
NPC_000088,#b#cff0001ffFlying Information#nc#nb is available here! I also have #b#cffff0000flying boards and brooms#nc#nb in stock!,这里可以提供飞行方面的信息！我这里也有飞行滑板和飞行扫帚出售喔！
NPC_000089,What do you want to do?,你需要我帮助你什么?
NPC_000090,"Flying through the clouds high above Madrigal is my favorite dream come true. I would be flying right now, but I'm having some family trouble and I need to pay the bills!",天空真是个梦想的世界?对!如果我家没有倒下去的话...我应该现在在空中飞行吧。
NPC_000091,"My name is Almani, and I run the Station here in Darken city. I sell flying boards and brooms in addition to teaching the basics of flying.",我的名字叫亚尔玛尼，我在达肯城中经营着这家航空站点。你可以在我这买到飞行滑板和飞行扫帚，除此之外我还教一些有关飞行的基本操作。
NPC_000092,"1. First, you'll need to buy a broom or a board and be at least level 20 in order to fly. \n 2. Next, double-click the board or broom in your inventory or simply move it to a hot key to climb aboard.",1.在飞行器具站可购买各种飞行道具\n2.使用物品栏的飞行道具就可以飞行
