Key,English,Portuguese
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Diária
PROPQUEST_INC_000291,Save the Garden! (Part 1),Salve o Jardim! (Parte 1/3)
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,"O jardim de Lesis está morrendo. Para evitar que isso aconteça, preciso de 10 Corações de Portador dos Portadores de Lápides."
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,Você precisa de 10 Corações dos Portadores de Lápides para salvar o Jardin de Rhisis.
PROPQUEST_INC_000294,Thank you!,Eu lhe agradeço!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!","Se mudar de ideia mais tarde, por favor, volte para falar comigo!"
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,Obrigado! Você realmente deveria falar com a Janne.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Volte quando você obter os Corações dos Portadores.
PROPQUEST_INC_000298,Save the Garden! (Part 2),Salve o Jardim! (Parte 2/3)
PROPQUEST_INC_000299,You have a message from my sister!,Kimberley tem um item chamado Tigela de Osso. Devo falar com ela.
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,Eu vejo. O Jardim de Rhisis está morrendo... Você poderia informar minha irmã Kimberley?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,O problema com o Jardim de Rhisis pode esperar. Eu acho...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Obrigado por me trazer esta mensagem. Acho que você deveria falar com Marche ao Leste de Flarine.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,Você ainda não encontrou Kimberley? Ela está na Cidade de Saint.
PROPQUEST_INC_000308,Save the Garden! (Part 3),Salve o Jardim! (Parte 3/3)
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,"Quando dei a Tigela de Osso e os Corações de Bearers para Ann, ela me deu um Chá da Vida. Devo falar com Ann novamente."
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,Você poderia trazer um Chá da Vida para Ann? Você pode encontrá-lo a leste das Montanhas Leren.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,"Obrigado! Se você ajudá-la, ela lhe dará um brinco."
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,Vou salvar o Jardim de Rhisis com este chá! Aqui está um brinco para te agradecer.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Traga o Chá da Vida para Ann na Cidade de Saint.
PROPQUEST_INC_000422,Find Santa's Socks!,Meias vermelhas do Papai Noel
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,É Natal aqui em Madrigal. Mas infelizmente o Papai Noel perdeu todas as meias que guardam os presentes. Nós precisamos encontrar as meias para as nossas crianças de Madrigal.
PROPQUEST_INC_000461,A Favor for the Pastor,Um Favor para o Pastor
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,O pastor disse que me dará um presente se eu entregar 20 buquês para ele! Estou curioso para saber o que é o presente!
PROPQUEST_INC_000465,Give Back the Love.,Devolva o Amor.
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,Eu preciso juntar 10 pedaços de coração. Está na hora de caçar monstros.
PROPQUEST_INC_000469,Vagrant Master (Acrobat),Mestre Vagrant (Acrobata)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!","Então você quer ser um Acrobata, hein? Espero que você nunca se arrependa disso. Há um teste simples antes de iniciar o treinamento. Você está pronto(a)? …hic!"
PROPQUEST_INC_000472,Good luck! You'll need it!,Boa sorte. Lembre-se de quem você é!
PROPQUEST_INC_000473,"What are you afraid of? The path to become an Acrobat may be difficult for some, but it's so worth it! Come back if you change your mind, friend.","Do que você tem medo? O caminho para se tornar um Acrobata pode ser difícil para alguns, mas vale a pena! Volte se mudar de ideia, amigo(a)."
PROPQUEST_INC_000474,Well done. You've passed the first test!,Ótimo. Você passou no primeiro treinamento!
PROPQUEST_INC_000475,"I'm still waiting for you to hunt $QUEST_END_KILL_COUNT$ Small Aibatts. If you want to become an Acrobat, you must complete this simple task.","Ainda estou esperando você caçar $QUEST_END_KILL_COUNT$ Aibatts Pequenos. Se você deseja se tornar um Acrobata, deve concluir esta tarefa simples."
PROPQUEST_INC_000476,You have already chosen to pursue another path. I cannot help you any further. You can still cancel the other job quest in the Quest Window and come back to me.,Você já escolheu um outro caminho. Eu não posso mais ajudá-lo(a). Você ainda pode cancelar a outra missão de classe na Janela de Quests e falar comigo novamente.
