Key,English,Traditional_Chinese
CLIENT_FAQ_INC_000000,How can I be resurrected?,要如何復活？
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.",當人物死亡後，會出現復活視窗，您可以在復活視窗中選擇『生命光塔』，在最近的城鎮中復活。 如果你有“復活卷軸”或對你施放復活技能，你可以在你死去的地方立即復活。
CLIENT_FAQ_INC_000002,Where are the monsters?,怪物在那裡？
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,城鎮的外面有凶猛的怪物出沒，請多多注意唷！
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,如何選定或取消目標呢？
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",只要將滑鼠指著目標，點擊滑鼠左鍵，就可選定目標，當目標選定後，再次點擊滑鼠左鍵，即可開始攻擊。若要取消被選定的目標，可按下鍵盤的『ESC』鍵
CLIENT_FAQ_INC_000006,How can I attack continuously?,如何進行連續攻擊？
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,確保在選項窗口中選擇自動攻擊設定。
CLIENT_FAQ_INC_000008,How do you use the skills?,如何使用技能？
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,按 K 進入技能選單，然後將要使用的技能圖標拖到螢幕右下方的操作欄中。
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,如何連續使用技能？
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,想要連續使用技能時，可將自己想要使用的技能，依序放入畫面右下角的技能熱鍵欄中，使用技能時，會按照自己所設定的技能依序施展。但是設定拼圖技能時，必須配合技能的招式，如 前段技能-> 中段技能 -> 後段技能 依序排列。
CLIENT_FAQ_INC_000012,How do I gain my health back?,食物無法將生命補滿。
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,用來恢復生命的物品會有恢復的上限值。請確定食物的恢復量後，選擇適合自己生命的食物。
CLIENT_FAQ_INC_000014,How do I get a Job?,如何轉職？
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.",當你達到 15 級時，與布拉里斯的朱莉亞交談以獲得你的轉職任務。勇者、神職者要到在布拉里斯開始，魔法使任務在聖音特開始，雜技師任務在得肯開始。
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,等級 15 級之後經驗值不會累積了。
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.",等級到了 15 級之後，就無法再獲得經驗值了，必需要去執行第 1 次『轉職任務』，在成功轉職之後才能再繼續獲得經驗值。等級 15 級之後，一定要去和想要轉的職業的教官見面，並執行任務。
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.",在技能學習上，必須先滿足可習得的角色等級及前置技能。所以無法習得技能時，請確定是否滿足習得條件。
CLIENT_FAQ_INC_000020,How do I fly?,飛行
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,等級到達 20 級之後，就會擁有 1 級的飛行等級。有了 1 級的飛行等級，就表示可以飛在天空了。但是想要飛行就必須擁有飛行器具 (掃帚或是滑板)。您可以到航空站附近尋找經營飛行器具店的 NPC 購買。如果您在布拉里斯，建議您找寶雅小姐購買飛行器具。
CLIENT_FAQ_INC_000022,How do I move the camera.,操作視角。
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,舊版本：按住滑鼠滾輪後移動滑鼠。新版本：按住滑鼠右鍵後移動滑鼠。視角的放大縮小可使用滑鼠滾輪，視角的旋轉可利用鍵盤的方向鍵操作。
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,把視角歸回預設角度。
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,畫面的視角異常，並想要轉換成原本預設的視角時… 新版本：滑鼠右鍵雙擊。舊版本：雙擊滑鼠滾輪按鍵。
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.",飛行時視角的移動真不方便。
