Key,English,Russian
PROPMOVER_TXT_000002,Male,Мужик
PROPMOVER_TXT_000004,Female,Женщина
PROPMOVER_TXT_000006,Small Aibatt,Слабый сглаз
PROPMOVER_TXT_000008,Aibatt,Сглаз
PROPMOVER_TXT_000010,Captain Aibatt,Сильный сглаз
PROPMOVER_TXT_000012,Giant Aibatt,Громадный сглаз
PROPMOVER_TXT_000014,Small Mushpang,Слабая сыробежка
PROPMOVER_TXT_000016,Mushpang,Сыробежка
PROPMOVER_TXT_000018,Captain Mushpang,Сильная сыробежка
PROPMOVER_TXT_000020,Giant Mushpang,Громадная сыробежка
PROPMOVER_TXT_000022,Small Burudeng,Слабый жукорог
PROPMOVER_TXT_000024,Burudeng,Жукорог
PROPMOVER_TXT_000026,Captain Burudeng,Сильный жукорог
PROPMOVER_TXT_000028,Giant Burudeng,Громадный жукорог
PROPMOVER_TXT_000030,Small Pukepuke,Слабый Вуки-туки
PROPMOVER_TXT_000032,Pukepuke,Вуки-туки
PROPMOVER_TXT_000034,Captain Pukepuke,Сильный Вуки-туки
PROPMOVER_TXT_000036,Giant Pukepuke,Громадный Вуки-туки
PROPMOVER_TXT_000038,Small Peakyturtle,Слабый бронтодон
PROPMOVER_TXT_000040,Peakyturtle,Бронтодон
PROPMOVER_TXT_000042,Captain Peakyturtle,Сильный бронтодон
PROPMOVER_TXT_000044,Giant Peakyturtle,Громадный бронтодон
PROPMOVER_TXT_000046,Urchin Demian,Юный злыдень
PROPMOVER_TXT_000048,Demian,Злыдень
PROPMOVER_TXT_000050,Bad Demian,Гадкий злыдень
PROPMOVER_TXT_000052,Giant Demian,Громадный злыдень
PROPMOVER_TXT_000054,Small Doridoma,Слабый конек
PROPMOVER_TXT_000056,Doridoma,Конек
PROPMOVER_TXT_000058,Captain Doridoma,Сильный конек
PROPMOVER_TXT_000060,Giant Doridoma,Громадный конек
PROPMOVER_TXT_000062,Young Lawolf,Слабый волкопард
PROPMOVER_TXT_000064,Lawolf,Волкопард
PROPMOVER_TXT_000066,Grownup Lawolf,Сильный волкопард
PROPMOVER_TXT_000068,Giant Lawolf,Громадный волкопард
PROPMOVER_TXT_000070,1st Class Fefern,Слабый крыжорник
PROPMOVER_TXT_000072,Fefern,Крыжорник
PROPMOVER_TXT_000074,2nd Class Fefern,Сильный крыжорник
PROPMOVER_TXT_000076,Giant Fefern,Громадный крыжорник
PROPMOVER_TXT_000078,Cute Nyangnyang,Юная Кисандра
PROPMOVER_TXT_000080,Nyangnyang,Кисандра
PROPMOVER_TXT_000082,Creep Nyangnyang,Ужасная Кисандра
PROPMOVER_TXT_000084,Giant Nyangnyang,Гигантская Кисандра
PROPMOVER_TXT_000086,Bang,Гром
PROPMOVER_TXT_000088,Captain Bang,Сильный Гром
PROPMOVER_TXT_000090,Boss Bang,Капитан Гром
PROPMOVER_TXT_000092,Giant Bang,Гигантский Гром
PROPMOVER_TXT_000094,Small Wagsaac,Слабый злопух
