Key,English,Filipino
MMI_0,Dialog,Dayalogo
MMI_1,Quest,Misyon
MMI_2,Trade,Kalakalan
MMI_3,Attack,Atake
MMI_4,Message,Mensahe
MMI_5,Add to my list,Idagdag sa listahan ko
MMI_6,Invite to join party,Imbitahin sa party
MMI_7,Invite to join guild,Imbitahin sa guild
MMI_8,Place of Resurrection,Lugar ng Muling Pagkabuhay
MMI_9,Bank,Bangko
MMI_10,Duel,Duelo
MMI_11,Request party duel,Humiling ng duelo ng party
MMI_12,Follow,Sundan
MMI_13,Beauty Shop,Tindahan ng Kagandahan
MMI_14,Repair,Ayusin
MMI_15,Guild Bank,Imbakan ng Guild
MMI_16,Guild Rankings,Ranggo ng Guild
MMI_17,Guild Duel Rankings,Ranggo sa Digmaang Guild
MMI_18,Guild Statistics Rankings,Pangkalahatang ranggo sa digmaang guild
MMI_21,Register Bounty,Maglagay ng bounty
MMI_22,Bounty List,Tingnan ang listahan ng bounty
MMI_24,View equipment,Tingnan ang kagamitan
MMI_25,Mailbox,Kahon ng Liham
MMI_26,Apply,Mag-apply
MMI_27,Status,Katayuan
MMI_28,Cancel,Kanselahin
MMI_29,Enter,Sumali
MMI_30,Ranking,Ranggo
MMI_31,Cheer,Palakpakan
MMI_32,Remove piercing card,Alisin ang piercing card
MMI_33,Lineup Setup,Pagpasok
MMI_34,Claim Guild Penya,Tanggapin ang premyong pera at bayad sa aplikasyon
MMI_35,Reward Information,Impormasyon tungkol sa premyong pera
MMI_36,Claim MVP Penya Reward,Pagtanggap ng premyong pera para sa MVP
MMI_37,Participation Information,Impormasyon sa Paglahok
MMI_38,Basic Rules,Pangunahing Patakaran
MMI_39,Winning Conditions,Kondisyon para Manalo
MMI_40,Application Fee Information,Impormasyon tungkol sa komisyon
MMI_41,The refund of application fee,Pag-refund ng bayad sa aplikasyon
MMI_42,Cosmetic Upgrades,Pag-upgrade ng Hitsura
MMI_44,Rock-Paper-Scissors,"Bato, Papel, Gunting"
MMI_49,Pet State,Kalagayan ng Alaga
MMI_50,Un-summon pet,I-unsummon ang alaga
MMI_51,Create Shining Power Dice,Gumawa ng Shining Power Dice
MMI_53,Create Jewels,Gumawa ng Hiyas
MMI_54,Create Unique Weapon,Gumawa ng Natatanging Sandata
MMI_59,Remove Element,Alisin ang Elemento
MMI_71,Remove Level Reduction,Alisin ang pagbabawas ng antas
MMI_74,Get Buffed!,Kumuha ng buff!
MMI_75,Exchange Rare Item Pieces,Palitan ang mga piraso ng bihirang item
MMI_76,Exchange Card Pieces,Palitan ang mga piraso ng card
MMI_79,Remove Premium Item Blessing,Alisin ang bendisyon ng premium item
MMI_80,Enter Arena,Pumasok sa Arena
MMI_81,Leave Arena,Umalis sa Arena
MMI_82,Arena Ranking,Ranggo sa Arena
MMI_83,Arena Reward,Gantimpala sa Arena
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Pag-upgrade
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Pag-upgrade ng Elemento
MMI_142,Store Pet,Itago ang alaga
MMI_272,Exchange RPS Coupon,Palitan ang RPS Coupon
MMI_309,Card Upgrade,Pag-upgrade ng Card
MMI_310,Weapon Socket Card Reshuffle,I-resuffle ang card sa socket ng sandata
MMI_311,Couple proposal,Panukala para sa mag-asawa
MMI_1000,Drop Filter,Filter ng Drop
MMI_1001,Report,I-report
MMI_1002,Inspect,Siyasatin
MMI_1003,Unbinding,I-unbind
