Key,English,Spanish
CHARACTER_INC_000001,Mikyel,Mikyel
CHARACTER_INC_000011,Noier,Noier
CHARACTER_INC_000017,[Sage] Radion,[Sabio] Radion
CHARACTER_INC_000021,Boboku,Boboku
CHARACTER_INC_000027,Boboko,Boboko
CHARACTER_INC_000033,Luda,Luda
CHARACTER_INC_000034,Weapons,Armas
CHARACTER_INC_000035,Armors,Armaduras
CHARACTER_INC_000039,Lui,Lui
CHARACTER_INC_000043,Arrows,Flechas
CHARACTER_INC_000045,Losha,Losha
CHARACTER_INC_000051,Marche,Marche
CHARACTER_INC_000057,Julia,Julia
CHARACTER_INC_000059,Dior,Dior
CHARACTER_INC_000065,Is,Is
CHARACTER_INC_000068,Iske,Iske
CHARACTER_INC_000070,Ispim,Ispim
CHARACTER_INC_000072,Isruel,Isruel
CHARACTER_INC_000075,Ismeralda,Ismeralda
CHARACTER_INC_000083,Flaris Pang,Pang de Flaris
CHARACTER_INC_000091,Jeff,Jeff
CHARACTER_INC_000099,[High-Dwarpet] Tucani,[Alto-Enano] Tucani
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[Bufon sabio] Radyon
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[Ranger sabio] Kimel
CHARACTER_INC_000111,[Pepoview] Brodeay,[Pepoview] Brodeay
CHARACTER_INC_000113,[Pepoview] Ruminerr,[Pepoview] Ruminerr
CHARACTER_INC_000115,[Pepoview] Ellangdl,[Pepoview] Ellangdl
CHARACTER_INC_000117,[Pepoview] Hotse,[Pepoview] Hotse
CHARACTER_INC_000119,[Pepoview] Vianlee,[Pepoview] Vianlee
CHARACTER_INC_000121,[Pepoview] Clackcable,[Pepoview] Clackcable
CHARACTER_INC_000125,Lancomi,Lancomi
CHARACTER_INC_000127,Helena,Helena
CHARACTER_INC_000129,Martin,Martin
CHARACTER_INC_000135,Bill,Bill
CHARACTER_INC_000141,Tina,Tina
CHARACTER_INC_000144,Fuel,Combustible
CHARACTER_INC_000147,Bulrox,Bulrox
CHARACTER_INC_000153,Bozman,Bozman
CHARACTER_INC_000159,Colack,Colack
CHARACTER_INC_000165,Karin,Karin
CHARACTER_INC_000171,Leann,Leann
CHARACTER_INC_000172,Accessories,Accesorios
CHARACTER_INC_000174,Ann,Ann
CHARACTER_INC_000176,Herth,Herth
CHARACTER_INC_000178,Janne,Janne
CHARACTER_INC_000180,Kimberley,Kimberley
CHARACTER_INC_000186,Saint Pang,Pang de Saint
CHARACTER_INC_000200,[MagicBox] Ancimys,[Caja Mágica] Ancimys
CHARACTER_INC_000226,Lurif,Lurif
CHARACTER_INC_000228,Darkon Pang,Darkon Pang
CHARACTER_INC_000230,Stima,Stima
CHARACTER_INC_000231,Mercenary,Mercenario
CHARACTER_INC_000232,Assist,Asistente
CHARACTER_INC_000233,Acrobat,Acróbata
CHARACTER_INC_000234,Magician,Mago
CHARACTER_INC_000236,Phacham,Phacham
CHARACTER_INC_000260,Achaben,Achaben
CHARACTER_INC_000261,Collector,Recolector
CHARACTER_INC_000262,Poster,Pósters
CHARACTER_INC_000263,Magic Tools,Mágicos
CHARACTER_INC_000264,Arrow,Flechas
CHARACTER_INC_000266,Almani,Almani
CHARACTER_INC_000267,Broom,Escobas
CHARACTER_INC_000268,Board,Tablas
CHARACTER_INC_000272,Bolpor,Bolpor
CHARACTER_INC_000273,Food,Comida
CHARACTER_INC_000280,Eshylop,Eshylop
CHARACTER_INC_000284,Haven,Haven
CHARACTER_INC_000285,Wand,Varitas
CHARACTER_INC_000286,Staff,Bastones
CHARACTER_INC_000288,Robe,Ropa
CHARACTER_INC_000290,Ollien,Ollien
CHARACTER_INC_000292,Roocky,Roocky
