Key,English,Japanese
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.",やっほ～！ボクは#b#cffa0a0ffインフォファンで～す。#nc#nb\n\n#bマドリガルの世界#nbへようこそっ！この世界で過ごすために必要なことを教えるのがボクの仕事。\n\nボクと一緒に、Flyffワールドで過ごすために#b必要なことを学ぼう♪#nb\n\n学んだ内容も再度確認できるから、思い出せなかったらボクをマウスで右クリックして出るリストの確認メニューを利用してね。
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]",キャラクターを動かしてみよう！\n\n[[キャラクターの移動には、キーボードとマウスのどちらかを使うんだ。マウスで左クリック|#bTap#nb]]すると、行きたい場所へ移動できるよ。[[|\n\n画面左下にある#bdirectional パッド#nbでも移動ができるよ。便利な時代なんだね～]]\n\n#cffff0000クリア条件: キャラクターを移動する[[ (マウス)|]]
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,移動方法
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.",#b#cff0000ff■ 移動[[マウス|]]#nb#nc\n[[左クリック|画面をタッチ]] して移動したい場所へ進めます。[[\n\n#b#cff0000ff■ キーボード移動#nb#nc\nキーを押せばキャラクターを移動できます。\n前へ進む : W\n後ろへ下がる : S\n左へ走る : A\n右へ走る : D\n\n#b#cff0000ff■ 歩く#nb#nc\nXキーを押せば歩きモードに変更できます。もう1度押せば走るモードに切り替わります。|]]\n\n#b#cff0000ff■ ジャンプ#nb#nc\n[[スペースバーを押す|画面を長押しする]] とジャンプします。
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)",じゃあ、次はキーボードで移動する方法を教えるね～！キーボードで移動する方法は下にある通りだよ。\n\n前進 : [W]\n後退 : [S]\n左を向く : [A]\n右を向く : [D]\n\n簡単でしょ？やってみよ！\n\n#cffff0000クリアー条件: キャラクター移動(キーボード)
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]",うんうんうんうんうんうん！いい感じ。\n\n今度は#b歩く、走る#nbを切り替えてみよ！最初は走るモードになっているんだよ～。\n\n[[歩くモードにしたい時は[X]キーを押してね。もう一回[X]キーを押すと戻るよ。やってみて！\n\n#cffff0000クリア条件: Xキーで歩きと走るを切替|#b歩くボタン#nb をタップして歩きと走るを切替]]
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]",次は#bジャンプ#nb のやり方。とっても簡単だよ！\n\n[[スペースキー|画面を長押し]]でジャンプ！\n\nもし移動中にジャンプしたいときは、移動してるときに[[スペースキー|画面を長押しか画面の#b右下にあるジャンプボタンをタップ#nb]]！\n\n#cffff0000クリア条件: ジャンプ[[(スペースキー)|]]
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],次は#b視点#nbを動かしてみよう！\n\n[[カメラはマウスとキーボード両方で使えるよ！最初はマウスからやってみよう！\nマウスを右クリックしながら向きたい方向に移動|向きたい方に画面を#bフリック#nb]]したら、視点が動くよ！\n\n#cffff0000クリア条件: 視点を移動させる[[(マウス)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,カメラの操作方法
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].",#b#cff0000ff■ [[マウスでの|]]視点変更#nb#nc\n[[右クリックを押しながらマウスを移動|画面をスライド]]することで、好きな方向を見ることができます。[[\n\n#b#cff0000ff■ キーボードでの視点変更#nb#nc\n下にあるキーを押すと、視点が変更できます。\n前 : ↑\n後ろ : ↓\n左 : ←\n右 : →|]]\n\n#b#cff0000ff■ 画面のズームイン、ズームアウト#nb#nc\n[[マウスホイールを使う、もしくは、キーボードのPage Upキー、Page Downキーでも、|2本の指でスマホ画面にタッチして、指の間を近づけたり離したりすることで]]画面のズームイン、ズームアウトができます。
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb",次は、キーボードを使って視点を動かす方法だよ。\n下にある通りにやってみてね。\n\n上 :#b [↑]#nb\n下 :#b [↓]#nb\n左 :#b [←]#nb\n右 :#b [→]#nb\n\n簡単でしょ！分かったかな？\n\n#cffff0000クリア条件: 矢印キー #b↑↓←→#nb
