Key,English,Simplified_Chinese
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,弧月斩
PROPSKILL_TXT_000001,"A powerful, downward strike.",起始技能，用剑或斧给敌人全力的一击
PROPSKILL_TXT_000002,Flurry,疾风突刺
PROPSKILL_TXT_000003,A rapid stabbing attack.,循环技能，用剑或斧对敌人进行快速连续突刺
PROPSKILL_TXT_000004,Over Cutter,摘星斩
PROPSKILL_TXT_000005,A powerful upward finishing move.,终结技能，聚集浑身力量将敌人击飞并造成较大伤害，当然不是每次都能成功。
PROPSKILL_TXT_000006,Slash,逆手回旋
PROPSKILL_TXT_000007,Strikes the enemy twice in rapid succession.,起始技能，利用身体的反作用力，瞬间连续攻击对方两次。
PROPSKILL_TXT_000008,Keenwheel,切裂风轮
PROPSKILL_TXT_000009,A continuous spinning attack.,循环技能，高速旋转自己的身体，利用转动时产生的离心力连续攻击对方。
PROPSKILL_TXT_000010,Blindside,毁灭狂气
PROPSKILL_TXT_000011,A spinning finishing move that may stun the enemy.,终结技能，集中攻击对方的弱点，对其造成致命一击。
PROPSKILL_TXT_000012,Protection,坚硬之石
PROPSKILL_TXT_000013,Draws out the wielded shield's power to increase defense against physical attacks and significantly increase Ranged Block.,用盾牌形成一道防护网，根据技能等级提高一定程度的防御力。
PROPSKILL_TXT_000014,Pan Barrier,坚壳守护
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,用盾牌形成一道防护罩，有一定几率挡落对方的远程攻击。
PROPSKILL_TXT_000016,Blazing Sword,光芒圣剑
PROPSKILL_TXT_000017,Increases accuracy and enhances the power of the wielded sword.,大幅度提高剑的命中率及攻击力。
PROPSKILL_TXT_000018,Smite Axe,战斧之光
PROPSKILL_TXT_000019,Increases accuracy and enhances the power of the wielded axe.,大幅度提高斧头的命中率和攻击力。
PROPSKILL_TXT_000020,Empower Weapon,战神附体
PROPSKILL_TXT_000021,Enhances the weapon's elemental power.,依靠战神赐予的神力，大幅度增强武器上的属性攻击力。
PROPSKILL_TXT_000022,Bloody Strike,血之光辉
PROPSKILL_TXT_000024,Sword Mastery,剑术领悟
PROPSKILL_TXT_000025,Enhances the power of the wielded sword.,利用一时顿悟获得的剑术精进，装备剑时获得短时间的攻击力提升。
PROPSKILL_TXT_000026,Axe Mastery,斧术领悟
PROPSKILL_TXT_000027,Enhances the power of the wielded axe.,利用一时顿悟获得的斧技精进，装备斧时获得短时间的攻击力提升。
PROPSKILL_TXT_000028,Special Hit,怒焰回旋
PROPSKILL_TXT_000029,A single powerful strike that hits all enemies around you.,最大限度地利用身体的反作用力爆发出怒焰攻击对方。
PROPSKILL_TXT_000030,Guillotine,气刃冲击
PROPSKILL_TXT_000031,A powerful ranged attack.,将聚集的斗气化做无数利刃冲击对方。
PROPSKILL_TXT_000032,Sneaker,纠缠天网
PROPSKILL_TXT_000033,"Traps the enemy in a net, immobilizing them.",召唤天网套住目标，有一定几率使其移动速度减缓。
PROPSKILL_TXT_000034,Reflex Hit,爆裂怒击
PROPSKILL_TXT_000035,Absorbs an incoming attack and strikes an enemy with the absorbed damage.,带有爆炸效果的愤怒一击。
PROPSKILL_TXT_000036,Guard,集中防卫
PROPSKILL_TXT_000037,Reduces all incoming damage from enemies at the cost of attack power.,通过牺牲攻击力来减少来自敌人的所有伤害。 需要装备武器。
PROPSKILL_TXT_000038,Pain Reflection,反击风暴
PROPSKILL_TXT_000039,Reflects a portion of the damage received back at the enemy.,以浩然正气守护心志，把受到的部分伤害返还给对方。
PROPSKILL_TXT_000040,Rage,牺牲
PROPSKILL_TXT_000041,Increases striking power but makes you more vulnerable to all incoming attacks.,一段时间内承受伤害增加，大幅提高攻击力。
PROPSKILL_TXT_000042,Power Swing,横扫千军
PROPSKILL_TXT_000043,Swings the weapon to strike surrounding enemies and push them back. Requires a two-handed weapon.,用武器横扫周围的敌人，并将他们震退。需要装备双手武器。
PROPSKILL_TXT_000044,Earth Divider,开天辟地
PROPSKILL_TXT_000045,A powerful downward strike that may reduce HP Restoration on the target. Requires a two-handed weapon.,用全部力量重击处于同一直线上的敌人，造成较大伤害。有一定几率降低目标受到的治疗量，需要双手武器。
PROPSKILL_TXT_000046,Charge,雷霆万钧
PROPSKILL_TXT_000047,A powerful upward strike that stuns the enemy. Requires a two-handed weapon.,将能量聚集在剑上，以雷霆万钧之势劈向对方。需要双手武器。
PROPSKILL_TXT_000048,Pain Dealer,碎甲
PROPSKILL_TXT_000049,A powerful downward strike that lowers the defense of the target. Requires a two-handed weapon.,用斧击裂敌人的盔甲，短时间内降低对方防御力。需要装备双手武器。
PROPSKILL_TXT_000050,Power Stomp,大地共鸣
PROPSKILL_TXT_000051,"Pounds the ground, hitting surrounding enemies with a chance to stun them. Requires a two-handed weapon.",打击地面制造冲击波攻击周围敌人，一定几率击晕附近敌人。需要装备双手武器。
PROPSKILL_TXT_000052,Cross Strike,十字打击
PROPSKILL_TXT_000053,A powerful dual-weapon strike that knocks down the enemy.,将双武器交错劈向对方，在对方身体上留下永恒的十字记号。
PROPSKILL_TXT_000054,Armor Penetrate,避实就虚
PROPSKILL_TXT_000055,Strikes the enemy and lowers their block rate.,攻击对方弱点，降低对方格挡率。
PROPSKILL_TXT_000056,Silent Strike,极速突刺
PROPSKILL_TXT_000057,"Pounces on the enemy from afar, stunning them. Requires two weapons.",从远处猛地扑向敌人，同时击晕目标。需装备两把武器。
PROPSKILL_TXT_000058,Blade Dance,刀剑乱舞
PROPSKILL_TXT_000059,Rapidly strikes surrounding enemies twice with both weapons. Requires two weapons.,挥舞手中的剑攻击周围所有敌人。需要装备两把武器。
PROPSKILL_TXT_000060,Spring Attack,战斧连击
PROPSKILL_TXT_000061,"Strikes the enemy multiple times, with each hit having a chance to deal double damage. Requires two weapons.",挥舞手中的斧头向对方发动连击，每次攻击都有一定几率造成双倍伤害。需装备两把武器。
PROPSKILL_TXT_000062,Hawk Attack,夜幕降临
PROPSKILL_TXT_000063,A powerful downward strike that lowers the accuracy of the target. Requires two weapons.,弹跳重击，降低目标命中率。需要装备两把武器。
PROPSKILL_TXT_000064,Sonic Blade,毁灭攻击
