Key,English,French
MMI_0,Dialog,Discuter
MMI_1,Quest,Quête
MMI_2,Trade,Échanger
MMI_3,Attack,Attaque
MMI_4,Message,Envoyer un message
MMI_5,Add to my list,Ajouter aux amis
MMI_6,Invite to join party,Inviter dans le groupe
MMI_7,Invite to join guild,Inviter dans la guilde
MMI_8,Place of Resurrection,Lieu de résurrection
MMI_9,Bank,Banque
MMI_10,Duel,Duel
MMI_11,Request party duel,Duel de groupe
MMI_12,Follow,Suivre
MMI_13,Beauty Shop,Salon de beauté
MMI_14,Repair,Réparer
MMI_15,Guild Bank,Coffre de guilde
MMI_16,Guild Rankings,Classement de guilde
MMI_17,Guild Duel Rankings,Classement de guerre de guilde
MMI_18,Guild Statistics Rankings,Classement général de guerre de guilde
MMI_21,Register Bounty,Placer une prime
MMI_22,Bounty List,Afficher la liste des primes
MMI_24,View equipment,Inspecter
MMI_25,Mailbox,Boîte aux lettres
MMI_26,Apply,Appliquer
MMI_27,Status,Statut
MMI_28,Cancel,Annuler
MMI_29,Enter,Rejoindre
MMI_30,Ranking,Classement
MMI_31,Cheer,Acclamation
MMI_32,Remove piercing card,Retirer une carte de piercing
MMI_33,Lineup Setup,Composer l'équipe
MMI_34,Claim Guild Penya,Réception de argent et de la demande
MMI_35,Reward Information,Informations sur les récompenses
MMI_36,Claim MVP Penya Reward,Récompense pour le meilleur joueur (MVP)
MMI_37,Participation Information,Conditions de participation
MMI_38,Basic Rules,Règlement
MMI_39,Winning Conditions,Condition de victoire
MMI_40,Application Fee Information,Information de la commission
MMI_41,The refund of application fee,Le remboursement des frais de dossier
MMI_42,Cosmetic Upgrades,Amélioration cosmétique
MMI_44,Rock-Paper-Scissors,Jeu du Flyffoumi
MMI_49,Pet State,État du familier
MMI_50,Un-summon pet,Désinvoquer le familier
MMI_51,Create Shining Power Dice,Créer un Dé de Puissance Scintillant
MMI_53,Create Jewels,Créer des joyaux
MMI_54,Create Unique Weapon,Forger une arme unique
MMI_59,Remove Element,Enlever l'Elément
MMI_71,Remove Level Reduction,Supprimer la réduction de niveau
MMI_74,Get Buffed!,J'aimerais un peu d'aide !
MMI_75,Exchange Rare Item Pieces,Échanger les morceaux
MMI_76,Exchange Card Pieces,Échanger des morceaux de carte
MMI_79,Remove Premium Item Blessing,Annuler la Bénédiction de la Déesse
MMI_80,Enter Arena,Entrer dans l'Arène
MMI_81,Leave Arena,Quitter l'Arène
MMI_82,Arena Ranking,Classement de l'Arène
MMI_83,Arena Reward,Récompense d'Arène
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Amélioration sécurisée
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Élémentarisation sécurisée
MMI_142,Store Pet,Ranger le ramasseur
MMI_272,Exchange RPS Coupon,Echange de coupons de Flyffoumi
MMI_309,Card Upgrade,Amélioration de Carte
MMI_310,Weapon Socket Card Reshuffle,Remaniement de Carte de Piercing d'Arme
MMI_311,Couple proposal,Proposition de couple
MMI_1000,Drop Filter,Filtre d'items
MMI_1001,Report,Signalement
MMI_1002,Inspect,Inspecter
MMI_1003,Unbinding,Délier
MMI_1004,Exchange,Échanger
MMI_1005,Combat Power Ranking,Classement de puissance de combat
MMI_1006,Giant Hunt Ranking ,Classement de Chasse aux Géants
MMI_1007,Accessory Upgrade,Amélioration d'accessoire
MMI_1008,Mute,Rendre muet
MMI_1009,Unmute,Rétablir
MMI_1010,Freeze,Geler
MMI_1011,Unfreeze,Dégeler
MMI_1012,Shadow Mute,Shadow Mute
MMI_1013,Pet Candy Crafting,Création de Bonbons pour Familier
MMI_1014,Exchange Dice,Échange de Dés
MMI_1015,Pet Sacrificing,Sacrifice de Familier
MMI_1016,Red Chip Shop,Boutique de Jeton Rouges
MMI_1017,Cosmetic Wardrobe,Penderie Cosmétique
MMI_1018,Lv80 GS Apply,Appliquer GdG niv. 80
MMI_1019,Lv80 GS Status,Statut GdG niv. 80
