Key,English,Filipino
LANGUAGE_CODE,EN,FIL
UI_HOME_TITLE,Home,Bahay
UI_HOME_GUESTCHAR,Guest Character,Panauhing Karakter
UI_HOME_NEWCHAR,New Character,Bagong Karakter
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Gumawa ng bagong karakter ng walang account.
UI_HOME_LOGIN,Sign In,Sign In
UI_HOME_REGISTER,Sign Up,Sign Up
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Ilagay ang ID at password, at pindotin and OK upang komunekta sa laro."
UI_HOME_ALREADYACCOUNT,Already have an account?,May account na?
UI_HOME_WEBSITE,Website,Website
UI_HOME_CREDITS,Credits,Papuri
UI_HOME_OR,Or,O
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Password:
UI_HOME_RECOVER,Forgot password?,Nakalimutan ang password?
UI_SELECTSERVER_TITLE,Select Server,Mamili ng server
UI_SELECTSERVER_BACK,Back,Bumalik
UI_SELECTSERVER_NEXT,Next,Susunod
UI_SELECTSERVER_FULL,full,puno
UI_SELECTSERVER_BUSY,busy,abala
UI_SELECTSERVER_BEST,best,pinakamahusay
UI_SELECTSERVER_NEWNAME,Please enter another name:,Maglagay ng bagong pangalan:
UI_SELECTSERVER_NAMETITLE,Character Name,Ngalan ng Karakter
UI_CHARLIST_TITLE,Characters,Mga karakter
UI_CHARLIST_PLAY,Play,Maglaro
UI_CHARLIST_NEW,New,Bago
UI_CHARLIST_DELETE,Delete,Burahin
UI_DELETECHAR_TITLE,Delete Character,Burahin ang Character
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Password upang mabura ang karakter\nIsulat ang password
UI_DELETECHAR_NOPASS,Confirm Deletion?,Sumasang-ayon kaba?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Pag nabura ang karakter, di mo magagamit and kaniyang pangalan sa isang lingo."
UI_NEWCHAR_NAME,Name:,Pangalan:
UI_NEWCHAR_GIRL,Girl,Babae
UI_NEWCHAR_BOY,Boy,Lalaki
UI_MSGBOX_START,Start,Simulan
UI_MSGBOX_OK,Ok,Sige
UI_MSGBOX_RETRY,Retry,Subukan muli
UI_MSGBOX_CANCEL,Cancel,Kansela
UI_MSGBOX_YES,Yes,Oo
UI_MSGBOX_NO,No,Hindi
UI_LOADINGSCREEN,"Loading, please wait...","Naglo-load, maghintay..."
UI_OPTION_TITLE,Options,Opsyon
UI_OPTION_MUSIC,Music,Musika
UI_OPTION_SOUND,Sound,Tunog
UI_OPTION_TEXQUALITY,Textures,Pagkakahabi
UI_OPTION_TEXTOON,Cartoon,Kartun
UI_OPTION_TEXHIGH,High,High
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Low
UI_OPTION_WEATHER,Weather,Panahon
UI_OPTION_LANGUAGE,Language,Linguahe
UI_OPTION_SAVE,Save,Save
UI_NAVIGATOR_PLAYER,Player,Manlalaro
UI_NAVIGATOR_PARTY,Party,Partido
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Halimaw
UI_PRIVACY_NOTICE,Privacy Policy,Patakaran sa privacy
UI_MSGBOX_ACCEPT,Accept,Tangapin
UI_MSGBOX_DECLINE,Decline,Tanggihan
UI_MSGBOX_CLOSE,Close,Sarado
UI_OPTION_SHADOWS,Shadows,Anino
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Pinaka-malayong Distansya
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Pinaka-Magandang Kalidad
UI_OPTION_FULLSCREEN,Fullscreen,Fullscreen
UI_MOTION_TAB_MOT,Emotes,Galaw
UI_MOTION_TAB_EMO,Emoticons,Emoticons
UI_REVIVAL_TITLE,Resurrection,Pagbuhay
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive at the nearest town,Muling pag-buhay sa Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
