Key,English,Dutch
LANGUAGE_CODE,EN,NL
UI_HOME_TITLE,Home,Home
UI_HOME_GUESTCHAR,Guest Character,Guest Character
UI_HOME_NEWCHAR,New Character,New Character
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Nieuw karakter aanmaken zonder account
UI_HOME_LOGIN,Sign In,Sign In
UI_HOME_REGISTER,Sign Up,Sign Up
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Voer uw ID & wachtwoord in, en druk op OK om met het spel te verbinden."
UI_HOME_ALREADYACCOUNT,Already have an account?,Already have an account?
UI_HOME_WEBSITE,Website,Website
UI_HOME_CREDITS,Credits,Credits
UI_HOME_OR,Or,Or
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Wachtwoord:
UI_HOME_RECOVER,Forgot password?,Wachtwoord vergeten?
UI_SELECTSERVER_TITLE,Select Server,Server Selecteren
UI_SELECTSERVER_BACK,Back,Terug
UI_SELECTSERVER_NEXT,Next,Volgende
UI_SELECTSERVER_FULL,full,vol
UI_SELECTSERVER_BUSY,busy,bezig
UI_SELECTSERVER_BEST,best,best
UI_SELECTSERVER_NEWNAME,Please enter another name:,Voer een andere naam in:
UI_SELECTSERVER_NAMETITLE,Character Name,Character Name
UI_CHARLIST_TITLE,Characters,Karakters
UI_CHARLIST_PLAY,Play,Speel
UI_CHARLIST_NEW,New,Nieuw
UI_CHARLIST_DELETE,Delete,Verwijder
UI_DELETECHAR_TITLE,Delete Character,Verwijder Karakter
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Wachtwoord voor het verwijderen van karakter\nVoer het wachtwoord in
UI_DELETECHAR_NOPASS,Confirm Deletion?,Bevestigt u?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.",Als je een karakter verwijderd dan kan je dezelfde naam voor een week niet gebruiken.
UI_NEWCHAR_NAME,Name:,Naam:
UI_NEWCHAR_GIRL,Girl,Meisje
UI_NEWCHAR_BOY,Boy,Jongen
UI_MSGBOX_START,Start,Start
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Opnieuw Proberen
UI_MSGBOX_CANCEL,Cancel,Annuleer
UI_MSGBOX_YES,Yes,Ja
UI_MSGBOX_NO,No,Nee
UI_LOADINGSCREEN,"Loading, please wait...","Bezig met laden, even geduld..."
UI_OPTION_TITLE,Options,Opties
UI_OPTION_MUSIC,Music,Muziek
UI_OPTION_SOUND,Sound,Geluid
UI_OPTION_TEXQUALITY,Textures,Texturen
UI_OPTION_TEXTOON,Cartoon,Tekenfilm
UI_OPTION_TEXHIGH,High,Hoog
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Laag
UI_OPTION_WEATHER,Weather,Weer
UI_OPTION_LANGUAGE,Language,Taal
UI_OPTION_SAVE,Save,Opslaan
UI_NAVIGATOR_PLAYER,Player,Speler
UI_NAVIGATOR_PARTY,Party,Party
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Monster
UI_PRIVACY_NOTICE,Privacy Policy,Privacy Beleid
UI_MSGBOX_ACCEPT,Accept,Aanvaarden
UI_MSGBOX_DECLINE,Decline,Afwijzen
UI_MSGBOX_CLOSE,Close,Sluiten
UI_OPTION_SHADOWS,Shadows,Schaduwen
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Maximale Afstand
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Maximale Kwaliteit
UI_OPTION_FULLSCREEN,Fullscreen,Volledig scherm
UI_MOTION_TAB_MOT,Emotes,Beweging
UI_MOTION_TAB_EMO,Emoticons,Emoticons
UI_REVIVAL_TITLE,Resurrection,Herrijzing
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive at the nearest town,Herrijzen bij Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive at your chosen Lodelight,Herrijzen bij Lodelight
UI_CHARINFO_BASE,Base,Basis
UI_CHARINFO_NAME,Name,Naam
UI_CHARINFO_LOGIN,Login,Login
UI_CHARINFO_JOB,Job,Beroep
UI_CHARINFO_LEVEL,Level,Level
UI_CHARINFO_SERVER,Server,Server
UI_CHARINFO_CHANNEL,Channel,Kanaal
UI_CHARINFO_DETAIL,Detail,Detail
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
