Key,English,Vietnamese
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Đang kết nối. Vui lòng chờ.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Không thể kết nối với trò chơi. Vui lòng kiểm tra mạng
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Trò chơi đã được cập nhật. Vui lòng đóng trang và mở lại.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Mã định danh máy chủ không chính xác.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Lỗi không xác định, vui lòng thử lại."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Tài khoản của bạn đã được kết nối.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Bạn có muốn ngắt kết nối thiết bị khác không?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,Thiết bị đang bị ngắt kết nối. Vui lòng đăng nhập lại sau 10 giây
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Kênh này hiện đã đầy, vui lòng đợi trong giây lát hoặc chọn kênh khác."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Tên nhân vật đã được sử dụng.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Boss Quái vật được phát hiện!
TEXTCLIENT_APP_MAP,World Map,Bản đồ thế giới
TEXTCLIENT_APP_OPTION,Options,Lựa chọn
TEXTCLIENT_APP_LOGOUT,Log Out,Đăng xuất
TEXTCLIENT_APP_QUIT,Quit,Từ bỏ
TEXTCLIENT_APP_SUPPORT,Support,Hỗ trợ
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Điều hướng
TEXTCLIENT_APP_DEBUG,Debug,Tìm và khắc phục lỗi
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Đăng xuất sau %d giây(s).
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Thay đổi nhân vật trong%d giây(s)
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Liên kết tài khoản trong %d giây(s)
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Bạn có muốn ngắt kết nối không?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Bạn sẽ mất nhân vật khách của mình.#nc Vui lòng liên kết tài khoản.
TEXTCLIENT_EXIT,Do you want to exit the program?,Bạn có muốn thoát khỏi chương trình không?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Đã ngắt kết nối khỏi máy chủ.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,Tính năng tạo nhân vật bị tắt trên máy chủ này.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Dường như có một thế lực xấu xa đang che khuất tầm nhìn của bạn về khu vực.
TEXTCLIENT_ITEM_DESC,Description:,Mô tả:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Tên này chứa các ký tự trái phép.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Tên này chứa các từ trái phép.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Địa chỉ internet công cộng của bạn đã bị cấm. Liên hệ với quản trị viên để biết thêm thông tin.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Trò chơi hiện không có sẵn ở quốc gia của bạn.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,Một hoạt động quan trọng đã được phát hiện trên địa chỉ internet công cộng của bạn. Vui lòng đợi %s trước khi thử lại.
TEXTCLIENT_SECS,second(s),giây(s)
TEXTCLIENT_MINS,minute(s),phút(s)
TEXTCLIENT_HOURS,hour(s),giờ(s)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","Phiên đăng nhập của bạn đã hết hạn, vui lòng nhập lại thông tin đăng nhập và mật khẩu của bạn."
TEXTCLIENT_ADMIN,Admin,Quản trị viên
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Bậc thầy trò chơi
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[Người bán]
