Key,English,Traditional_Chinese
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","請拿 10 隻蚊子和 50,000 金幣，即可換取一張剪刀、石頭、布兌換券。"
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","請拿 10 個紅色襪子和 50,000 金幣，即可換取一張剪刀、石頭、布兌換券。"
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!",如果你帶來 10 件的話，就可以交換唷～！決定好要交換的東西之後只要按下 OK 就可以了！
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,我可以用金幣交換你的骰子，只需點選要交換的物品，然後按確定！
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?",我店裡賣的盔甲套裝絕對是你能找到的最好的！那麼你有多少紅籌碼呢？
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!",用沙灘球、遮陽傘和金幣換取很棒的沙灘箱！
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?",我店裡賣的東西一定會有幫助！那麼，你有多少綠籌碼，嗯？
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?",在我店裡賣的東西絕對是你能找到的最好的！那麼你有多少藍籌碼呢？
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,把我丟失的禮物帶回來，我會考慮給你一些回報……
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,我注意到你吃了很多年糕，你想讓我煮得更好吃嗎？
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc",很多人來找我說他們丟了情書。你能找到它們並把它們還給我嗎？作為回報，我會給你一些豐厚的回報。\n\n#cffff0000交換 5 個字母，您將隨機獲得 4 個獎勵物品中的 1 個。一次只能啟用一個，所以要小心！#nc
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.",所以你喜歡殺死玩家並偷走他們的籌碼…沒問題，這些物品的來源我不感興趣。看看我要給你什麼。
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",我需要你的幫助！一些頑皮的生物拿走了他所有的蛋，並將它們藏在一個特殊的副本裡。將它們全部找回，您將獲得一些彩蛋戰利品作為獎勵！
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,想為您的一天增添一些光彩嗎？在夜晚摧毀星星並收集星星碎片！那就來找我吧，拿一些閃閃發光的獎勵，一定會讓您心情愉悅。
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,這是你特別的一天！讓我們盡情享受一些美味的甜點，讓它變得更加甜蜜。來找我吧，享受一片天堂和一些美味的獎勵！
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,你聽過最近副本裡失蹤的人嗎？\n幫助人們脫離危險並收集救援證書！\n我為你們的英勇行為準備了各種獎勵！
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,我會將你的 +10 高級傳說武器和非常稀有裝備改為特殊 +10 FWC 榮耀‧裝備。完成多筆交易以獲得更多獎勵！請注意，您只能交換符合您的階級和性別的物品。
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,讓我們在您的特殊日子調高音量吧！和我一起享受充滿和諧驚喜和音樂樂趣的旋律慶典。
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?",夏天好熱！！我需要一些東西來降溫！\n聽說把貝殼放在耳邊就能聽到海浪聲，是真的嗎？
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.",啤酒節正值高峰期，大家都很忙。我們的啤酒快用完了，你能幫我嗎？\n如果你能給我一些啤酒，我可以用它換取各種獎勵。
EXCHANGE_FINDGOLDENAIBATT_EVENT_2310,Have you heard the news? Golden Monsters have appeared!\nPeople say that you can get gold shard by hunting down the golden monster… Can you get some for me?,你聽說這消息了嗎？黃金怪物出現了！\n人們說追捕金色怪物可以獲得金碎片…你能給我一些嗎？
EXCHANGE_TIME_TO_HUNT_2023,"It's been a bumper year, so there are a lot of monsters out to get crops.\nIt's time to hunt them down! Can you help?",今年是豐收年，所以有很多怪物出來搶莊稼。\n是時候追捕他們了！你能幫我嗎？
EXCHANGE_JEWELRY,Exchange your jewelry here. Note the upgrade level of the output items!,在這裡交換您的首飾。注意輸出物品的升級等級！
EXCHANGE_CHRISTMAS_2023,Theif Santas have stolen all the presents I was going to give out this Christmas.\nCan you help me get them back?,小偷聖誕老公公偷走了我今年聖誕節要送出的所有禮物。\n你能幫我把它們找回來嗎？
EXCHANGE_ATTACK_OF_THE_SNOWCLONES,Yettis have taken away all the toy hammers from the orphanage. Could you bring the hammers back from the Yettis?,雪人拿走了孤兒院所有的玩具錘子。你能從雪人那裡把鐵鎚帶回來嗎？
EXCHANGE_KALGASCHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Kalgas Chips do you have, hmmm?",我店裡出售的商品絕對是您能找到的最好的！那麼，您有多少卡爾加斯籌碼，嗯？
EXCHANGE_MARCH_2023,Green monsters have appeared all over the Madrigal continent. Defeat them and bring me the tokens!,瑪德利賈大陸各處都出現了綠色怪物。打敗他們，帶給我代幣！
EXCHANGE_ATTACK_OF_THE_HUNGRY_MONSTERS,"Hungry monsters are attacking travelers, descending on villages and stealing food from homes. Would you like to join the fight against the monsters?",飢餓的怪物正在攻擊旅行者，襲擊村莊並從家中偷食物。你想加入與怪物的戰鬥嗎？
EXCHANGE_2ND_ANNIVERSARY_EVENT,"Have you donated enough tokens to your guild? If so, we'll exhange them for boxes!",您向公會捐贈了足夠的代幣嗎？如果是這樣，我們將把它們換成盒子！
EXCHANGE_2024_VACANCE_EVENT,What vacation items do you need? Bring us your beautifully polished seashells and we'll exchange them with rewards!,您需要哪些度假用品？帶上您精美拋光的貝殼，我們將用它們兌換獎勵！
EXCHANGE_PIRATE_SHIP_EVENT,"The pirates stole my treasure map.\nIf you can bring back my treasure map, I'll give you a good case",海盜偷走了我的藏寶圖。\n如果你能幫我找回藏寶圖，我會給你一個好箱子。
EXCHANGE_YELLOWCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Yellow Chips do you have, hmmm?",我店裡賣的東西絕對對你有幫助！那麼，你現在有多少黃色籌碼呢？
EXCHANGE_FISHINGCHAMPION_EVENT,"Have you ever... Have you ever been fishing? Once you fall in love with fishing, you'll never get out!",你有沒有釣過魚？一旦你愛上釣魚，你就再也離不開它了！
EXCHANGE_3RD_ANNIV_EGG_UPGRADE_EVENT,Exchange items for the Egg Upgrade Event,用於兌換蛋升等活動的物品
EXCHANGE_FWC_COIN_2025,"Hey there! This is where you can exchange your Champion Coins for items you want.\nEach item has a limited number of exchanges, and your coins are limited too.\nSo think carefully and make sure to grab what you really need!\n\n※ Champion Coin disappears once the period is end.\n※ Unused Champion Coin will be replaced to Penya\n ┗ 1 Champion Coin = 10 Penya",嗨！這裡是你可以用冠軍幣兌換你想要的物品的地方。\n每個物品都有有限的兌換次數，你的幣也是有限的。\n所以要仔細考慮，確保抓住你真正需要的東西！\n\n※ 冠軍幣在活動結束後會消失。\n※ 未使用的冠軍幣將被替換為金幣\n ┗ 1 冠軍幣 = 10 金幣
EXCHANGE_PTS,Grab useful items for your testing purposes here!,在這裡獲取有用的物品來進行測試！
